plant,axis,metamer,leaf_is_growing,hiddenzone_L,leaf_L,leaf_Lmax,leaf_Lem_prev,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,SSSW,leaf_is_emerged,sucrose,amino_acids,fructan,mstruct
1,MS,4,True,0.031,0.031,0.135,0.001,0.100521221,0.034478779,0.00789356,27.6,138,True,10,1.5,0.15,1.44E-04
1,MS,5,True,0.031,0.00154954,0.16,0.001,0.118677297,0.041322703,0.006562296,27.3,136.5,False,0.03,0.003,0.03,3.11E-06
1,MS,6,True,0.031,0.00045,NA,NA,NA,NA,NA,NA,NA,False,0.001,0.0002,0,6.40E-07
,,,,,,0.104,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
