plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,synthetized_mstruct,senesced_mstruct,age,nitrates_vacuole,rate_mstruct_growth
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,136.2824288,1.854946691,18.54946691,NA,NA,NA,0.030890684,0.000154453,7.722670965,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
