plant,axis,metamer,sucrose,amino_acids,fructan,mstruct,proteins
1,MS,4,10,1.5,0.15,1.44E-04,0.479
1,MS,5,0.03,0.003,0.03,3.11E-06,0.002
1,MS,6,0.001,0.0002,0,6.40E-07,0
