t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
10,Caphorn,4,sheath,StemElement,0.067133639,0.044137882
10,Caphorn,5,internode,StemElement,0.092414606,0.062759876
10,Caphorn,6,internode,StemElement,0.149420562,0.181507719
11,Caphorn,1,blade,LeafElement1,0.037676474,0.022642131
11,Caphorn,1,sheath,StemElement,0.009413631,0.008910641
11,Caphorn,2,blade,LeafElement1,0.060009021,0.035708622
11,Caphorn,2,sheath,StemElement,0.01208701,0.005902924
11,Caphorn,3,blade,LeafElement1,0.136546266,0.080712959
11,Caphorn,3,sheath,StemElement,0.045375506,0.01376764
11,Caphorn,4,blade,LeafElement1,0.179414062,0.208250174
11,Caphorn,4,internode,StemElement,0.034059805,0.018920701
11,Caphorn,4,sheath,StemElement,0.054137733,0.044137882
11,Caphorn,5,internode,StemElement,0.055796943,0.062759876
11,Caphorn,6,internode,StemElement,0.116209509,0.181507719
12,Caphorn,1,blade,LeafElement1,0.032750584,0.022642131
12,Caphorn,1,sheath,StemElement,0,0.008910641
12,Caphorn,2,blade,LeafElement1,0.036671445,0.035708622
12,Caphorn,2,sheath,StemElement,0,0.005902924
12,Caphorn,3,blade,LeafElement1,0.077626299,0.080712959
12,Caphorn,3,sheath,StemElement,0.007471993,0.01376764
12,Caphorn,4,blade,LeafElement1,0.174699747,0.208250174
12,Caphorn,4,internode,StemElement,0.004899134,0.018920701
12,Caphorn,4,sheath,StemElement,0.016434756,0.044137882
12,Caphorn,5,internode,StemElement,0.023997874,0.062759876
12,Caphorn,6,internode,StemElement,0.099626166,0.181507719
13,Caphorn,1,blade,LeafElement1,0.04024126,0.022642131
13,Caphorn,1,sheath,StemElement,0.006030728,0.008910641
13,Caphorn,2,blade,LeafElement1,0.091798906,0.035708622
13,Caphorn,2,sheath,StemElement,0.006462052,0.005902924
13,Caphorn,3,blade,LeafElement1,0.111760363,0.080712959
13,Caphorn,3,sheath,StemElement,0.037801031,0.01376764
13,Caphorn,4,blade,LeafElement1,0.19019427,0.208250174
13,Caphorn,4,internode,StemElement,0.053143932,0.018920701
13,Caphorn,4,sheath,StemElement,0.069676986,0.044137882
13,Caphorn,5,internode,StemElement,0.047334542,0.062759876
13,Caphorn,6,internode,StemElement,0.107644333,0.181507719
14,Caphorn,1,blade,LeafElement1,0.019621797,0.022642131
14,Caphorn,1,sheath,StemElement,0.010133776,0.008910641
14,Caphorn,2,blade,LeafElement1,0.06115622,0.035708622
14,Caphorn,2,sheath,StemElement,0.01033342,0.005902924
14,Caphorn,3,blade,LeafElement1,0.094459862,0.080712959
14,Caphorn,3,sheath,StemElement,0.023335533,0.01376764
14,Caphorn,4,blade,LeafElement1,0.214538469,0.208250174
14,Caphorn,4,internode,StemElement,0.026282542,0.018920701
14,Caphorn,4,sheath,StemElement,0.073767987,0.044137882
14,Caphorn,5,internode,StemElement,0.087543617,0.062759876
14,Caphorn,6,internode,StemElement,0.146762721,0.181507719
15,Caphorn,1,blade,LeafElement1,0.005818354,0.022642131
