aaaa,jj,mm,jjmm,heure,PAR_corrige,Rd:PAR
2008,3,5,03/05,11:30,1631,0.165340282
2008,3,5,03/05,12:00,1582,0.204298357
2008,3,5,03/05,12:30,1649,0.216944815
2008,3,5,03/05,13:00,1508.5,0.343808419
2008,3,5,03/05,13:30,1499,0.317284189
2008,3,5,03/05,14:00,1299,0.468378753
2008,3,5,03/05,14:30,1282.5,0.427153216
2008,3,5,03/05,15:00,1055.5,0.5348072
2008,3,5,03/05,15:30,946.5,0.65273851
2008,3,5,03/05,16:00,754.5,0.723264414
2008,3,5,03/05,16:30,784.5,0.593254302
2008,3,5,03/05,17:00,508.25,0.669690113
2008,3,5,03/05,17:30,372.95,0.750966618
2008,3,5,03/05,18:00,302.4,0.772529762
2008,3,5,03/05,18:30,186.65,0.790034825
2008,3,5,03/05,19:00,54.03,0.923076069
2008,3,5,03/05,19:30,6.839,0.63001316
2008,3,5,03/05,20:00,NA,NA
2008,3,5,03/05,20:30,NA,NA
2008,3,5,03/05,21:00,NA,NA
2008,3,5,03/05,21:30,NA,NA
2008,3,5,03/05,22:00,NA,NA
2008,3,5,03/05,22:30,NA,NA
2008,3,5,03/05,23:00,NA,NA
2008,3,5,03/05,23:30,NA,NA
2008,3,5,03/05,24:00:00,NA,NA
2008,4,5,04/05,00:30,NA,NA
2008,4,5,04/05,01:00,NA,NA
2008,4,5,04/05,01:30,NA,NA
2008,4,5,04/05,02:00,NA,NA
2008,4,5,04/05,02:30,NA,NA
2008,4,5,04/05,03:00,NA,NA
2008,4,5,04/05,03:30,NA,NA
2008,4,5,04/05,04:00,NA,NA
2008,4,5,04/05,04:30,NA,NA
2008,4,5,04/05,05:00,9.937,0.681803361
2008,4,5,04/05,05:30,65.13,0.945799171
2008,4,5,04/05,06:00,129.1,0.978393493
2008,4,5,04/05,06:30,169.9,0.985626839
2008,4,5,04/05,07:00,248.05,0.991473493
2008,4,5,04/05,07:30,338.4,0.990002955
2008,4,5,04/05,08:00,598.2,0.867161484
2008,4,5,04/05,08:30,673.85,0.815973881
2008,4,5,04/05,09:00,762,0.747426509
2008,4,5,04/05,09:30,1238,0.448054927
2008,4,5,04/05,10:00,1124,0.514884342
2008,4,5,04/05,10:30,1293,0.466568445
2008,4,5,04/05,11:00,1497.5,0.334868114
2008,4,5,04/05,11:30,1601.5,0.31652763
2008,4,5,04/05,12:00,1448,0.414253453
2008,4,5,04/05,12:30,1638,0.285920024
2008,4,5,04/05,13:00,1547,0.312336134
2008,4,5,04/05,13:30,1632,0.183000613
2008,4,5,04/05,14:00,1537.5,0.178942439
2008,4,5,04/05,14:30,1425,0.169963509
2008,4,5,04/05,15:00,1339.5,0.199587159
2008,4,5,04/05,15:30,1186,0.22320489
2008,4,5,04/05,16:00,923,0.338016251
2008,4,5,04/05,16:30,418.35,0.805151189
2008,4,5,04/05,17:00,295.25,0.968436918
2008,4,5,04/05,17:30,174.65,0.974434583
2008,4,5,04/05,18:00,121.25,0.960936907
2008,4,5,04/05,18:30,41.975,0.905691483
2008,4,5,04/05,19:00,11.175,0.73876868
2008,4,5,04/05,19:30,2.985,0.454753769
2008,4,5,04/05,20:00,NA,NA
2008,4,5,04/05,20:30,NA,NA
2008,4,5,04/05,21:00,NA,NA
2008,4,5,04/05,21:30,NA,NA
2008,4,5,04/05,22:00,NA,NA
2008,4,5,04/05,22:30,NA,NA
2008,4,5,04/05,23:00,NA,NA
2008,4,5,04/05,23:30,NA,NA
2008,4,5,04/05,24:00:00,NA,NA
2008,5,5,05/05,00:30,NA,NA
2008,5,5,05/05,01:00,NA,NA
2008,5,5,05/05,01:30,NA,NA
2008,5,5,05/05,02:00,NA,NA
2008,5,5,05/05,02:30,NA,NA
2008,5,5,05/05,03:00,NA,NA
2008,5,5,05/05,03:30,NA,NA
2008,5,5,05/05,04:00,NA,NA
2008,5,5,05/05,04:30,NA,NA
2008,5,5,05/05,05:00,2.136,0.380168539
2008,5,5,05/05,05:30,13.145,0.751141879
2008,5,5,05/05,06:00,35.2,0.888627841
2008,5,5,05/05,06:30,44.245,0.919032659
2008,5,5,05/05,07:00,79.22,0.956835395
2008,5,5,05/05,07:30,220.5,0.965569161
2008,5,5,05/05,08:00,223.5,0.965261745
2008,5,5,05/05,08:30,241.5,0.989925466
2008,5,5,05/05,09:00,171.75,0.991475983
2008,5,5,05/05,09:30,193.45,0.988332903
2008,5,5,05/05,10:00,248.95,0.99559751
2008,5,5,05/05,10:30,276.2,0.971969587
2008,5,5,05/05,11:00,368.2,0.990798479
2008,5,5,05/05,11:30,509.3,0.983426271
2008,5,5,05/05,12:00,577.8,0.984653859
2008,5,5,05/05,12:30,456.1,0.971690419
2008,5,5,05/05,13:00,320.8,0.981664589
2008,5,5,05/05,13:30,283.55,0.990587198
2008,5,5,05/05,14:00,347.45,0.992994675
2008,5,5,05/05,14:30,343.15,0.984540289
2008,5,5,05/05,15:00,288.15,0.977227139
2008,5,5,05/05,15:30,269.9,0.98904409
2008,5,5,05/05,16:00,286.45,0.995720021
2008,5,5,05/05,16:30,220.4,0.98387931
2008,5,5,05/05,17:00,133.9,0.974095594
2008,5,5,05/05,17:30,96,0.972335417
2008,5,5,05/05,18:00,72.85,0.9728442
2008,5,5,05/05,18:30,87.15,0.963063683
2008,5,5,05/05,19:00,44.91,0.906548653
2008,5,5,05/05,19:30,4.619,0.499424118
2008,5,5,05/05,20:00,NA,NA
2008,5,5,05/05,20:30,NA,NA
2008,5,5,05/05,21:00,NA,NA
2008,5,5,05/05,21:30,NA,NA
2008,5,5,05/05,22:00,NA,NA
2008,5,5,05/05,22:30,NA,NA
2008,5,5,05/05,23:00,NA,NA
2008,5,5,05/05,23:30,NA,NA
2008,5,5,05/05,24:00:00,NA,NA
2008,6,5,06/05,00:30,NA,NA
2008,6,5,06/05,01:00,NA,NA
2008,6,5,06/05,01:30,NA,NA
2008,6,5,06/05,02:00,NA,NA
2008,6,5,06/05,02:30,NA,NA
2008,6,5,06/05,03:00,NA,NA
2008,6,5,06/05,03:30,NA,NA
2008,6,5,06/05,04:00,NA,NA
2008,6,5,06/05,04:30,NA,NA
2008,6,5,06/05,05:00,8.763,0.683706493
2008,6,5,06/05,05:30,39.905,0.900280667
2008,6,5,06/05,06:00,107.15,0.947599627
2008,6,5,06/05,06:30,183.75,0.994334694
2008,6,5,06/05,07:00,267.25,0.999229186
2008,6,5,06/05,07:30,441.4,0.91321024
2008,6,5,06/05,08:00,871.5,0.598235227
2008,6,5,06/05,08:30,1126,0.345068384
2008,6,5,06/05,09:00,1200,0.321600833
2008,6,5,06/05,09:30,829.5,0.611357444
2008,6,5,06/05,10:00,835.35,0.729071647
2008,6,5,06/05,10:30,738.8,NA
2008,6,5,06/05,11:00,894,0.917360179
2008,6,5,06/05,11:30,1036.5,0.693991317
2008,6,5,06/05,12:00,1369,0.42768225
2008,6,5,06/05,12:30,1601,0.46967208
2008,6,5,06/05,13:00,1291,0.744786987
2008,6,5,06/05,13:30,1797,0.366511408
2008,6,5,06/05,14:00,1304.5,0.537014948
2008,6,5,06/05,14:30,1272.5,0.463052259
2008,6,5,06/05,15:00,1285,0.36155642
2008,6,5,06/05,15:30,970,0.450335052
2008,6,5,06/05,16:00,1042,0.297184261
2008,6,5,06/05,16:30,867.4,0.516178234
2008,6,5,06/05,17:00,683,0.571692533
2008,6,5,06/05,17:30,720.85,0.565493515
2008,6,5,06/05,18:00,338.7,0.718659581
2008,6,5,06/05,18:30,212.75,0.725158637
2008,6,5,06/05,19:00,78.3,0.921383142
2008,6,5,06/05,19:30,11.437,0.718842354
2008,6,5,06/05,20:00,NA,NA
2008,6,5,06/05,20:30,NA,NA
2008,6,5,06/05,21:00,NA,NA
2008,6,5,06/05,21:30,NA,NA
2008,6,5,06/05,22:00,NA,NA
2008,6,5,06/05,22:30,NA,NA
2008,6,5,06/05,23:00,NA,NA
2008,6,5,06/05,23:30,NA,NA
2008,6,5,06/05,24:00:00,NA,NA
2008,7,5,07/05,00:30,NA,NA
2008,7,5,07/05,01:00,NA,NA
2008,7,5,07/05,01:30,NA,NA
2008,7,5,07/05,02:00,NA,NA
2008,7,5,07/05,02:30,NA,NA
2008,7,5,07/05,03:00,NA,NA
2008,7,5,07/05,03:30,NA,NA
2008,7,5,07/05,04:00,NA,NA
2008,7,5,07/05,04:30,NA,NA
2008,7,5,07/05,05:00,20.445,0.891289802
2008,7,5,07/05,05:30,98.455,0.748972627
2008,7,5,07/05,06:00,249.1,0.491538739
2008,7,5,07/05,06:30,412.5,0.369476364
2008,7,5,07/05,07:00,579.15,0.267694034
2008,7,5,07/05,07:30,762,0.200674541
2008,7,5,07/05,08:00,940,0.167509574
2008,7,5,07/05,08:30,1090.5,0.156246676
2008,7,5,07/05,09:00,1259.5,0.122771735
2008,7,5,07/05,09:30,1338.5,0.120581248
2008,7,5,07/05,10:00,1563,0.158575816
2008,7,5,07/05,10:30,1425,0.273018947
2008,7,5,07/05,11:00,1693,0.205042528
2008,7,5,07/05,11:30,1635,0.200702752
2008,7,5,07/05,12:00,1721.5,0.162749927
2008,7,5,07/05,12:30,1738.5,0.210307737
2008,7,5,07/05,13:00,1506.5,0.358544972
2008,7,5,07/05,13:30,1695.5,0.214747862
2008,7,5,07/05,14:00,1603,0.190721772
2008,7,5,07/05,14:30,1427.5,0.223367426
2008,7,5,07/05,15:00,1259.5,0.24554347
2008,7,5,07/05,15:30,1229.5,0.187377796
2008,7,5,07/05,16:00,971.5,0.279868245
2008,7,5,07/05,16:30,793.35,0.400257137
2008,7,5,07/05,17:00,707.45,0.314228567
2008,7,5,07/05,17:30,552.2,0.351542919
2008,7,5,07/05,18:00,374.3,0.407184077
2008,7,5,07/05,18:30,203.7,0.54109622
2008,7,5,07/05,19:00,65.53,0.805934686
2008,7,5,07/05,19:30,11.678,0.767489296
2008,7,5,07/05,20:00,NA,NA
2008,7,5,07/05,20:30,NA,NA
2008,7,5,07/05,21:00,NA,NA
2008,7,5,07/05,21:30,NA,NA
2008,7,5,07/05,22:00,NA,NA
2008,7,5,07/05,22:30,NA,NA
2008,7,5,07/05,23:00,NA,NA
2008,7,5,07/05,23:30,NA,NA
2008,7,5,07/05,24:00:00,NA,NA
2008,8,5,08/05,00:30,NA,NA
2008,8,5,08/05,01:00,NA,NA
2008,8,5,08/05,01:30,NA,NA
2008,8,5,08/05,02:00,NA,NA
2008,8,5,08/05,02:30,NA,NA
2008,8,5,08/05,03:00,NA,NA
2008,8,5,08/05,03:30,NA,NA
2008,8,5,08/05,04:00,NA,NA
2008,8,5,08/05,04:30,NA,NA
2008,8,5,08/05,05:00,29.25,0.871051624
2008,8,5,08/05,05:30,130.1,0.897510377
2008,8,5,08/05,06:00,236.4,0.844230118
2008,8,5,08/05,06:30,316.3,0.911969649
2008,8,5,08/05,07:00,488.85,0.824776516
2008,8,5,08/05,07:30,446.15,0.946726437
2008,8,5,08/05,08:00,445.4,0.938796587
2008,8,5,08/05,08:30,691.45,0.89599248
2008,8,5,08/05,09:00,658.6,0.945897358
2008,8,5,08/05,09:30,718.95,0.905129703
2008,8,5,08/05,10:00,810,0.956632099
2008,8,5,08/05,10:30,818,0.955919315
2008,8,5,08/05,11:00,1003.5,0.939345291
2008,8,5,08/05,11:30,795,0.956641509
2008,8,5,08/05,12:00,800,0.9870225
2008,8,5,08/05,12:30,688.65,0.981913889
2008,8,5,08/05,13:00,635.7,0.993476483
2008,8,5,08/05,13:30,882,0.964538549
2008,8,5,08/05,14:00,795.5,0.981433061
2008,8,5,08/05,14:30,892,0.974219731
2008,8,5,08/05,15:00,453.7,0.984621997
2008,8,5,08/05,15:30,273.55,0.97178578
2008,8,5,08/05,16:00,200.7,0.974773293
2008,8,5,08/05,16:30,342.7,0.968739422
2008,8,5,08/05,17:00,307.05,0.980889106
2008,8,5,08/05,17:30,100.85,0.95772236
2008,8,5,08/05,18:00,72.405,0.937393826
2008,8,5,08/05,18:30,47.975,0.923789474
2008,8,5,08/05,19:00,29.46,0.880407332
2008,8,5,08/05,19:30,4.227,0.60212917
2008,8,5,08/05,20:00,NA,NA
2008,8,5,08/05,20:30,NA,NA
2008,8,5,08/05,21:00,NA,NA
2008,8,5,08/05,21:30,NA,NA
2008,8,5,08/05,22:00,NA,NA
2008,8,5,08/05,22:30,NA,NA
2008,8,5,08/05,23:00,NA,NA
2008,8,5,08/05,23:30,NA,NA
2008,8,5,08/05,24:00:00,NA,NA
2008,9,5,09/05,00:30,NA,NA
2008,9,5,09/05,01:00,NA,NA
2008,9,5,09/05,01:30,NA,NA
2008,9,5,09/05,02:00,NA,NA
2008,9,5,09/05,02:30,NA,NA
2008,9,5,09/05,03:00,NA,NA
2008,9,5,09/05,03:30,NA,NA
2008,9,5,09/05,04:00,NA,NA
2008,9,5,09/05,04:30,NA,NA
2008,9,5,09/05,05:00,16.345,0.813808504
2008,9,5,09/05,05:30,49.815,0.928798555
2008,9,5,09/05,06:00,98.8,0.951730769
2008,9,5,09/05,06:30,171.95,0.962715906
2008,9,5,09/05,07:00,225.9,0.966631253
2008,9,5,09/05,07:30,251.95,0.968108752
2008,9,5,09/05,08:00,371.05,0.969306023
2008,9,5,09/05,08:30,462,0.975677489
2008,9,5,09/05,09:00,449.2,0.968178985
2008,9,5,09/05,09:30,552.65,0.960747308
2008,9,5,09/05,10:00,562.55,0.964845791
2008,9,5,09/05,10:30,470.25,0.973380117
2008,9,5,09/05,11:00,461.7,0.975655187
2008,9,5,09/05,11:30,687.45,0.981277184
2008,9,5,09/05,12:00,649.4,0.980449646
2008,9,5,09/05,12:30,548.75,0.97236082
2008,9,5,09/05,13:00,450.6,0.97548158
2008,9,5,09/05,13:30,413.45,0.971769259
2008,9,5,09/05,14:00,376.65,0.98090535
2008,9,5,09/05,14:30,396.85,0.968897568
2008,9,5,09/05,15:00,625.9,0.99434734
2008,9,5,09/05,15:30,469.75,0.983661522
2008,9,5,09/05,16:00,303.95,0.968962
2008,9,5,09/05,16:30,182.75,0.962194254
2008,9,5,09/05,17:00,111,0.953312613
2008,9,5,09/05,17:30,84.35,0.955398933
2008,9,5,09/05,18:00,59.335,0.936039437
2008,9,5,09/05,18:30,29.245,0.904838434
2008,9,5,09/05,19:00,9.437,0.721352125
2008,9,5,09/05,19:30,2.659,0.353253103
2008,9,5,09/05,20:00,NA,NA
2008,9,5,09/05,20:30,NA,NA
2008,9,5,09/05,21:00,NA,NA
2008,9,5,09/05,21:30,NA,NA
2008,9,5,09/05,22:00,NA,NA
2008,9,5,09/05,22:30,NA,NA
2008,9,5,09/05,23:00,NA,NA
2008,9,5,09/05,23:30,NA,NA
2008,9,5,09/05,24:00:00,NA,NA
2008,10,5,10/05,00:30,NA,NA
2008,10,5,10/05,01:00,NA,NA
2008,10,5,10/05,01:30,NA,NA
2008,10,5,10/05,02:00,NA,NA
2008,10,5,10/05,02:30,NA,NA
2008,10,5,10/05,03:00,NA,NA
2008,10,5,10/05,03:30,NA,NA
2008,10,5,10/05,04:00,NA,NA
2008,10,5,10/05,04:30,NA,NA
2008,10,5,10/05,05:00,15.67,0.763397575
2008,10,5,10/05,05:30,59.51,0.923952277
2008,10,5,10/05,06:00,105.4,0.941868121
2008,10,5,10/05,06:30,144.25,0.947964645
2008,10,5,10/05,07:00,203.5,0.967813268
2008,10,5,10/05,07:30,291.65,0.972772158
2008,10,5,10/05,08:00,284,0.964834507
2008,10,5,10/05,08:30,118.35,0.961100127
2008,10,5,10/05,09:00,194.35,0.966606638
2008,10,5,10/05,09:30,135.25,0.965866174
2008,10,5,10/05,10:00,137.7,0.965331155
2008,10,5,10/05,10:30,263.15,0.968740262
2008,10,5,10/05,11:00,307.7,0.977832304
2008,10,5,10/05,11:30,711.35,0.978692627
2008,10,5,10/05,12:00,1089,0.854094582
2008,10,5,10/05,12:30,977.5,0.989231714
2008,10,5,10/05,13:00,852.5,0.984290909
2008,10,5,10/05,13:30,975,0.961209231
2008,10,5,10/05,14:00,942,0.974617834
2008,10,5,10/05,14:30,900,0.907316667
2008,10,5,10/05,15:00,596.4,0.979686452
2008,10,5,10/05,15:30,514.3,0.972687148
2008,10,5,10/05,16:00,576.8,0.952215673
2008,10,5,10/05,16:30,432.65,0.969263839
2008,10,5,10/05,17:00,317.6,0.982333123
2008,10,5,10/05,17:30,194.2,0.982955716
2008,10,5,10/05,18:00,199.55,0.983933851
2008,10,5,10/05,18:30,111.95,0.96534167
2008,10,5,10/05,19:00,47.41,0.927342333
2008,10,5,10/05,19:30,9.674,0.676326235
2008,10,5,10/05,20:00,NA,NA
2008,10,5,10/05,20:30,NA,NA
2008,10,5,10/05,21:00,NA,NA
2008,10,5,10/05,21:30,NA,NA
2008,10,5,10/05,22:00,NA,NA
2008,10,5,10/05,22:30,NA,NA
2008,10,5,10/05,23:00,NA,NA
2008,10,5,10/05,23:30,NA,NA
2008,10,5,10/05,24:00:00,NA,NA
2008,11,5,11/05,00:30,NA,NA
2008,11,5,11/05,01:00,NA,NA
2008,11,5,11/05,01:30,NA,NA
2008,11,5,11/05,02:00,NA,NA
2008,11,5,11/05,02:30,NA,NA
