,area,axis,height,metamer,organ,plant,species
2,16.0,MS,24.2889122789,1,blade,1,Soissons
0,3.14159265359,MS,2.5,1,internode,1,Soissons
1,6.22035345411,MS,10.5,1,sheath,1,Soissons
4,22.8,MS,31.8804487602,2,blade,1,Soissons
3,10.1536274564,MS,21.05,2,sheath,1,Soissons
7,34.0,MS,49.9999484258,3,blade,1,Soissons
5,0.292168116784,MS,26.25,3,internode,1,Soissons
6,15.8336269741,MS,33.4,3,sheath,1,Soissons
10,34.6,MS,58.9115635031,4,blade,1,Soissons
8,3.75734481369,MS,42.7,4,internode,1,Soissons
9,18.6767683256,MS,52.25,4,sheath,1,Soissons
11,8.1367249728,MS,63.2,5,internode,1,Soissons
12,47.1238898038,MS,71.4,6,internode,1,Soissons
15,16.0,MS,24.1337857544,1,blade,2,Soissons
13,3.14159265359,MS,2.5,1,internode,2,Soissons
14,6.22035345411,MS,10.5,1,sheath,2,Soissons
17,22.8,MS,24.2379240015,2,blade,2,Soissons
16,10.1536274564,MS,21.05,2,sheath,2,Soissons
20,34.0,MS,49.9691195119,3,blade,2,Soissons
18,0.292168116784,MS,26.25,3,internode,2,Soissons
19,15.8336269741,MS,33.4,3,sheath,2,Soissons
23,34.6,MS,66.2101883856,4,blade,2,Soissons
21,3.75734481369,MS,42.7,4,internode,2,Soissons
22,18.6767683256,MS,52.25,4,sheath,2,Soissons
24,8.1367249728,MS,63.2,5,internode,2,Soissons
25,47.1238898038,MS,71.4,6,internode,2,Soissons
28,16.0,MS,21.0231491949,1,blade,3,Soissons
26,3.14159265359,MS,2.5,1,internode,3,Soissons
27,6.22035345411,MS,10.5,1,sheath,3,Soissons
30,22.8,MS,37.0078279864,2,blade,3,Soissons
29,10.1536274564,MS,21.05,2,sheath,3,Soissons
33,34.0,MS,51.3199432164,3,blade,3,Soissons
31,0.292168116784,MS,26.25,3,internode,3,Soissons
32,15.8336269741,MS,33.4,3,sheath,3,Soissons
36,34.6,MS,58.603700885,4,blade,3,Soissons
34,3.75734481369,MS,42.7,4,internode,3,Soissons
35,18.6767683256,MS,52.25,4,sheath,3,Soissons
37,8.1367249728,MS,63.2,5,internode,3,Soissons
38,47.1238898038,MS,71.4,6,internode,3,Soissons
41,16.0,MS,24.247791242,1,blade,4,Soissons
39,3.14159265359,MS,2.5,1,internode,4,Soissons
40,6.22035345411,MS,10.5,1,sheath,4,Soissons
43,22.8,MS,37.0078279864,2,blade,4,Soissons
42,10.1536274564,MS,21.05,2,sheath,4,Soissons
46,34.0,MS,51.3199432164,3,blade,4,Soissons
44,0.292168116784,MS,26.25,3,internode,4,Soissons
45,15.8336269741,MS,33.4,3,sheath,4,Soissons
49,34.6,MS,62.0827321211,4,blade,4,Soissons
47,3.75734481369,MS,42.7,4,internode,4,Soissons
48,18.6767683256,MS,52.25,4,sheath,4,Soissons
50,8.1367249728,MS,63.2,5,internode,4,Soissons
51,47.1238898038,MS,71.4,6,internode,4,Soissons
54,16.0,MS,23.6483487184,1,blade,5,Soissons
52,3.14159265359,MS,2.5,1,internode,5,Soissons
53,6.22035345411,MS,10.5,1,sheath,5,Soissons
56,22.8,MS,30.5218428592,2,blade,5,Soissons
55,10.1536274564,MS,21.05,2,sheath,5,Soissons
59,34.0,MS,49.6296353898,3,blade,5,Soissons
57,0.292168116784,MS,26.25,3,internode,5,Soissons
58,15.8336269741,MS,33.4,3,sheath,5,Soissons
62,34.6,MS,67.4177282347,4,blade,5,Soissons
60,3.75734481369,MS,42.7,4,internode,5,Soissons
61,18.6767683256,MS,52.25,4,sheath,5,Soissons
63,8.1367249728,MS,63.2,5,internode,5,Soissons
64,47.1238898038,MS,71.4,6,internode,5,Soissons
67,16.0,MS,23.8788511329,1,blade,6,Soissons
65,3.14159265359,MS,2.5,1,internode,6,Soissons
66,6.22035345411,MS,10.5,1,sheath,6,Soissons
69,22.8,MS,34.5610070054,2,blade,6,Soissons
68,10.1536274564,MS,21.05,2,sheath,6,Soissons
72,34.0,MS,49.6296353898,3,blade,6,Soissons
70,0.292168116784,MS,26.25,3,internode,6,Soissons
71,15.8336269741,MS,33.4,3,sheath,6,Soissons
75,34.6,MS,66.1988597543,4,blade,6,Soissons
