t,air_temperature,humidity,ambient_CO2,Wind,PARi
0,19.1,0.84,360,2.2,0
1,17.9,0.9,360,2.2,0
2,17.1,0.94,360,2.2,0
3,16.7,0.94,360,2.2,0
4,16.5,0.94,360,2.2,5.611111111
5,16.4,0.94,360,2.2,16.83333333
6,16.6,0.94,360,2.2,28.05555556
7,16.9,0.84,360,2.2,61.72222222
8,16.5,0.85,360,2.2,89.77777778
9,15.5,0.85,360,2.2,134.6666667
10,16.3,0.77,360,2.2,342.2777778
11,18.2,0.69,360,2.2,1021.222222
12,17.8,0.6,360,2.2,1464.5
13,18.7,0.57,360,2.2,1195.166667
14,18.8,0.53,360,2.2,1066.111111
15,19.2,0.5,360,2.2,937.0555556
16,18.8,0.47,360,2.2,914.6111111
17,18.1,0.48,360,2.2,437.6666667
18,16.3,0.54,360,2.2,263.7222222
19,13.8,0.65,360,2.2,44.88888889
20,11.6,0.77,360,2.2,0
21,12.1,0.71,360,2.2,0
22,12,0.69,360,2.2,0
23,10.5,0.77,360,2.2,0
24,10.4,0.83,360,2.8,0
25,9.7,0.83,360,2.8,0
26,11.8,0.76,360,2.8,0
27,9.5,0.8,360,2.8,0
28,9.2,0.9,360,2.8,67.33333333
29,13.7,0.72,360,2.8,336.6666667
30,14.9,0.68,360,2.8,667.7222222
31,16.1,0.67,360,2.8,1026.833333
32,18.3,0.63,360,2.8,1290.555556
33,19.5,0.62,360,2.8,1548.666667
34,20.3,0.57,360,2.8,1739.444444
35,21.3,0.55,360,2.8,1548.666667
36,22.4,0.53,360,2.8,1795.555556
37,23,0.43,360,2.8,1582.333333
38,23.2,0.33,360,2.8,1464.5
39,22.8,0.4,360,2.8,1189.555556
40,22,0.39,360,2.8,892.1666667
41,20.9,0.44,360,2.8,538.6666667
42,19.6,0.5,360,2.8,207.6111111
43,17.4,0.59,360,2.8,11.22222222
44,16.1,0.64,360,2.8,0
45,15.4,0.68,360,2.8,0
46,13.2,0.77,360,2.8,0
47,14,0.78,360,2.8,0
48,13.3,0.76,360,3.1,0
49,13,0.76,360,3.1,0
50,12.7,0.77,360,3.1,0
51,12.2,0.79,360,3.1,0
52,12,0.78,360,3.1,0
53,12.4,0.77,360,3.1,101
54,13.4,0.75,360,3.1,252.5
55,14,0.73,360,3.1,426.4444444
56,14.6,0.68,360,3.1,505
57,16.9,0.63,360,3.1,1105.388889
58,17.7,0.57,360,3.1,1307.388889
59,18.1,0.54,360,3.1,1251.277778
60,19.5,0.48,360,3.1,1537.444444
61,19.8,0.49,360,3.1,1369.111111
62,20.1,0.47,360,3.1,1094.166667
63,19.1,0.5,360,3.1,931.4444444
64,19.9,0.48,360,3.1,650.8888889
65,18.3,0.51,360,3.1,448.8888889
66,17.1,0.57,360,3.1,134.6666667
67,16.3,0.61,360,3.1,0
68,15.2,0.65,360,3.1,0
69,15.1,0.66,360,3.1,0
70,14.7,0.7,360,3.1,0
71,14.6,0.73,360,3.1,0
72,13.2,0.63,360,3.4,0
73,13.2,0.63,360,3.4,0
74,12.9,0.63,360,3.4,0
75,12.4,0.68,360,3.4,0
76,11.7,0.72,360,3.4,0
77,11.6,0.73,360,3.4,28.05555556
78,11.7,0.73,360,3.4,101
79,11.9,0.75,360,3.4,224.4444444
80,12.3,0.75,360,3.4,404
81,12.6,0.73,360,3.4,499.3888889
82,13.1,0.73,360,3.4,437.6666667
83,13.9,0.71,360,3.4,645.2777778
84,15,0.68,360,3.4,690.1666667
85,15.7,0.69,360,3.4,645.2777778
86,15.9,0.67,360,3.4,549.8888889
87,16.2,0.65,360,3.4,460.1111111
88,16.2,0.65,360,3.4,246.8888889
89,16.2,0.67,360,3.4,179.5555556
90,15.4,0.75,360,3.4,56.11111111
91,13.6,0.83,360,3.4,0
92,14.1,0.78,360,3.4,0
93,14,0.8,360,3.4,0
94,12.7,0.85,360,3.4,0
95,11.8,0.88,360,3.4,0
96,10.5,0.86,360,3,0
97,11.6,0.85,360,3,0
98,12.1,0.81,360,3,0
99,12.1,0.84,360,3,0
100,12.5,0.84,360,3,11.22222222
101,13.3,0.81,360,3,123.4444444
102,15.2,0.73,360,3,521.8333333
103,18,0.63,360,3,1066.111111
104,19.8,0.56,360,3,1453.277778
105,19,0.52,360,3,909
106,20.7,0.48,360,3,1593.555556
107,20.7,0.48,360,3,948.2777778
108,20.7,0.51,360,3,611.6111111
109,20.3,0.5,360,3,740.6666667
110,19.3,0.6,360,3,937.0555556
111,18.9,0.57,360,3,353.5
112,19,0.51,360,3,140.2777778
113,18.7,0.51,360,3,179.5555556
114,18,0.54,360,3,56.11111111
115,16.9,0.62,360,3,0
116,15.8,0.7,360,3,0
117,14.8,0.7,360,3,0
118,12.5,0.79,360,3,0
119,12.7,0.81,360,3,0
120,15.2,0.93,360,2,0
121,15.2,0.93,360,2,0
122,15.9,0.88,360,2,0
123,14.8,0.93,360,2,0
124,14.9,0.93,360,2,33.66666667
125,15.4,0.9,360,2,168.3333333
126,15.9,0.9,360,2,213.2222222
127,17.9,0.76,360,2,572.3333333
128,18.5,0.74,360,2,555.5
129,19.1,0.76,360,2,516.2222222
130,17.1,0.95,360,2,488.1666667
131,17.5,0.92,360,2,280.5555556
132,18.7,0.85,360,2,471.3333333
133,19,0.83,360,2,650.8888889
134,19.1,0.78,360,2,594.7777778
135,19.7,0.68,360,2,347.8888889
136,20.1,0.72,360,2,325.4444444
137,20.5,0.73,360,2,241.2777778
138,19.8,0.76,360,2,168.3333333
139,17.3,0.86,360,2,16.83333333
140,17.4,0.77,360,2,0
