plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,181.0946126,14.61894095,12.49482133,NA,NA,NA,4.10E-02,2.05E-04,0.205240561
