t,species,metamer,organ,Eabs,plant
7,Caphorn,3,blade,0.0665935156806,1
7,Caphorn,3,sheath,0.0112972974836,1
7,Caphorn,4,blade,0.212030365484,1
7,Caphorn,4,internode,0.0181358413242,1
7,Caphorn,4,sheath,0.0404365471646,1
7,Caphorn,5,internode,0.0641657366143,1
7,Caphorn,6,internode,0.192153755381,1
7,Soissons,1,blade,0.0165471880799,2
7,Soissons,1,sheath,0.00676865504899,2
7,Soissons,2,blade,0.0342091651941,2
7,Soissons,2,sheath,0.00461994415031,2
7,Soissons,3,blade,0.0854530427094,2
7,Soissons,3,sheath,0.0109606692747,2
7,Soissons,4,blade,0.234673593512,2
7,Soissons,4,internode,0.0182415869887,2
7,Soissons,4,sheath,0.0380783281145,2
7,Soissons,5,internode,0.0733933517519,2
7,Soissons,6,internode,0.192393980322,2
8,Caphorn,1,blade,0.0174869550714,1
8,Caphorn,1,sheath,0.00760363804634,1
8,Caphorn,2,blade,0.0271128196312,1
8,Caphorn,2,sheath,0.00512673906836,1
8,Caphorn,3,blade,0.0665935156806,1
8,Caphorn,3,sheath,0.0112972974836,1
8,Caphorn,4,blade,0.212030365484,1
8,Caphorn,4,internode,0.0181358413242,1
8,Caphorn,4,sheath,0.0404365471646,1
8,Caphorn,5,internode,0.0641657366143,1
8,Caphorn,6,internode,0.192153755381,1
8,Soissons,1,blade,0.0165471880799,2
8,Soissons,1,sheath,0.00676865504899,2
8,Soissons,2,blade,0.0342091651941,2
8,Soissons,2,sheath,0.00461994415031,2
8,Soissons,3,blade,0.0854530427094,2
8,Soissons,3,sheath,0.0109606692747,2
8,Soissons,4,blade,0.234673593512,2
8,Soissons,4,internode,0.0182415869887,2
8,Soissons,4,sheath,0.0380783281145,2
8,Soissons,5,internode,0.0733933517519,2
8,Soissons,6,internode,0.192393980322,2
9,Caphorn,1,blade,0.0174869550714,1
9,Caphorn,1,sheath,0.00760363804634,1
9,Caphorn,2,blade,0.0271128196312,1
9,Caphorn,2,sheath,0.00512673906836,1
9,Caphorn,3,blade,0.0665935156806,1
9,Caphorn,3,sheath,0.0112972974836,1
9,Caphorn,4,blade,0.212030365484,1
9,Caphorn,4,internode,0.0181358413242,1
9,Caphorn,4,sheath,0.0404365471646,1
9,Caphorn,5,internode,0.0641657366143,1
9,Caphorn,6,internode,0.192153755381,1
9,Soissons,1,blade,0.0165471880799,2
9,Soissons,1,sheath,0.00676865504899,2
9,Soissons,2,blade,0.0342091651941,2
9,Soissons,2,sheath,0.00461994415031,2
9,Soissons,3,blade,0.0854530427094,2
9,Soissons,3,sheath,0.0109606692747,2
9,Soissons,4,blade,0.234673593512,2
9,Soissons,4,internode,0.0182415869887,2
9,Soissons,4,sheath,0.0380783281145,2
9,Soissons,5,internode,0.0733933517519,2
9,Soissons,6,internode,0.192393980322,2
10,Caphorn,1,blade,0.0174869550714,1
10,Caphorn,1,sheath,0.00760363804634,1
10,Caphorn,2,blade,0.0271128196312,1
10,Caphorn,2,sheath,0.00512673906836,1
10,Caphorn,3,blade,0.0665935156806,1
10,Caphorn,3,sheath,0.0112972974836,1
10,Caphorn,4,blade,0.212030365484,1
10,Caphorn,4,internode,0.0181358413242,1
10,Caphorn,4,sheath,0.0404365471646,1
10,Caphorn,5,internode,0.0641657366143,1
10,Caphorn,6,internode,0.192153755381,1
10,Soissons,1,blade,0.0165471880799,2
10,Soissons,1,sheath,0.00676865504899,2
10,Soissons,2,blade,0.0342091651941,2
10,Soissons,2,sheath,0.00461994415031,2
10,Soissons,3,blade,0.0854530427094,2
10,Soissons,3,sheath,0.0109606692747,2
10,Soissons,4,blade,0.234673593512,2
10,Soissons,4,internode,0.0182415869887,2
10,Soissons,4,sheath,0.0380783281145,2
10,Soissons,5,internode,0.0733933517519,2
10,Soissons,6,internode,0.192393980322,2
11,Caphorn,1,blade,0.0174869550714,1
11,Caphorn,1,sheath,0.00760363804634,1
11,Caphorn,2,blade,0.0271128196312,1
11,Caphorn,2,sheath,0.00512673906836,1
11,Caphorn,3,blade,0.0665935156806,1
11,Caphorn,3,sheath,0.0112972974836,1
11,Caphorn,4,blade,0.212030365484,1
11,Caphorn,4,internode,0.0181358413242,1
11,Caphorn,4,sheath,0.0404365471646,1
11,Caphorn,5,internode,0.0641657366143,1
11,Caphorn,6,internode,0.192153755381,1
11,Soissons,1,blade,0.0165471880799,2
11,Soissons,1,sheath,0.00676865504899,2
11,Soissons,2,blade,0.0342091651941,2
11,Soissons,2,sheath,0.00461994415031,2
11,Soissons,3,blade,0.0854530427094,2
11,Soissons,3,sheath,0.0109606692747,2
11,Soissons,4,blade,0.234673593512,2
11,Soissons,4,internode,0.0182415869887,2
11,Soissons,4,sheath,0.0380783281145,2
11,Soissons,5,internode,0.0733933517519,2
11,Soissons,6,internode,0.192393980322,2
12,Caphorn,1,blade,0.0174869550714,1
12,Caphorn,1,sheath,0.00760363804634,1
12,Caphorn,2,blade,0.0271128196312,1
12,Caphorn,2,sheath,0.00512673906836,1
12,Caphorn,3,blade,0.0665935156806,1
12,Caphorn,3,sheath,0.0112972974836,1
12,Caphorn,4,blade,0.212030365484,1
12,Caphorn,4,internode,0.0181358413242,1
12,Caphorn,4,sheath,0.0404365471646,1
12,Caphorn,5,internode,0.0641657366143,1
12,Caphorn,6,internode,0.192153755381,1
12,Soissons,1,blade,0.0165471880799,2
12,Soissons,1,sheath,0.00676865504899,2
12,Soissons,2,blade,0.0342091651941,2
12,Soissons,2,sheath,0.00461994415031,2
12,Soissons,3,blade,0.0854530427094,2
12,Soissons,3,sheath,0.0109606692747,2
12,Soissons,4,blade,0.234673593512,2
12,Soissons,4,internode,0.0182415869887,2
12,Soissons,4,sheath,0.0380783281145,2
12,Soissons,5,internode,0.0733933517519,2
12,Soissons,6,internode,0.192393980322,2
13,Caphorn,1,blade,0.0174869550714,1
13,Caphorn,1,sheath,0.00760363804634,1
13,Caphorn,2,blade,0.0271128196312,1
13,Caphorn,2,sheath,0.00512673906836,1
13,Caphorn,3,blade,0.0665935156806,1
13,Caphorn,3,sheath,0.0112972974836,1
13,Caphorn,4,blade,0.212030365484,1
13,Caphorn,4,internode,0.0181358413242,1
13,Caphorn,4,sheath,0.0404365471646,1
13,Caphorn,5,internode,0.0641657366143,1
13,Caphorn,6,internode,0.192153755381,1
13,Soissons,1,blade,0.0165471880799,2
13,Soissons,1,sheath,0.00676865504899,2
13,Soissons,2,blade,0.0342091651941,2
13,Soissons,2,sheath,0.00461994415031,2
13,Soissons,3,blade,0.0854530427094,2
13,Soissons,3,sheath,0.0109606692747,2
13,Soissons,4,blade,0.234673593512,2
13,Soissons,4,internode,0.0182415869887,2
13,Soissons,4,sheath,0.0380783281145,2
13,Soissons,5,internode,0.0733933517519,2
13,Soissons,6,internode,0.192393980322,2
14,Caphorn,1,blade,0.0174869550714,1
14,Caphorn,1,sheath,0.00760363804634,1
14,Caphorn,2,blade,0.0271128196312,1
14,Caphorn,2,sheath,0.00512673906836,1
14,Caphorn,3,blade,0.0665935156806,1
14,Caphorn,3,sheath,0.0112972974836,1
14,Caphorn,4,blade,0.212030365484,1
14,Caphorn,4,internode,0.0181358413242,1
14,Caphorn,4,sheath,0.0404365471646,1
14,Caphorn,5,internode,0.0641657366143,1
14,Caphorn,6,internode,0.192153755381,1
14,Soissons,1,blade,0.0165471880799,2
14,Soissons,1,sheath,0.00676865504899,2
14,Soissons,2,blade,0.0342091651941,2
14,Soissons,2,sheath,0.00461994415031,2
14,Soissons,3,blade,0.0854530427094,2
14,Soissons,3,sheath,0.0109606692747,2
14,Soissons,4,blade,0.234673593512,2
14,Soissons,4,internode,0.0182415869887,2
14,Soissons,4,sheath,0.0380783281145,2
14,Soissons,5,internode,0.0733933517519,2
14,Soissons,6,internode,0.192393980322,2
15,Caphorn,1,blade,0.0174869550714,1
15,Caphorn,1,sheath,0.00760363804634,1
15,Caphorn,2,blade,0.0271128196312,1
15,Caphorn,2,sheath,0.00512673906836,1
15,Caphorn,3,blade,0.0665935156806,1
15,Caphorn,3,sheath,0.0112972974836,1
15,Caphorn,4,blade,0.212030365484,1
15,Caphorn,4,internode,0.0181358413242,1
15,Caphorn,4,sheath,0.0404365471646,1
15,Caphorn,5,internode,0.0641657366143,1
15,Caphorn,6,internode,0.192153755381,1
15,Soissons,1,blade,0.0165471880799,2
15,Soissons,1,sheath,0.00676865504899,2
15,Soissons,2,blade,0.0342091651941,2
15,Soissons,2,sheath,0.00461994415031,2
15,Soissons,3,blade,0.0854530427094,2
15,Soissons,3,sheath,0.0109606692747,2
15,Soissons,4,blade,0.234673593512,2
15,Soissons,4,internode,0.0182415869887,2
15,Soissons,4,sheath,0.0380783281145,2
15,Soissons,5,internode,0.0733933517519,2
15,Soissons,6,internode,0.192393980322,2
16,Caphorn,1,blade,0.0174869550714,1
16,Caphorn,1,sheath,0.00760363804634,1
16,Caphorn,2,blade,0.0271128196312,1
16,Caphorn,2,sheath,0.00512673906836,1
16,Caphorn,3,blade,0.0665935156806,1
16,Caphorn,3,sheath,0.0112972974836,1
16,Caphorn,4,blade,0.212030365484,1
16,Caphorn,4,internode,0.0181358413242,1
16,Caphorn,4,sheath,0.0404365471646,1
16,Caphorn,5,internode,0.0641657366143,1
16,Caphorn,6,internode,0.192153755381,1
16,Soissons,1,blade,0.0165471880799,2
16,Soissons,1,sheath,0.00676865504899,2
16,Soissons,2,blade,0.0342091651941,2
16,Soissons,2,sheath,0.00461994415031,2
16,Soissons,3,blade,0.0854530427094,2
16,Soissons,3,sheath,0.0109606692747,2
16,Soissons,4,blade,0.234673593512,2
16,Soissons,4,internode,0.0182415869887,2
16,Soissons,4,sheath,0.0380783281145,2
16,Soissons,5,internode,0.0733933517519,2
16,Soissons,6,internode,0.192393980322,2
17,Caphorn,1,blade,0.0174869550714,1
17,Caphorn,1,sheath,0.00760363804634,1
17,Caphorn,2,blade,0.0271128196312,1
17,Caphorn,2,sheath,0.00512673906836,1
17,Caphorn,3,blade,0.0665935156806,1
17,Caphorn,3,sheath,0.0112972974836,1
17,Caphorn,4,blade,0.212030365484,1
17,Caphorn,4,internode,0.0181358413242,1
17,Caphorn,4,sheath,0.0404365471646,1
17,Caphorn,5,internode,0.0641657366143,1
17,Caphorn,6,internode,0.192153755381,1
17,Soissons,1,blade,0.0165471880799,2
17,Soissons,1,sheath,0.00676865504899,2
17,Soissons,2,blade,0.0342091651941,2
17,Soissons,2,sheath,0.00461994415031,2
17,Soissons,3,blade,0.0854530427094,2
17,Soissons,3,sheath,0.0109606692747,2
17,Soissons,4,blade,0.234673593512,2
17,Soissons,4,internode,0.0182415869887,2
17,Soissons,4,sheath,0.0380783281145,2
17,Soissons,5,internode,0.0733933517519,2
17,Soissons,6,internode,0.192393980322,2
18,Caphorn,1,blade,0.0174869550714,1
18,Caphorn,1,sheath,0.00760363804634,1
18,Caphorn,2,blade,0.0271128196312,1
18,Caphorn,2,sheath,0.00512673906836,1
18,Caphorn,3,blade,0.0665935156806,1
18,Caphorn,3,sheath,0.0112972974836,1
18,Caphorn,4,blade,0.212030365484,1
18,Caphorn,4,internode,0.0181358413242,1
18,Caphorn,4,sheath,0.0404365471646,1
18,Caphorn,5,internode,0.0641657366143,1
18,Caphorn,6,internode,0.192153755381,1
18,Soissons,1,blade,0.0165471880799,2
18,Soissons,1,sheath,0.00676865504899,2
18,Soissons,2,blade,0.0342091651941,2
18,Soissons,2,sheath,0.00461994415031,2
18,Soissons,3,blade,0.0854530427094,2
18,Soissons,3,sheath,0.0109606692747,2
18,Soissons,4,blade,0.234673593512,2
18,Soissons,4,internode,0.0182415869887,2
18,Soissons,4,sheath,0.0380783281145,2
18,Soissons,5,internode,0.0733933517519,2
18,Soissons,6,internode,0.192393980322,2
19,Caphorn,1,blade,0.0174869550714,1
19,Caphorn,1,sheath,0.00760363804634,1
19,Caphorn,2,blade,0.0271128196312,1
19,Caphorn,2,sheath,0.00512673906836,1
19,Caphorn,3,blade,0.0665935156806,1
19,Caphorn,3,sheath,0.0112972974836,1
19,Caphorn,4,blade,0.212030365484,1
19,Caphorn,4,internode,0.0181358413242,1
19,Caphorn,4,sheath,0.0404365471646,1
19,Caphorn,5,internode,0.0641657366143,1
19,Caphorn,6,internode,0.192153755381,1
19,Soissons,1,blade,0.0165471880799,2
19,Soissons,1,sheath,0.00676865504899,2
19,Soissons,2,blade,0.0342091651941,2
19,Soissons,2,sheath,0.00461994415031,2
19,Soissons,3,blade,0.0854530427094,2
19,Soissons,3,sheath,0.0109606692747,2
19,Soissons,4,blade,0.234673593512,2
19,Soissons,4,internode,0.0182415869887,2
19,Soissons,4,sheath,0.0380783281145,2
19,Soissons,5,internode,0.0733933517519,2
19,Soissons,6,internode,0.192393980322,2
20,Caphorn,1,blade,0.0,1
20,Caphorn,1,sheath,0.0,1
20,Caphorn,2,blade,0.0,1
20,Caphorn,2,sheath,0.0,1
20,Caphorn,3,blade,0.0,1
20,Caphorn,3,sheath,0.0,1
20,Caphorn,4,blade,0.0,1
20,Caphorn,4,internode,0.0,1
20,Caphorn,4,sheath,0.0,1
20,Caphorn,5,internode,0.0,1
20,Caphorn,6,internode,0.0,1
20,Soissons,1,blade,0.0,2
20,Soissons,1,sheath,0.0,2
20,Soissons,2,blade,0.0,2
20,Soissons,2,sheath,0.0,2
20,Soissons,3,blade,0.0,2
20,Soissons,3,sheath,0.0,2
20,Soissons,4,blade,0.0,2
20,Soissons,4,internode,0.0,2
20,Soissons,4,sheath,0.0,2
20,Soissons,5,internode,0.0,2
20,Soissons,6,internode,0.0,2
21,Caphorn,1,blade,0.0,1
21,Caphorn,1,sheath,0.0,1
21,Caphorn,2,blade,0.0,1
21,Caphorn,2,sheath,0.0,1
21,Caphorn,3,blade,0.0,1
21,Caphorn,3,sheath,0.0,1
21,Caphorn,4,blade,0.0,1
21,Caphorn,4,internode,0.0,1
21,Caphorn,4,sheath,0.0,1
21,Caphorn,5,internode,0.0,1
21,Caphorn,6,internode,0.0,1
21,Soissons,1,blade,0.0,2
21,Soissons,1,sheath,0.0,2
21,Soissons,2,blade,0.0,2
21,Soissons,2,sheath,0.0,2
21,Soissons,3,blade,0.0,2
21,Soissons,3,sheath,0.0,2
21,Soissons,4,blade,0.0,2
21,Soissons,4,internode,0.0,2
21,Soissons,4,sheath,0.0,2
21,Soissons,5,internode,0.0,2
21,Soissons,6,internode,0.0,2
22,Caphorn,1,blade,0.0,1
22,Caphorn,1,sheath,0.0,1
22,Caphorn,2,blade,0.0,1
22,Caphorn,2,sheath,0.0,1
22,Caphorn,3,blade,0.0,1
22,Caphorn,3,sheath,0.0,1
22,Caphorn,4,blade,0.0,1
22,Caphorn,4,internode,0.0,1
22,Caphorn,4,sheath,0.0,1
22,Caphorn,5,internode,0.0,1
22,Caphorn,6,internode,0.0,1
22,Soissons,1,blade,0.0,2
22,Soissons,1,sheath,0.0,2
22,Soissons,2,blade,0.0,2
22,Soissons,2,sheath,0.0,2
22,Soissons,3,blade,0.0,2
22,Soissons,3,sheath,0.0,2
22,Soissons,4,blade,0.0,2
22,Soissons,4,internode,0.0,2
22,Soissons,4,sheath,0.0,2
22,Soissons,5,internode,0.0,2
22,Soissons,6,internode,0.0,2
23,Caphorn,1,blade,0.0,1
23,Caphorn,1,sheath,0.0,1
23,Caphorn,2,blade,0.0,1
23,Caphorn,2,sheath,0.0,1
23,Caphorn,3,blade,0.0,1
23,Caphorn,3,sheath,0.0,1
23,Caphorn,4,blade,0.0,1
23,Caphorn,4,internode,0.0,1
23,Caphorn,4,sheath,0.0,1
23,Caphorn,5,internode,0.0,1
23,Caphorn,6,internode,0.0,1
23,Soissons,1,blade,0.0,2
23,Soissons,1,sheath,0.0,2
23,Soissons,2,blade,0.0,2
23,Soissons,2,sheath,0.0,2
23,Soissons,3,blade,0.0,2
23,Soissons,3,sheath,0.0,2
23,Soissons,4,blade,0.0,2
23,Soissons,4,internode,0.0,2
23,Soissons,4,sheath,0.0,2
23,Soissons,5,internode,0.0,2
23,Soissons,6,internode,0.0,2
24,Caphorn,1,blade,0.0,1
24,Caphorn,1,sheath,0.0,1
24,Caphorn,2,blade,0.0,1
24,Caphorn,2,sheath,0.0,1
24,Caphorn,3,blade,0.0,1
24,Caphorn,3,sheath,0.0,1
24,Caphorn,4,blade,0.0,1
24,Caphorn,4,internode,0.0,1
