plant,axis,metamer,leaf_is_growing,internode_is_growing,leaf_L,delta_leaf_L,internode_L,delta_internode_L,SSLW,SSSW,leaf_is_emerged,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,leaf_enclosed_Nstruct,internode_mstruct,internode_Nstruct,mstruct
1,MS,4,True,True,0.031,0,0,0,27.6,138,True,0.1728,0.016848,0,0,1.44E-04,4.64E-06,0,0,1.44E-04
1,MS,5,True,True,0.00154954,0,0,0,27.3,136.25,False,0.003732,0.000364,0,0,3.11E-06,1.00E-07,0,0,3.11E-06
1,MS,6,True,True,0.00045,0,0,0,NA,NA,False,0.000768,0.000075,0,0,6.40E-07,2.06E-08,0,0,6.40E-07
