plant,axis,metamer,sucrose,amino_acids,fructan,proteins,mstruct,Nstruct
1,MS,4,0.1728,0.016848,0,0.479,1.44E-04,4.64E-06
1,MS,5,0.003732,0.000364,0,0.002,3.11E-06,1.00E-07
1,MS,6,0.000768,0.000075,0,0,6.40E-07,2.06E-08
