plant,axis,metamer,organ,element,starch,max_proteins,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,cytokinins
1,MS,1,blade,LeafElement1,0,0.8,2.7,0.8,0.00054,0.018,0,3.6,0.000973318,2.7
1,MS,1,sheath,StemElement,0,0.4,1.5,0.4,0.0003,0.01,0,2,0.00028463,1.5
1,MS,2,blade,LeafElement1,0,1,3,1,0.0006,0.02,0,4,0.000233465,3
1,MS,2,sheath,StemElement,0,0.5,1.8,0.5,0.00036,0.012,0,2.4,0.00028463,1.8
1,MS,2,sheath,HiddenElement,0,0.5,1.8,0.5,0.00036,0.012,0,2.4,0.00028463,1.8
1,MS,3,blade,LeafElement1,0,1.2,3.3,1.2,0.00066,0.022,0,4.4,0.00082562,3.3
