t,plant,axis,Total_Transpiration,mstruct
0,1,MS,0.0025374987042274034,2.1500289348887813
1,1,MS,0.0025374987042274034,2.1502319107529706
2,1,MS,0.0008453343815740703,2.1497178456820527
3,1,MS,0.0008453343815740703,2.1499306477567988
4,1,MS,0.0008414905742600963,2.149417228760906
5,1,MS,0.0008414905742600963,2.1496333785973913
6,1,MS,0.0009579646094450186,2.1491193780360986
7,1,MS,0.0009579646094450186,2.149337417415778
8,1,MS,0.0027816536766518602,2.1488226593783843
9,1,MS,0.0027816536766518602,2.1490420896239364
10,1,MS,0.006549537088154249,2.148526646300878
11,1,MS,0.006549537088154249,2.148747394079033
12,1,MS,0.022437695760250422,2.1482316903212624
13,1,MS,0.022437695760250422,2.1484543437244663
14,1,MS,0.020399361348095876,2.147939791423802
15,1,MS,0.020399361348095876,2.1481652616395985
16,1,MS,0.01964134919600704,2.14765301366068
17,1,MS,0.01964134919600704,2.1478812610171243
18,1,MS,0.009493805827056521,2.147371868035955
19,1,MS,0.009493805827056521,2.147602396211769
20,1,MS,0.002289485638556014,2.147095751746272
21,1,MS,0.002289485638556014,2.147327858414835
22,1,MS,0.003162588956331736,2.1468236378341072
23,1,MS,0.003162588956331736,2.1470569158660564
24,1,MS,0.0015991903360812918,2.1465548822372744
25,1,MS,0.0015991903360812918,2.146789188267706
26,1,MS,0.0024705137468951496,2.1462891710806127
27,1,MS,0.0024705137468951496,2.146524448462036
28,1,MS,0.0011776775924718919,2.146026294259882
29,1,MS,0.0011776775924718919,2.146262537444723
30,1,MS,0.011004004611977024,2.145766185277042
31,1,MS,0.011004004611977024,2.146003647624861
32,1,MS,0.02073928786886433,2.145509576859163
33,1,MS,0.02073928786886433,2.1457490312686867
34,1,MS,0.028826304898461958,2.1452583390530147
35,1,MS,0.028826304898461958,2.145500596402961
36,1,MS,0.032797036987206984,2.145014437233467
37,1,MS,0.032797036987206984,2.145259825316905
38,1,MS,0.03240934882135385,2.1447789570904745
39,1,MS,0.03240934882135385,2.1450272841102427
40,1,MS,0.024054678378098198,2.144551975330316
41,1,MS,0.024054678378098198,2.1448027999521506
42,1,MS,0.011451702008906977,2.144333004202684
43,1,MS,0.011451702008906977,2.144585806673545
44,1,MS,0.004815981908007932,2.1441211472667114
45,1,MS,0.004815981908007932,2.144375449741426
46,1,MS,0.002565934676509464,2.143915527925014
47,1,MS,0.002565934676509464,2.1441711105992507
48,1,MS,0.0027171578862619098,2.1437156295406554
49,1,MS,0.0027171578862619098,2.1439724291576057
50,1,MS,0.002503749859378086,2.1435211422471814
51,1,MS,0.002503749859378086,2.1437791361431304
52,1,MS,0.002287287417574721,2.1433318163415676
53,1,MS,0.002287287417574721,2.1435909940376883
54,1,MS,0.005226181295584079,2.143147434133262
55,1,MS,0.005226181295584079,2.1434078528171425
56,1,MS,0.009278771564877004,2.142968020522661
57,1,MS,0.009278771564877004,2.143229925957276
58,1,MS,0.02160401716014896,2.1427940478571323
59,1,MS,0.02160401716014896,2.143057905671816
60,1,MS,0.02739642887291399,2.142626635245441
61,1,MS,0.02739642887291399,2.1428930038458476
62,1,MS,0.02346479228810403,2.1424669584476344
63,1,MS,0.02346479228810403,2.142735925562684
64,1,MS,0.01792338237285674,2.142315274427959
65,1,MS,0.01792338237285674,2.1425865530247763
66,1,MS,0.00801399445005765,2.1421711590420576
67,1,MS,0.00801399445005765,2.142444351816002
68,1,MS,0.004424614927194059,2.1420338523812723
69,1,MS,0.004424614927194059,2.142308607791612
70,1,MS,0.003672722506754913,2.1419026609369536
71,1,MS,0.003672722506754913,2.142178822927319
72,1,MS,0.004148607433337496,2.141777170595944
73,1,MS,0.004148607433337496,2.1420546907556166
74,1,MS,0.0040658007696441675,2.1416571169363143
75,1,MS,0.0040658007696441675,2.141935978286896
76,1,MS,0.0028447135945848462,2.1415422840385
77,1,MS,0.0028447135945848462,2.141822478540932
78,1,MS,0.0036751127490602118,2.141432477396861
79,1,MS,0.0036751127490602118,2.141714021086352
80,1,MS,0.006203209464713157,2.141327599604154
81,1,MS,0.006203209464713157,2.141610638015864
82,1,MS,0.0071205925919388775,2.1412278998486993
83,1,MS,0.0071205925919388775,2.141512682731474
84,1,MS,0.011286697098335604,2.141133789060945
85,1,MS,0.011286697098335604,2.141420521102586
86,1,MS,0.010585645975430436,2.141045709521238
87,1,MS,0.010585645975430436,2.1413345389510017
88,1,MS,0.007772451895082139,2.140963901146217
89,1,MS,0.007772451895082139,2.1412547157976904
90,1,MS,0.003800346346806088,2.140888088522358
91,1,MS,0.003800346346806088,2.1411806430407183
92,1,MS,0.002588375506615635,2.140817761260104
93,1,MS,0.002588375506615635,2.141111865210714
94,1,MS,0.0016140313600453986,2.1411124832391093
95,1,MS,0.0016140313600453986,2.1414080400668736
96,1,MS,0.0012923160971549258,2.1414119610996774
97,1,MS,0.0012923160971549258,2.141708937252073
98,1,MS,0.0019462488273176589,2.1417159900390357
99,1,MS,0.0019462488273176589,2.142014371330125
100,1,MS,0.001761766865915265,2.1420243929198897
101,1,MS,0.001761766865915265,2.1423241698855366
102,1,MS,0.008710242608747091,2.1423370284568284
103,1,MS,0.008710242608747091,2.1426383423422726
104,1,MS,0.025283974931036297,2.142654275485571
105,1,MS,0.025283974931036297,2.14295771746256
106,1,MS,0.029215540712969293,2.142977508867949
107,1,MS,0.029215540712969293,2.1432837493095165
