t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
4,1,MS,phloem,NA,65.6491719249202,NA,166.8853732886648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.09620650341557,NA,NA,NA,NA,NA,NA,NA,NA,NA,4304.487993233855,NA
4,1,MS,roots,14.406293245215934,111.26245033242418,561.9383102677186,114.34432185208031,6.988105433128931,NA,0.006667303901395359,0.0009593634214102114,0.0023860742771952587,48.28821734659947,1.3667556676099075,0.00997891569571705,NA,NA,2.841056549560415,2.937866892290724,NA,NA,NA,5.388106489141886,3.6635916512854125,7.200658244355026,2.8531168759258643,NA,0.782639132109828,NA,NA,2.7627262154053303,72.03146622607967,7.400168494435072,NA,65.46808042485821,3.5144273830028667,0.5029156209266405,282.60755423075693,NA,1.7614933484995552e-07,1.2501142785338587e-07,0.0009429678552152854,NA,NA,690.0665474840952,778.247772976076
5,1,MS,grains,NA,NA,NA,NA,NA,0.08604465878114075,NA,NA,NA,NA,NA,NA,0.001544797016150217,1.3080232954770233e-06,NA,NA,0.0,4.78822713876647,NA,NA,NA,NA,NA,0.4405438191093429,NA,0.0,11.722900925945494,NA,NA,NA,0.0,NA,NA,NA,NA,110.34264401072979,NA,NA,NA,0.0,2489.528573060031,NA,NA
5,1,MS,phloem,NA,65.65326927992655,NA,170.33620026023434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.12290485940593,NA,NA,NA,NA,NA,NA,NA,NA,NA,4393.9317051017215,NA
5,1,MS,roots,14.504153784253882,114.19298674509189,573.5988348847254,116.84952748803748,7.503596655876426,NA,0.006842913703255588,0.000979270732564491,0.002562087698642307,47.002762136579825,1.3820045827558425,0.00997891569571705,NA,NA,2.8537981518204703,2.9060503941438434,NA,NA,NA,5.388106489141886,3.715437582280085,7.200658244355026,2.865912566472792,NA,0.8321052271073105,NA,NA,2.7253131888722675,72.52076892126941,7.320026181722527,NA,67.19244109621935,3.7736759713731565,0.5029156209266405,288.47181420884925,NA,1.7614933484995552e-07,1.2501142785338587e-07,0.0009429678552152854,NA,NA,705.1854320595711,779.9721336474372
6,1,MS,grains,NA,NA,NA,NA,NA,0.08629832371788762,NA,NA,NA,NA,NA,NA,0.001550938197058223,1.3100004406751296e-06,NA,NA,0.0,4.808852849821727,NA,NA,NA,NA,NA,0.43714864957815913,NA,0.0,11.773398356460087,NA,NA,NA,0.0,NA,NA,NA,NA,110.78129978987307,NA,NA,NA,0.0,2496.478879552573,NA,NA
6,1,MS,phloem,NA,65.64196049391546,NA,172.36887881871706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.05499374893756,NA,NA,NA,NA,NA,NA,NA,NA,NA,4445.302974181624,NA
6,1,MS,roots,14.56056148732241,114.88029291677651,584.990205093937,113.56167618893,7.89966226970333,NA,0.007482349927549294,0.0010855103251947182,0.002931729415174437,45.746960426877,1.4361390076398906,0.009971692297426662,NA,NA,2.835582211071411,2.76904676156689,NA,NA,NA,5.38412982899342,3.6571131488389783,7.1693877051277015,2.8497225196530103,NA,0.7742503812611343,NA,NA,2.7031828867788983,72.80280743661204,6.974928870445566,NA,67.54697033518606,3.969931407012683,0.5025444470250464,293.98357913400105,NA,1.760204673243242e-07,1.2446853654735596e-07,0.001025671728930073,NA,NA,684.8374771632384,779.810705865662
7,1,MS,grains,NA,NA,NA,NA,NA,0.08655255519777784,NA,NA,NA,NA,NA,NA,0.001557046388316868,1.3109873824944527e-06,NA,NA,0.0,4.8259259280382745,NA,NA,NA,NA,NA,0.43570813659796676,NA,0.0,11.815197961748877,NA,NA,NA,0.0,NA,NA,NA,NA,111.21759916549058,NA,NA,NA,0.0,2503.456156514931,NA,NA
7,1,MS,phloem,NA,65.58398114228179,NA,173.39945340632835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.92582927551143,NA,NA,NA,NA,NA,NA,NA,NA,NA,4472.331724421736,NA
7,1,MS,roots,14.588819142039387,117.63386672563514,595.8253290562875,116.13457598542207,8.345602836176539,NA,0.007661694898441218,0.001105616027535508,0.0030972272594510324,44.60963688771482,1.440773096448998,0.009971692297426662,NA,NA,2.8487423988264036,2.7455748890953124,NA,NA,NA,5.38412982899342,3.709965812289121,7.1693877051277015,2.862948333830372,NA,0.8266426943565457,NA,NA,2.6899537460656515,72.94409571019693,6.915805765983154,NA,69.16600841091122,4.194036362396998,0.5025444470250464,299.42871051410833,NA,1.760204673243242e-07,1.2446853654735596e-07,0.001025671728930073,NA,NA,700.353435228986,781.4297439413872
8,1,MS,grains,NA,NA,NA,NA,NA,0.08680741575489487,NA,NA,NA,NA,NA,NA,0.001563144460296243,1.3114833482323617e-06,NA,NA,0.0,4.841252090075297,NA,NA,NA,NA,NA,0.4355917996688015,NA,0.0,11.852720634322278,NA,NA,NA,0.0,NA,NA,NA,NA,111.65317573544593,NA,NA,NA,0.0,2510.456882933691,NA,NA
8,1,MS,phloem,NA,65.55564624542444,NA,173.9214196644111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.81499851652183,NA,NA,NA,NA,NA,NA,NA,NA,NA,4484.717424083524,NA
8,1,MS,roots,14.603044728912037,117.02572976906269,606.2785204387911,112.91120781523576,8.134151364042648,NA,0.021992118745315776,0.00324601692064108,0.008710053901836627,43.50640184522904,1.475680492074308,0.009964422126827143,NA,NA,2.830650179448653,2.6221592302591588,NA,NA,NA,5.380128383624179,3.6487789919938463,7.143397595998531,2.846881674628383,NA,0.7669816902765982,NA,NA,2.683336058597027,73.01522364456018,6.604935088814002,NA,68.75729994490646,4.084734596973126,0.5021709597180432,304.455466465183,NA,1.7589055645876623e-07,1.240173193749745e-07,0.002961587050196249,NA,NA,680.4087550980042,780.5017375754167
9,1,MS,grains,NA,NA,NA,NA,NA,0.08706294141564722,NA,NA,NA,NA,NA,NA,0.001569247088417991,1.3116147736435815e-06,NA,NA,0.0,4.855279638742255,NA,NA,NA,NA,NA,0.43633059827880666,NA,0.0,11.887063943127588,NA,NA,NA,0.0,NA,NA,NA,NA,112.08907774414222,NA,NA,NA,0.0,2517.4786627720664,NA,NA
9,1,MS,phloem,NA,65.52935935392702,NA,174.06019556465236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.76574586794413,NA,NA,NA,NA,NA,NA,NA,NA,NA,4488.754546427357,NA
9,1,MS,roots,14.606817196583817,118.49657759031648,616.1906730458104,115.51951773114105,8.012980401784768,NA,0.022268528557116442,0.003299086613855799,0.008580303966610562,42.51035857830198,1.460866903052842,0.009964422126827143,NA,NA,2.8440570442892534,2.6060809670196194,NA,NA,NA,5.380128383624179,3.698927376824919,7.143397595998531,2.860365417022987,NA,0.8215020353349819,NA,NA,2.680813915373657,73.03408598291908,6.564435685187958,NA,69.62148190744436,4.023886058566128,0.5021709597180432,309.43306165272156,NA,1.7589055645876623e-07,1.240173193749745e-07,0.002961587050196249,NA,NA,696.1265650225513,781.3659195379546
10,1,MS,grains,NA,NA,NA,NA,NA,0.08731918136603944,NA,NA,NA,NA,NA,NA,0.0015753630811420002,1.3118588947325252e-06,NA,NA,0.0,4.869767846823892,NA,NA,NA,NA,NA,0.4373037360518369,NA,0.0,11.922535073258492,NA,NA,NA,0.0,NA,NA,NA,NA,112.52593436728573,NA,NA,NA,0.0,2524.5209766272956,NA,NA
10,1,MS,phloem,NA,65.57728091716153,NA,174.31848463783243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.84717739165066,NA,NA,NA,NA,NA,NA,NA,NA,NA,4494.350475767822,NA
10,1,MS,roots,14.613827675761087,116.2214918926703,625.7096236956221,112.3395873441193,7.152407797690263,NA,0.04733091907331999,0.007259792534239127,0.016597154579410637,41.543439077425205,1.4740839560842047,0.0099571122513484,NA,NA,2.8260144646477423,2.4943694580778217,NA,NA,NA,5.376105938283344,3.633682819833665,7.120187312344082,2.8443459489498135,NA,0.760079800985363,NA,NA,2.680084982497539,73.06913837880543,6.283046493898794,NA,68.23372498737562,3.589046135117749,0.5017955123135966,313.97828118189244,NA,1.757598359013151e-07,1.2361436306152925e-07,0.006422766026037303,NA,NA,676.4580094132846,779.4560286551184
11,1,MS,grains,NA,NA,NA,NA,NA,0.08757615132682758,NA,NA,NA,NA,NA,NA,0.0015814901480798425,1.312375574215971e-06,NA,NA,0.0,4.885317420549529,NA,NA,NA,NA,NA,0.43793592700833794,NA,0.0,11.96060471927643,NA,NA,NA,0.0,NA,NA,NA,NA,112.96358200570305,NA,NA,NA,0.0,2531.5849098942917,NA,NA
11,1,MS,phloem,NA,65.6691799038405,NA,174.86736717939678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.09471289259113,NA,NA,NA,NA,NA,NA,NA,NA,NA,4508.95320610021,NA
11,1,MS,roots,14.628678867154143,116.07018141731784,634.6987919215597,114.97665930240008,6.518934403098319,NA,0.047269298251325496,0.007364089310098576,0.015127180250572487,40.67427866263638,1.4398614334427358,0.0099571122513484,NA,NA,2.8396295607504416,2.484808268193999,NA,NA,NA,5.376105938283344,3.6799715185116444,7.120187312344082,2.8580493619820966,NA,0.8164764271183804,NA,NA,2.678135508595754,73.14339433577071,6.25896289217632,NA,68.14489049390308,3.2711720285414514,0.5017955123135966,318.48900545709995,NA,1.757598359013151e-07,1.2361436306152925e-07,0.006422766026037303,NA,NA,692.3372599050444,779.3671941616459
12,1,MS,grains,NA,NA,NA,NA,NA,0.08783386843793767,NA,NA,NA,NA,NA,NA,0.0015876147922724367,1.314255959276043e-06,NA,NA,0.0,4.906017562600132,NA,NA,NA,NA,NA,0.4362571137133925,NA,0.0,12.01128437740032,NA,NA,NA,0.0,NA,NA,NA,NA,113.40105659088833,NA,NA,NA,0.0,2538.674341982129,NA,NA
12,1,MS,phloem,NA,65.89516217794477,NA,176.8907301350816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.62297715600235,NA,NA,NA,NA,NA,NA,NA,NA,NA,4560.028055747326,NA
12,1,MS,roots,14.68288412682297,110.82402698441349,643.0660723534239,111.8463528429704,4.987591507097045,NA,0.1317670817138972,0.02178319008914332,0.03378988833557401,39.84869988822322,1.4184959077212849,0.009949767809046259,NA,NA,2.82168936553845,2.3847474971280396,NA,NA,NA,5.372065244681343,3.6074338969385824,7.098992228502844,2.8421289449156006,NA,0.7537428812971473,NA,NA,2.666456162759823,73.41442063411485,6.006920647677681,NA,65.01596638926303,2.500869962073687,0.5014183616511293,322.4451364328804,NA,1.7562842930975882e-07,1.232463928559522e-07,0.018765630031863375,NA,NA,672.9817799901161,775.7136670354244
13,1,MS,grains,NA,NA,NA,NA,NA,0.08809226536357564,NA,NA,NA,NA,NA,NA,0.0015936870493517134,1.3181012507870565e-06,NA,NA,0.0,4.934181043897683,NA,NA,NA,NA,NA,0.4306667809272054,NA,0.0,12.080236348852948,NA,NA,NA,0.0,NA,NA,NA,NA,113.83478923940811,NA,NA,NA,0.0,2545.7992745329843,NA,NA
13,1,MS,phloem,NA,66.2400108990548,NA,181.1586468420399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.5069819539298,NA,NA,NA,NA,NA,NA,NA,NA,NA,4670.533658080431,NA
13,1,MS,roots,14.794500646838149,107.88179688616269,650.9177691090939,114.54406600700146,4.01326147504094,NA,0.12826884144663253,0.022049158098192738,0.027189006339058193,39.11175246473205,1.3585652537198356,0.009949767809046259,NA,NA,2.8356609655417437,2.38266222971679,NA,NA,NA,5.372065244681343,3.6470280800035986,7.098992228502844,2.8562017515331948,NA,0.8124351981126675,NA,NA,2.637158655262666,73.97250323419074,6.001668084928942,NA,63.28987920056832,2.0123229936926226,0.5014183616511293,326.38212135628993,NA,1.7562842930975882e-07,1.232463928559522e-07,0.018765630031863375,NA,NA,689.2139749690739,773.9875798467297
14,1,MS,grains,NA,NA,NA,NA,NA,0.08835131466945081,NA,NA,NA,NA,NA,NA,0.0015996675809730734,1.3228558912713356e-06,NA,NA,0.0,4.965924711182856,NA,NA,NA,NA,NA,0.42370562900627207,NA,0.0,12.157953603240783,NA,NA,NA,0.0,NA,NA,NA,NA,114.26197006950525,NA,NA,NA,0.0,2552.9684348216274,NA,NA
