t,species,metamer,organ,Eabs
7,Soissons,3,sheath,0.003299184
7,Soissons,4,blade,0.171470231
7,Soissons,4,internode,0.007464697
7,Soissons,4,sheath,0.020639477
7,Soissons,5,internode,0.046057722
7,Soissons,6,internode,0.151485993
8,Caphorn,1,blade,0.005661565
8,Caphorn,1,sheath,0.002652056
8,Caphorn,2,blade,0.01078264
8,Caphorn,2,sheath,0.001159698
8,Caphorn,3,blade,0.035326641
8,Caphorn,3,sheath,0.003716257
8,Caphorn,4,blade,0.163851824
8,Caphorn,4,internode,0.007484106
8,Caphorn,4,sheath,0.023188396
8,Caphorn,5,internode,0.043373265
8,Caphorn,6,internode,0.148379805
8,Soissons,1,blade,0.005710503
8,Soissons,1,sheath,0.002348058
8,Soissons,2,blade,0.013427695
8,Soissons,2,sheath,0.001063792
8,Soissons,3,blade,0.046360958
8,Soissons,3,sheath,0.003299184
8,Soissons,4,blade,0.171470231
8,Soissons,4,internode,0.007464697
8,Soissons,4,sheath,0.020639477
8,Soissons,5,internode,0.046057722
8,Soissons,6,internode,0.151485993
9,Caphorn,1,blade,0.005661565
9,Caphorn,1,sheath,0.002652056
9,Caphorn,2,blade,0.01078264
9,Caphorn,2,sheath,0.001159698
9,Caphorn,3,blade,0.035326641
9,Caphorn,3,sheath,0.003716257
9,Caphorn,4,blade,0.163851824
9,Caphorn,4,internode,0.007484106
9,Caphorn,4,sheath,0.023188396
9,Caphorn,5,internode,0.043373265
9,Caphorn,6,internode,0.148379805
9,Soissons,1,blade,0.005710503
9,Soissons,1,sheath,0.002348058
9,Soissons,2,blade,0.013427695
9,Soissons,2,sheath,0.001063792
9,Soissons,3,blade,0.046360958
9,Soissons,3,sheath,0.003299184
9,Soissons,4,blade,0.171470231
9,Soissons,4,internode,0.007464697
9,Soissons,4,sheath,0.020639477
9,Soissons,5,internode,0.046057722
9,Soissons,6,internode,0.151485993
10,Caphorn,1,blade,0.005661565
10,Caphorn,1,sheath,0.002652056
10,Caphorn,2,blade,0.01078264
10,Caphorn,2,sheath,0.001159698
10,Caphorn,3,blade,0.035326641
10,Caphorn,3,sheath,0.003716257
10,Caphorn,4,blade,0.163851824
10,Caphorn,4,internode,0.007484106
10,Caphorn,4,sheath,0.023188396
10,Caphorn,5,internode,0.043373265
10,Caphorn,6,internode,0.148379805
10,Soissons,1,blade,0.005710503
10,Soissons,1,sheath,0.002348058
10,Soissons,2,blade,0.013427695
10,Soissons,2,sheath,0.001063792
10,Soissons,3,blade,0.046360958
10,Soissons,3,sheath,0.003299184
10,Soissons,4,blade,0.171470231
10,Soissons,4,internode,0.007464697
10,Soissons,4,sheath,0.020639477
10,Soissons,5,internode,0.046057722
10,Soissons,6,internode,0.151485993
11,Caphorn,1,blade,0.005661565
11,Caphorn,1,sheath,0.002652056
11,Caphorn,2,blade,0.01078264
11,Caphorn,2,sheath,0.001159698
11,Caphorn,3,blade,0.035326641
11,Caphorn,3,sheath,0.003716257
11,Caphorn,4,blade,0.163851824
11,Caphorn,4,internode,0.007484106
11,Caphorn,4,sheath,0.023188396
11,Caphorn,5,internode,0.043373265
11,Caphorn,6,internode,0.148379805
11,Soissons,1,blade,0.005710503
11,Soissons,1,sheath,0.002348058
11,Soissons,2,blade,0.013427695
11,Soissons,2,sheath,0.001063792
11,Soissons,3,blade,0.046360958
11,Soissons,3,sheath,0.003299184
11,Soissons,4,blade,0.171470231
11,Soissons,4,internode,0.007464697
11,Soissons,4,sheath,0.020639477
11,Soissons,5,internode,0.046057722
11,Soissons,6,internode,0.151485993
12,Caphorn,1,blade,0.005661565
12,Caphorn,1,sheath,0.002652056
12,Caphorn,2,blade,0.01078264
12,Caphorn,2,sheath,0.001159698
12,Caphorn,3,blade,0.035326641
12,Caphorn,3,sheath,0.003716257
12,Caphorn,4,blade,0.163851824
12,Caphorn,4,internode,0.007484106
12,Caphorn,4,sheath,0.023188396
12,Caphorn,5,internode,0.043373265
12,Caphorn,6,internode,0.148379805
12,Soissons,1,blade,0.005710503
12,Soissons,1,sheath,0.002348058
