Scenario,HZ.VMAX_SPROTEINS,ELT.VMAX_SPROTEINS,ELT.DELTA_D_CYTOKININS,RT.VMAX_S_CYTOKININS ,RT.K_NITRATE_EXPORT
12,0.345,0.0065,2.00E-05,0.0009,0.00012
13,0.45,0.0045,1.50E-05,0.0009,0.00012
14,0.25,0.0045,0.000015,0.0009,0.00012
15,0.345,0.0045,0.00002,0.0009,0.00015
16,0.345,0.0045,0.00002,0.0009,0.00009
17,0.345,0.0045,0.000015,0.0011,0.00012
18,0.345,0.0045,0.000015,0.0007,0.00012
