t,species,metamer,organ,Eabs_diffuse,Eabs_direct,plant
5,Caphorn,4,sheath,0.0913390274092,0.00411760352748,1
5,Caphorn,5,internode,0.117624825731,0.0306091853517,1
5,Caphorn,6,internode,0.263113181729,0.816385870954,1
5,Soissons,1,blade,0.0728061190779,0.0,2
5,Soissons,1,sheath,0.0336636086289,0.0,2
5,Soissons,2,blade,0.117904486223,6.0895040715e-05,2
5,Soissons,2,sheath,0.0286672573804,0.0,2
5,Soissons,3,blade,0.202341865132,0.00249637654108,2
5,Soissons,3,sheath,0.0434628955007,0.0,2
5,Soissons,4,blade,0.367511031877,0.205783283781,2
5,Soissons,4,internode,0.0559941980709,0.0,2
5,Soissons,4,sheath,0.0866336004102,0.00312115845257,2
5,Soissons,5,internode,0.129851860008,0.0309162000796,2
5,Soissons,6,internode,0.267304236884,0.835344007647,2
6,Caphorn,1,blade,0.0743121358236,0.0072566067115,1
6,Caphorn,1,sheath,0.0327928706447,0.00216751712646,1
6,Caphorn,2,blade,0.0983305564204,0.0216750208366,1
6,Caphorn,2,sheath,0.0283792903689,0.00368766656348,1
6,Caphorn,3,blade,0.165936168886,0.0765904597533,1
6,Caphorn,3,sheath,0.0446174034927,0.0111295284519,1
6,Caphorn,4,blade,0.341832494353,0.524459802859,1
6,Caphorn,4,internode,0.0539218444116,0.0145830361742,1
6,Caphorn,4,sheath,0.0913390274092,0.0523977478001,1
6,Caphorn,5,internode,0.117624825731,0.113178376779,1
6,Caphorn,6,internode,0.263113181729,0.604833133077,1
6,Soissons,1,blade,0.0728061190779,0.0059485806634,2
6,Soissons,1,sheath,0.0336636086289,0.00277571548979,2
6,Soissons,2,blade,0.117904486223,0.0136292487508,2
6,Soissons,2,sheath,0.0286672573804,0.00194459091253,2
6,Soissons,3,blade,0.202341865132,0.0530504254534,2
6,Soissons,3,sheath,0.0434628955007,0.00994974703052,2
6,Soissons,4,blade,0.367511031877,0.309203880405,2
6,Soissons,4,internode,0.0559941980709,0.0212162730981,2
6,Soissons,4,sheath,0.0866336004102,0.0603010300129,2
6,Soissons,5,internode,0.129851860008,0.157256213847,2
6,Soissons,6,internode,0.267304236884,0.626701597225,2
7,Caphorn,1,blade,0.0743121358236,0.0292663563248,1
7,Caphorn,1,sheath,0.0327928706447,0.0166473939219,1
7,Caphorn,2,blade,0.0983305564204,0.0641341342696,1
7,Caphorn,2,sheath,0.0283792903689,0.0153492753342,1
7,Caphorn,3,blade,0.165936168886,0.157602834315,1
7,Caphorn,3,sheath,0.0446174034927,0.0342024948916,1
7,Caphorn,4,blade,0.341832494353,0.498710917806,1
7,Caphorn,4,internode,0.0539218444116,0.0530114965961,1
7,Caphorn,4,sheath,0.0913390274092,0.0979629381777,1
7,Caphorn,5,internode,0.117624825731,0.162684923612,1
7,Caphorn,6,internode,0.263113181729,0.452144735968,1
7,Soissons,1,blade,0.0728061190779,0.0280830961415,2
7,Soissons,1,sheath,0.0336636086289,0.0105004024388,2
7,Soissons,2,blade,0.117904486223,0.0533814937962,2
7,Soissons,2,sheath,0.0286672573804,0.0163684484731,2
7,Soissons,3,blade,0.202341865132,0.112039694395,2
7,Soissons,3,sheath,0.0434628955007,0.0278848288241,2
7,Soissons,4,blade,0.367511031877,0.35732358065,2
7,Soissons,4,internode,0.0559941980709,0.049936329663,2
7,Soissons,4,sheath,0.0866336004102,0.0955830712493,2
7,Soissons,5,internode,0.129851860008,0.181232443161,2
7,Soissons,6,internode,0.267304236884,0.462509280098,2
8,Caphorn,1,blade,0.0743121358236,0.0559626030285,1
8,Caphorn,1,sheath,0.0327928706447,0.0266697512233,1
8,Caphorn,2,blade,0.0983305564204,0.0924329425985,1
8,Caphorn,2,sheath,0.0283792903689,0.0274529460916,1
8,Caphorn,3,blade,0.165936168886,0.182901546894,1
8,Caphorn,3,sheath,0.0446174034927,0.048603389685,1
8,Caphorn,4,blade,0.341832494353,0.426236706944,1
8,Caphorn,4,internode,0.0539218444116,0.061781815607,1
8,Caphorn,4,sheath,0.0913390274092,0.113259054646,1
8,Caphorn,5,internode,0.117624825731,0.162996599832,1
8,Caphorn,6,internode,0.263113181729,0.35012606424,1
8,Soissons,1,blade,0.0728061190779,0.0513600691199,2
8,Soissons,1,sheath,0.0336636086289,0.0235904420599,2
8,Soissons,2,blade,0.117904486223,0.0863919854969,2
8,Soissons,2,sheath,0.0286672573804,0.0294801568538,2
8,Soissons,3,blade,0.202341865132,0.162906601155,2
8,Soissons,3,sheath,0.0434628955007,0.0493723138627,2
8,Soissons,4,blade,0.367511031877,0.37222494314,2
8,Soissons,4,internode,0.0559941980709,0.0700274690431,2
8,Soissons,4,sheath,0.0866336004102,0.117959604486,2
8,Soissons,5,internode,0.129851860008,0.196339698323,2
8,Soissons,6,internode,0.267304236884,0.352486774131,2
9,Caphorn,1,blade,0.0743121358236,0.0783379716443,1
9,Caphorn,1,sheath,0.0327928706447,0.0359314554425,1
9,Caphorn,2,blade,0.0983305564204,0.114662835564,1
9,Caphorn,2,sheath,0.0283792903689,0.0437374982547,1
9,Caphorn,3,blade,0.165936168886,0.179808389704,1
9,Caphorn,3,sheath,0.0446174034927,0.0583296489674,1
9,Caphorn,4,blade,0.341832494353,0.374861638998,1
9,Caphorn,4,internode,0.0539218444116,0.0707926435285,1
9,Caphorn,4,sheath,0.0913390274092,0.102994929681,1
9,Caphorn,5,internode,0.117624825731,0.164405099747,1
9,Caphorn,6,internode,0.263113181729,0.260496199897,1
9,Soissons,1,blade,0.0728061190779,0.0692263399008,2
9,Soissons,1,sheath,0.0336636086289,0.0329181513947,2
9,Soissons,2,blade,0.117904486223,0.113967833496,2
9,Soissons,2,sheath,0.0286672573804,0.0413153530597,2
9,Soissons,3,blade,0.202341865132,0.190336438485,2
9,Soissons,3,sheath,0.0434628955007,0.0612276556663,2
9,Soissons,4,blade,0.367511031877,0.39842352739,2
9,Soissons,4,internode,0.0559941980709,0.0675865688269,2
9,Soissons,4,sheath,0.0866336004102,0.109137255441,2
9,Soissons,5,internode,0.129851860008,0.191243833215,2
9,Soissons,6,internode,0.267304236884,0.258949518004,2
10,Caphorn,1,blade,0.0743121358236,0.0858476588565,1
10,Caphorn,1,sheath,0.0327928706447,0.0442764973221,1
10,Caphorn,2,blade,0.0983305564204,0.137749142149,1
10,Caphorn,2,sheath,0.0283792903689,0.0329277961857,1
10,Caphorn,3,blade,0.165936168886,0.173846934767,1
10,Caphorn,3,sheath,0.0446174034927,0.069230691514,1
10,Caphorn,4,blade,0.341832494353,0.299825421622,1
10,Caphorn,4,internode,0.0539218444116,0.0447262012635,1
10,Caphorn,4,sheath,0.0913390274092,0.118858440046,1
10,Caphorn,5,internode,0.117624825731,0.132294900714,1
10,Caphorn,6,internode,0.263113181729,0.195244928833,1
10,Soissons,1,blade,0.0728061190779,0.0844043306736,2
10,Soissons,1,sheath,0.0336636086289,0.0378239436077,2
10,Soissons,2,blade,0.117904486223,0.156141064148,2
10,Soissons,2,sheath,0.0286672573804,0.0353822459552,2
10,Soissons,3,blade,0.202341865132,0.206371326158,2
10,Soissons,3,sheath,0.0434628955007,0.0676598005103,2
10,Soissons,4,blade,0.367511031877,0.391862493102,2
10,Soissons,4,internode,0.0559941980709,0.0469439697809,2
10,Soissons,4,sheath,0.0866336004102,0.111505089481,2
10,Soissons,5,internode,0.129851860008,0.141412581504,2
10,Soissons,6,internode,0.267304236884,0.194252888099,2
11,Caphorn,1,blade,0.0743121358236,0.0917585120524,1
11,Caphorn,1,sheath,0.0327928706447,0.0332597564042,1
11,Caphorn,2,blade,0.0983305564204,0.140860603375,1
11,Caphorn,2,sheath,0.0283792903689,0.0374428579145,1
11,Caphorn,3,blade,0.165936168886,0.184098646043,1
11,Caphorn,3,sheath,0.0446174034927,0.0723169426088,1
11,Caphorn,4,blade,0.341832494353,0.237516928418,1
11,Caphorn,4,internode,0.0539218444116,0.0752631143884,1
11,Caphorn,4,sheath,0.0913390274092,0.102936196221,1
11,Caphorn,5,internode,0.117624825731,0.0848244597981,1
11,Caphorn,6,internode,0.263113181729,0.152155215658,1
11,Soissons,1,blade,0.0728061190779,0.0803371224185,2
11,Soissons,1,sheath,0.0336636086289,0.0301394770039,2
11,Soissons,2,blade,0.117904486223,0.174275815395,2
11,Soissons,2,sheath,0.0286672573804,0.02938418421,2
11,Soissons,3,blade,0.202341865132,0.268695171092,2
11,Soissons,3,sheath,0.0434628955007,0.0707916460217,2
11,Soissons,4,blade,0.367511031877,0.363809365991,2
11,Soissons,4,internode,0.0559941980709,0.0775852116491,2
11,Soissons,4,sheath,0.0866336004102,0.0954926801605,2
11,Soissons,5,internode,0.129851860008,0.0847497109725,2
11,Soissons,6,internode,0.267304236884,0.150855799036,2
12,Caphorn,1,blade,0.0743121358236,0.0712704632195,1
12,Caphorn,1,sheath,0.0327928706447,0.0107777212444,1
12,Caphorn,2,blade,0.0983305564204,0.0745217110144,1
12,Caphorn,2,sheath,0.0283792903689,0.0104169699519,1
12,Caphorn,3,blade,0.165936168886,0.136790881823,1
12,Caphorn,3,sheath,0.0446174034927,0.0153573894037,1
12,Caphorn,4,blade,0.341832494353,0.21305950198,1
12,Caphorn,4,internode,0.0539218444116,0.0225009644742,1
12,Caphorn,4,sheath,0.0913390274092,0.0344975055447,1
12,Caphorn,5,internode,0.117624825731,0.0516035866371,1
12,Caphorn,6,internode,0.263113181729,0.134754621935,1
12,Soissons,1,blade,0.0728061190779,0.0577174025377,2
12,Soissons,1,sheath,0.0336636086289,0.0103638794965,2
12,Soissons,2,blade,0.117904486223,0.15229888338,2
12,Soissons,2,sheath,0.0286672573804,0.00881063779587,2
12,Soissons,3,blade,0.202341865132,0.247333810011,2
12,Soissons,3,sheath,0.0434628955007,0.0161543744686,2
12,Soissons,4,blade,0.367511031877,0.350603446629,2
12,Soissons,4,internode,0.0559941980709,0.02174901441,2
12,Soissons,4,sheath,0.0866336004102,0.0338125892096,2
12,Soissons,5,internode,0.129851860008,0.0557015921512,2
12,Soissons,6,internode,0.267304236884,0.135010965263,2
13,Caphorn,1,blade,0.0743121358236,0.103081099187,1
13,Caphorn,1,sheath,0.0327928706447,0.0314574969041,1
13,Caphorn,2,blade,0.0983305564204,0.145287897599,1
13,Caphorn,2,sheath,0.0283792903689,0.0347089227422,1
13,Caphorn,3,blade,0.165936168886,0.18742892254,1
13,Caphorn,3,sheath,0.0446174034927,0.0747376361289,1
13,Caphorn,4,blade,0.341832494353,0.239768787718,1
13,Caphorn,4,internode,0.0539218444116,0.0799223835653,1
13,Caphorn,4,sheath,0.0913390274092,0.0975403492889,1
13,Caphorn,5,internode,0.117624825731,0.0810203352231,1
13,Caphorn,6,internode,0.263113181729,0.151981872761,1
13,Soissons,1,blade,0.0728061190779,0.0954038757431,2
13,Soissons,1,sheath,0.0336636086289,0.0268092878869,2
13,Soissons,2,blade,0.117904486223,0.177307398041,2
13,Soissons,2,sheath,0.0286672573804,0.0353151168433,2
13,Soissons,3,blade,0.202341865132,0.256337624084,2
13,Soissons,3,sheath,0.0434628955007,0.07119366105,2
13,Soissons,4,blade,0.367511031877,0.360489913518,2
13,Soissons,4,internode,0.0559941980709,0.0871593382002,2
13,Soissons,4,sheath,0.0866336004102,0.0970206025368,2
13,Soissons,5,internode,0.129851860008,0.0899243395276,2
13,Soissons,6,internode,0.267304236884,0.153140325302,2
14,Caphorn,1,blade,0.0743121358236,0.0896559462924,1
14,Caphorn,1,sheath,0.0327928706447,0.0475094777904,1
14,Caphorn,2,blade,0.0983305564204,0.12775804314,1
14,Caphorn,2,sheath,0.0283792903689,0.0377897107693,1
14,Caphorn,3,blade,0.165936168886,0.176857276456,1
14,Caphorn,3,sheath,0.0446174034927,0.0643190061736,1
14,Caphorn,4,blade,0.341832494353,0.305610177738,1
14,Caphorn,4,internode,0.0539218444116,0.0493501825998,1
14,Caphorn,4,sheath,0.0913390274092,0.113903796325,1
14,Caphorn,5,internode,0.117624825731,0.122416668397,1
14,Caphorn,6,internode,0.263113181729,0.193015337517,1
14,Soissons,1,blade,0.0728061190779,0.0969552710649,2
14,Soissons,1,sheath,0.0336636086289,0.0408967928791,2
14,Soissons,2,blade,0.117904486223,0.151594820062,2
14,Soissons,2,sheath,0.0286672573804,0.0381655154145,2
14,Soissons,3,blade,0.202341865132,0.224353762414,2
14,Soissons,3,sheath,0.0434628955007,0.0674962368381,2
14,Soissons,4,blade,0.367511031877,0.368957561821,2
14,Soissons,4,internode,0.0559941980709,0.0529699621081,2
14,Soissons,4,sheath,0.0866336004102,0.10710920264,2
14,Soissons,5,internode,0.129851860008,0.137736756368,2
14,Soissons,6,internode,0.267304236884,0.194121973928,2
15,Caphorn,1,blade,0.0743121358236,0.0819773513893,1
15,Caphorn,1,sheath,0.0327928706447,0.0356456843314,1
15,Caphorn,2,blade,0.0983305564204,0.118783682261,1
15,Caphorn,2,sheath,0.0283792903689,0.041008474617,1
15,Caphorn,3,blade,0.165936168886,0.18380540059,1
15,Caphorn,3,sheath,0.0446174034927,0.0585164104735,1
15,Caphorn,4,blade,0.341832494353,0.388567065377,1
15,Caphorn,4,internode,0.0539218444116,0.0687582219257,1
15,Caphorn,4,sheath,0.0913390274092,0.114662003404,1
15,Caphorn,5,internode,0.117624825731,0.159383437504,1
15,Caphorn,6,internode,0.263113181729,0.256084850062,1
15,Soissons,1,blade,0.0728061190779,0.0815315024729,2
15,Soissons,1,sheath,0.0336636086289,0.0343127332667,2
15,Soissons,2,blade,0.117904486223,0.114482096847,2
15,Soissons,2,sheath,0.0286672573804,0.0322408889813,2
15,Soissons,3,blade,0.202341865132,0.202681238343,2
15,Soissons,3,sheath,0.0434628955007,0.0568469907583,2
15,Soissons,4,blade,0.367511031877,0.360120792871,2
15,Soissons,4,internode,0.0559941980709,0.0693888251148,2
15,Soissons,4,sheath,0.0866336004102,0.111338291311,2
15,Soissons,5,internode,0.129851860008,0.18138810063,2
15,Soissons,6,internode,0.267304236884,0.260111381449,2
16,Caphorn,1,blade,0.0743121358236,0.0578370113712,1
16,Caphorn,1,sheath,0.0327928706447,0.0213750274792,1
16,Caphorn,2,blade,0.0983305564204,0.0983881893734,1
16,Caphorn,2,sheath,0.0283792903689,0.0268518225846,1
16,Caphorn,3,blade,0.165936168886,0.188457599839,1
16,Caphorn,3,sheath,0.0446174034927,0.0471783891202,1
16,Caphorn,4,blade,0.341832494353,0.431009264933,1
16,Caphorn,4,internode,0.0539218444116,0.066052106714,1
16,Caphorn,4,sheath,0.0913390274092,0.115881153092,1
16,Caphorn,5,internode,0.117624825731,0.158207578868,1
16,Caphorn,6,internode,0.263113181729,0.343739342038,1
16,Soissons,1,blade,0.0728061190779,0.0567364074636,2
16,Soissons,1,sheath,0.0336636086289,0.0268417595246,2
16,Soissons,2,blade,0.117904486223,0.0899355714674,2
16,Soissons,2,sheath,0.0286672573804,0.0310956117504,2
16,Soissons,3,blade,0.202341865132,0.174199577869,2
16,Soissons,3,sheath,0.0434628955007,0.0465334675025,2
16,Soissons,4,blade,0.367511031877,0.347521528657,2
16,Soissons,4,internode,0.0559941980709,0.0690593317314,2
16,Soissons,4,sheath,0.0866336004102,0.120974057506,2
16,Soissons,5,internode,0.129851860008,0.177989452752,2
16,Soissons,6,internode,0.267304236884,0.355907689389,2
17,Caphorn,1,blade,0.0743121358236,0.0338178766474,1
17,Caphorn,1,sheath,0.0327928706447,0.0118376566036,1
17,Caphorn,2,blade,0.0983305564204,0.0622926646714,1
17,Caphorn,2,sheath,0.0283792903689,0.0174052018228,1
17,Caphorn,3,blade,0.165936168886,0.157446812031,1
17,Caphorn,3,sheath,0.0446174034927,0.025524603154,1
17,Caphorn,4,blade,0.341832494353,0.513217661233,1
17,Caphorn,4,internode,0.0539218444116,0.0425873741197,1
17,Caphorn,4,sheath,0.0913390274092,0.108059816291,1
17,Caphorn,5,internode,0.117624825731,0.169976047062,1
17,Caphorn,6,internode,0.263113181729,0.452482619881,1
17,Soissons,1,blade,0.0728061190779,0.0268714085478,2
17,Soissons,1,sheath,0.0336636086289,0.0120576434264,2
17,Soissons,2,blade,0.117904486223,0.049272635234,2
17,Soissons,2,sheath,0.0286672573804,0.0141711547535,2
17,Soissons,3,blade,0.202341865132,0.120590047384,2
17,Soissons,3,sheath,0.0434628955007,0.0272029070656,2
17,Soissons,4,blade,0.367511031877,0.339300874176,2
17,Soissons,4,internode,0.0559941980709,0.0480803935991,2
17,Soissons,4,sheath,0.0866336004102,0.100513049994,2
17,Soissons,5,internode,0.129851860008,0.179575070656,2
17,Soissons,6,internode,0.267304236884,0.461708446438,2
18,Caphorn,1,blade,0.0743121358236,0.00534073302983,1
18,Caphorn,1,sheath,0.0327928706447,0.00239007701568,1
18,Caphorn,2,blade,0.0983305564204,0.0221252544555,1
18,Caphorn,2,sheath,0.0283792903689,0.00410387520082,1
18,Caphorn,3,blade,0.165936168886,0.0862441816601,1
18,Caphorn,3,sheath,0.0446174034927,0.00833345923964,1
18,Caphorn,4,blade,0.341832494353,0.532054696958,1
18,Caphorn,4,internode,0.0539218444116,0.0111215316392,1
18,Caphorn,4,sheath,0.0913390274092,0.0509276286604,1
18,Caphorn,5,internode,0.117624825731,0.13256895291,1
18,Caphorn,6,internode,0.263113181729,0.600042440701,1
18,Soissons,1,blade,0.0728061190779,0.00560119908595,2
18,Soissons,1,sheath,0.0336636086289,0.00311009997229,2
18,Soissons,2,blade,0.117904486223,0.013287427403,2
18,Soissons,2,sheath,0.0286672573804,0.00276483984787,2
18,Soissons,3,blade,0.202341865132,0.051888047908,2
18,Soissons,3,sheath,0.0434628955007,0.00955630233275,2
18,Soissons,4,blade,0.367511031877,0.309594351842,2
18,Soissons,4,internode,0.0559941980709,0.019921992281,2
18,Soissons,4,sheath,0.0866336004102,0.0545091657049,2
18,Soissons,5,internode,0.129851860008,0.133685643822,2
18,Soissons,6,internode,0.267304236884,0.624331412381,2
19,Caphorn,1,blade,0.0743121358236,0.0,1
