t,species,metamer,organ,Eabs
15,Caphorn,6,internode,0.184084828
16,Caphorn,1,blade,0.025060894
16,Caphorn,1,sheath,0.011248684
16,Caphorn,2,blade,0.035840924
16,Caphorn,2,sheath,0.006694624
16,Caphorn,3,blade,0.077039278
16,Caphorn,3,sheath,0.014746333
16,Caphorn,4,blade,0.206157968
16,Caphorn,4,internode,0.02218708
16,Caphorn,4,sheath,0.046331114
16,Caphorn,5,internode,0.060816833
16,Caphorn,6,internode,0.184084828
17,Caphorn,1,blade,0.025060894
17,Caphorn,1,sheath,0.011248684
17,Caphorn,2,blade,0.035840924
17,Caphorn,2,sheath,0.006694624
17,Caphorn,3,blade,0.077039278
17,Caphorn,3,sheath,0.014746333
17,Caphorn,4,blade,0.206157968
17,Caphorn,4,internode,0.02218708
17,Caphorn,4,sheath,0.046331114
17,Caphorn,5,internode,0.060816833
17,Caphorn,6,internode,0.184084828
18,Caphorn,1,blade,0.025060894
18,Caphorn,1,sheath,0.011248684
18,Caphorn,2,blade,0.035840924
18,Caphorn,2,sheath,0.006694624
18,Caphorn,3,blade,0.077039278
18,Caphorn,3,sheath,0.014746333
18,Caphorn,4,blade,0.206157968
18,Caphorn,4,internode,0.02218708
18,Caphorn,4,sheath,0.046331114
18,Caphorn,5,internode,0.060816833
18,Caphorn,6,internode,0.184084828
19,Caphorn,1,blade,0.025060894
19,Caphorn,1,sheath,0.011248684
19,Caphorn,2,blade,0.035840924
19,Caphorn,2,sheath,0.006694624
19,Caphorn,3,blade,0.077039278
19,Caphorn,3,sheath,0.014746333
19,Caphorn,4,blade,0.206157968
19,Caphorn,4,internode,0.02218708
19,Caphorn,4,sheath,0.046331114
19,Caphorn,5,internode,0.060816833
19,Caphorn,6,internode,0.184084828
20,Caphorn,1,blade,0
20,Caphorn,1,sheath,0
20,Caphorn,2,blade,0
20,Caphorn,2,sheath,0
20,Caphorn,3,blade,0
20,Caphorn,3,sheath,0
20,Caphorn,4,blade,0
20,Caphorn,4,internode,0
20,Caphorn,4,sheath,0
20,Caphorn,5,internode,0
20,Caphorn,6,internode,0
21,Caphorn,1,blade,0
21,Caphorn,1,sheath,0
21,Caphorn,2,blade,0
21,Caphorn,2,sheath,0
21,Caphorn,3,blade,0
21,Caphorn,3,sheath,0
21,Caphorn,4,blade,0
21,Caphorn,4,internode,0
21,Caphorn,4,sheath,0
21,Caphorn,5,internode,0
21,Caphorn,6,internode,0
22,Caphorn,1,blade,0
22,Caphorn,1,sheath,0
22,Caphorn,2,blade,0
22,Caphorn,2,sheath,0
22,Caphorn,3,blade,0
22,Caphorn,3,sheath,0
22,Caphorn,4,blade,0
22,Caphorn,4,internode,0
22,Caphorn,4,sheath,0
22,Caphorn,5,internode,0
22,Caphorn,6,internode,0
23,Caphorn,1,blade,0
23,Caphorn,1,sheath,0
23,Caphorn,2,blade,0
23,Caphorn,2,sheath,0
23,Caphorn,3,blade,0
23,Caphorn,3,sheath,0
23,Caphorn,4,blade,0
23,Caphorn,4,internode,0
23,Caphorn,4,sheath,0
23,Caphorn,5,internode,0
23,Caphorn,6,internode,0
24,Caphorn,1,blade,0
24,Caphorn,1,sheath,0
24,Caphorn,2,blade,0
24,Caphorn,2,sheath,0
24,Caphorn,3,blade,0
24,Caphorn,3,sheath,0
24,Caphorn,4,blade,0
24,Caphorn,4,internode,0
24,Caphorn,4,sheath,0
24,Caphorn,5,internode,0
24,Caphorn,6,internode,0
25,Caphorn,1,blade,0
25,Caphorn,1,sheath,0
25,Caphorn,2,blade,0
25,Caphorn,2,sheath,0
25,Caphorn,3,blade,0
25,Caphorn,3,sheath,0
25,Caphorn,4,blade,0
25,Caphorn,4,internode,0
25,Caphorn,4,sheath,0
25,Caphorn,5,internode,0
25,Caphorn,6,internode,0
26,Caphorn,1,blade,0
26,Caphorn,1,sheath,0
26,Caphorn,2,blade,0
26,Caphorn,2,sheath,0
26,Caphorn,3,blade,0
26,Caphorn,3,sheath,0
26,Caphorn,4,blade,0
26,Caphorn,4,internode,0
26,Caphorn,4,sheath,0
26,Caphorn,5,internode,0
26,Caphorn,6,internode,0
27,Caphorn,1,blade,0
27,Caphorn,1,sheath,0
27,Caphorn,2,blade,0
27,Caphorn,2,sheath,0
27,Caphorn,3,blade,0
27,Caphorn,3,sheath,0
27,Caphorn,4,blade,0
27,Caphorn,4,internode,0
27,Caphorn,4,sheath,0
27,Caphorn,5,internode,0
27,Caphorn,6,internode,0
28,Caphorn,1,blade,0
28,Caphorn,1,sheath,0
28,Caphorn,2,blade,0
28,Caphorn,2,sheath,0
28,Caphorn,3,blade,0
28,Caphorn,3,sheath,0
28,Caphorn,4,blade,0
28,Caphorn,4,internode,0
28,Caphorn,4,sheath,0
28,Caphorn,5,internode,0
28,Caphorn,6,internode,0
29,Caphorn,1,blade,0.025060894
29,Caphorn,1,sheath,0.011248684
29,Caphorn,2,blade,0.035840924
29,Caphorn,2,sheath,0.006694624
29,Caphorn,3,blade,0.077039278
29,Caphorn,3,sheath,0.014746333
29,Caphorn,4,blade,0.206157968
29,Caphorn,4,internode,0.02218708
29,Caphorn,4,sheath,0.046331114
29,Caphorn,5,internode,0.060816833
29,Caphorn,6,internode,0.184084828
30,Caphorn,1,blade,0.025060894
30,Caphorn,1,sheath,0.011248684
30,Caphorn,2,blade,0.035840924
30,Caphorn,2,sheath,0.006694624
30,Caphorn,3,blade,0.077039278
30,Caphorn,3,sheath,0.014746333
30,Caphorn,4,blade,0.206157968
30,Caphorn,4,internode,0.02218708
30,Caphorn,4,sheath,0.046331114
30,Caphorn,5,internode,0.060816833
30,Caphorn,6,internode,0.184084828
31,Caphorn,1,blade,0.025060894
31,Caphorn,1,sheath,0.011248684
31,Caphorn,2,blade,0.035840924
31,Caphorn,2,sheath,0.006694624
31,Caphorn,3,blade,0.077039278
31,Caphorn,3,sheath,0.014746333
31,Caphorn,4,blade,0.206157968
31,Caphorn,4,internode,0.02218708
31,Caphorn,4,sheath,0.046331114
31,Caphorn,5,internode,0.060816833
31,Caphorn,6,internode,0.184084828
32,Caphorn,1,blade,0.025060894
32,Caphorn,1,sheath,0.011248684
32,Caphorn,2,blade,0.035840924
32,Caphorn,2,sheath,0.006694624
32,Caphorn,3,blade,0.077039278
32,Caphorn,3,sheath,0.014746333
32,Caphorn,4,blade,0.206157968
32,Caphorn,4,internode,0.02218708
32,Caphorn,4,sheath,0.046331114
32,Caphorn,5,internode,0.060816833
32,Caphorn,6,internode,0.184084828
33,Caphorn,1,blade,0.025060894
33,Caphorn,1,sheath,0.011248684
33,Caphorn,2,blade,0.035840924
33,Caphorn,2,sheath,0.006694624
33,Caphorn,3,blade,0.077039278
33,Caphorn,3,sheath,0.014746333
33,Caphorn,4,blade,0.206157968
33,Caphorn,4,internode,0.02218708
33,Caphorn,4,sheath,0.046331114
33,Caphorn,5,internode,0.060816833
33,Caphorn,6,internode,0.184084828
34,Caphorn,1,blade,0.025060894
34,Caphorn,1,sheath,0.011248684
34,Caphorn,2,blade,0.035840924
34,Caphorn,2,sheath,0.006694624
34,Caphorn,3,blade,0.077039278
34,Caphorn,3,sheath,0.014746333
34,Caphorn,4,blade,0.206157968
34,Caphorn,4,internode,0.02218708
34,Caphorn,4,sheath,0.046331114
34,Caphorn,5,internode,0.060816833
34,Caphorn,6,internode,0.184084828
35,Caphorn,1,blade,0.025060894
35,Caphorn,1,sheath,0.011248684
35,Caphorn,2,blade,0.035840924
35,Caphorn,2,sheath,0.006694624
35,Caphorn,3,blade,0.077039278
35,Caphorn,3,sheath,0.014746333
35,Caphorn,4,blade,0.206157968
35,Caphorn,4,internode,0.02218708
35,Caphorn,4,sheath,0.046331114
35,Caphorn,5,internode,0.060816833
35,Caphorn,6,internode,0.184084828
36,Caphorn,1,blade,0.025060894
36,Caphorn,1,sheath,0.011248684
36,Caphorn,2,blade,0.035840924
36,Caphorn,2,sheath,0.006694624
36,Caphorn,3,blade,0.077039278
36,Caphorn,3,sheath,0.014746333
36,Caphorn,4,blade,0.206157968
36,Caphorn,4,internode,0.02218708
36,Caphorn,4,sheath,0.046331114
36,Caphorn,5,internode,0.060816833
36,Caphorn,6,internode,0.184084828
37,Caphorn,1,blade,0.025060894
37,Caphorn,1,sheath,0.011248684
37,Caphorn,2,blade,0.035840924
37,Caphorn,2,sheath,0.006694624
37,Caphorn,3,blade,0.077039278
37,Caphorn,3,sheath,0.014746333
37,Caphorn,4,blade,0.206157968
37,Caphorn,4,internode,0.02218708
37,Caphorn,4,sheath,0.046331114
37,Caphorn,5,internode,0.060816833
37,Caphorn,6,internode,0.184084828
38,Caphorn,1,blade,0.025060894
38,Caphorn,1,sheath,0.011248684
38,Caphorn,2,blade,0.035840924
38,Caphorn,2,sheath,0.006694624
38,Caphorn,3,blade,0.077039278
38,Caphorn,3,sheath,0.014746333
38,Caphorn,4,blade,0.206157968
38,Caphorn,4,internode,0.02218708
38,Caphorn,4,sheath,0.046331114
38,Caphorn,5,internode,0.060816833
38,Caphorn,6,internode,0.184084828
39,Caphorn,1,blade,0.025060894
39,Caphorn,1,sheath,0.011248684
39,Caphorn,2,blade,0.035840924
39,Caphorn,2,sheath,0.006694624
39,Caphorn,3,blade,0.077039278
39,Caphorn,3,sheath,0.014746333
39,Caphorn,4,blade,0.206157968
39,Caphorn,4,internode,0.02218708
39,Caphorn,4,sheath,0.046331114
39,Caphorn,5,internode,0.060816833
39,Caphorn,6,internode,0.184084828
40,Caphorn,1,blade,0.025060894
40,Caphorn,1,sheath,0.011248684
40,Caphorn,2,blade,0.035840924
40,Caphorn,2,sheath,0.006694624
40,Caphorn,3,blade,0.077039278
40,Caphorn,3,sheath,0.014746333
40,Caphorn,4,blade,0.206157968
40,Caphorn,4,internode,0.02218708
40,Caphorn,4,sheath,0.046331114
40,Caphorn,5,internode,0.060816833
40,Caphorn,6,internode,0.184084828
41,Caphorn,1,blade,0.025060894
41,Caphorn,1,sheath,0.011248684
41,Caphorn,2,blade,0.035840924
41,Caphorn,2,sheath,0.006694624
41,Caphorn,3,blade,0.077039278
41,Caphorn,3,sheath,0.014746333
41,Caphorn,4,blade,0.206157968
41,Caphorn,4,internode,0.02218708
41,Caphorn,4,sheath,0.046331114
41,Caphorn,5,internode,0.060816833
41,Caphorn,6,internode,0.184084828
42,Caphorn,1,blade,0.025060894
42,Caphorn,1,sheath,0.011248684
42,Caphorn,2,blade,0.035840924
42,Caphorn,2,sheath,0.006694624
42,Caphorn,3,blade,0.077039278
42,Caphorn,3,sheath,0.014746333
42,Caphorn,4,blade,0.206157968
42,Caphorn,4,internode,0.02218708
42,Caphorn,4,sheath,0.046331114
42,Caphorn,5,internode,0.060816833
42,Caphorn,6,internode,0.184084828
43,Caphorn,1,blade,0.025060894
43,Caphorn,1,sheath,0.011248684
43,Caphorn,2,blade,0.035840924
43,Caphorn,2,sheath,0.006694624
43,Caphorn,3,blade,0.077039278
43,Caphorn,3,sheath,0.014746333
43,Caphorn,4,blade,0.206157968
43,Caphorn,4,internode,0.02218708
43,Caphorn,4,sheath,0.046331114
43,Caphorn,5,internode,0.060816833
43,Caphorn,6,internode,0.184084828
44,Caphorn,1,blade,0
44,Caphorn,1,sheath,0
44,Caphorn,2,blade,0
44,Caphorn,2,sheath,0
44,Caphorn,3,blade,0
44,Caphorn,3,sheath,0
44,Caphorn,4,blade,0
44,Caphorn,4,internode,0
44,Caphorn,4,sheath,0
44,Caphorn,5,internode,0
44,Caphorn,6,internode,0
45,Caphorn,1,blade,0
45,Caphorn,1,sheath,0
45,Caphorn,2,blade,0
45,Caphorn,2,sheath,0
45,Caphorn,3,blade,0
45,Caphorn,3,sheath,0
45,Caphorn,4,blade,0
45,Caphorn,4,internode,0
45,Caphorn,4,sheath,0
45,Caphorn,5,internode,0
45,Caphorn,6,internode,0
46,Caphorn,1,blade,0
46,Caphorn,1,sheath,0
46,Caphorn,2,blade,0
46,Caphorn,2,sheath,0
46,Caphorn,3,blade,0
46,Caphorn,3,sheath,0
46,Caphorn,4,blade,0
46,Caphorn,4,internode,0
46,Caphorn,4,sheath,0
46,Caphorn,5,internode,0
46,Caphorn,6,internode,0
47,Caphorn,1,blade,0
47,Caphorn,1,sheath,0
47,Caphorn,2,blade,0
47,Caphorn,2,sheath,0
47,Caphorn,3,blade,0
47,Caphorn,3,sheath,0
47,Caphorn,4,blade,0
47,Caphorn,4,internode,0
47,Caphorn,4,sheath,0
47,Caphorn,5,internode,0
47,Caphorn,6,internode,0
48,Caphorn,1,blade,0
48,Caphorn,1,sheath,0
48,Caphorn,2,blade,0
48,Caphorn,2,sheath,0
48,Caphorn,3,blade,0
48,Caphorn,3,sheath,0
48,Caphorn,4,blade,0
48,Caphorn,4,internode,0
48,Caphorn,4,sheath,0
48,Caphorn,5,internode,0
48,Caphorn,6,internode,0
49,Caphorn,1,blade,0
49,Caphorn,1,sheath,0
49,Caphorn,2,blade,0
49,Caphorn,2,sheath,0
49,Caphorn,3,blade,0
49,Caphorn,3,sheath,0
49,Caphorn,4,blade,0
49,Caphorn,4,internode,0
49,Caphorn,4,sheath,0
49,Caphorn,5,internode,0
49,Caphorn,6,internode,0
50,Caphorn,1,blade,0
50,Caphorn,1,sheath,0
50,Caphorn,2,blade,0
50,Caphorn,2,sheath,0
50,Caphorn,3,blade,0
50,Caphorn,3,sheath,0
50,Caphorn,4,blade,0
50,Caphorn,4,internode,0
50,Caphorn,4,sheath,0
50,Caphorn,5,internode,0
50,Caphorn,6,internode,0
51,Caphorn,1,blade,0
51,Caphorn,1,sheath,0
51,Caphorn,2,blade,0
51,Caphorn,2,sheath,0
51,Caphorn,3,blade,0
51,Caphorn,3,sheath,0
51,Caphorn,4,blade,0
51,Caphorn,4,internode,0
51,Caphorn,4,sheath,0
51,Caphorn,5,internode,0
51,Caphorn,6,internode,0
52,Caphorn,1,blade,0
52,Caphorn,1,sheath,0
52,Caphorn,2,blade,0
52,Caphorn,2,sheath,0
52,Caphorn,3,blade,0
52,Caphorn,3,sheath,0
52,Caphorn,4,blade,0
52,Caphorn,4,internode,0
52,Caphorn,4,sheath,0
52,Caphorn,5,internode,0
52,Caphorn,6,internode,0
53,Caphorn,1,blade,0.025060894
53,Caphorn,1,sheath,0.011248684
53,Caphorn,2,blade,0.035840924
53,Caphorn,2,sheath,0.006694624
53,Caphorn,3,blade,0.077039278
53,Caphorn,3,sheath,0.014746333
53,Caphorn,4,blade,0.206157968
53,Caphorn,4,internode,0.02218708
53,Caphorn,4,sheath,0.046331114
53,Caphorn,5,internode,0.060816833
53,Caphorn,6,internode,0.184084828
54,Caphorn,1,blade,0.025060894
54,Caphorn,1,sheath,0.011248684
54,Caphorn,2,blade,0.035840924
54,Caphorn,2,sheath,0.006694624
54,Caphorn,3,blade,0.077039278
54,Caphorn,3,sheath,0.014746333
54,Caphorn,4,blade,0.206157968
54,Caphorn,4,internode,0.02218708
54,Caphorn,4,sheath,0.046331114
54,Caphorn,5,internode,0.060816833
54,Caphorn,6,internode,0.184084828
55,Caphorn,1,blade,0.025060894
55,Caphorn,1,sheath,0.011248684
55,Caphorn,2,blade,0.035840924
55,Caphorn,2,sheath,0.006694624
55,Caphorn,3,blade,0.077039278
55,Caphorn,3,sheath,0.014746333
55,Caphorn,4,blade,0.206157968
55,Caphorn,4,internode,0.02218708
55,Caphorn,4,sheath,0.046331114
55,Caphorn,5,internode,0.060816833
55,Caphorn,6,internode,0.184084828
56,Caphorn,1,blade,0.025060894
56,Caphorn,1,sheath,0.011248684
56,Caphorn,2,blade,0.035840924
56,Caphorn,2,sheath,0.006694624
56,Caphorn,3,blade,0.077039278
56,Caphorn,3,sheath,0.014746333
56,Caphorn,4,blade,0.206157968
56,Caphorn,4,internode,0.02218708
56,Caphorn,4,sheath,0.046331114
56,Caphorn,5,internode,0.060816833
56,Caphorn,6,internode,0.184084828
57,Caphorn,1,blade,0.025060894
57,Caphorn,1,sheath,0.011248684
57,Caphorn,2,blade,0.035840924
57,Caphorn,2,sheath,0.006694624
57,Caphorn,3,blade,0.077039278
57,Caphorn,3,sheath,0.014746333
57,Caphorn,4,blade,0.206157968
57,Caphorn,4,internode,0.02218708
57,Caphorn,4,sheath,0.046331114
57,Caphorn,5,internode,0.060816833
57,Caphorn,6,internode,0.184084828
58,Caphorn,1,blade,0.025060894
58,Caphorn,1,sheath,0.011248684
58,Caphorn,2,blade,0.035840924
58,Caphorn,2,sheath,0.006694624
58,Caphorn,3,blade,0.077039278
58,Caphorn,3,sheath,0.014746333
58,Caphorn,4,blade,0.206157968
58,Caphorn,4,internode,0.02218708
58,Caphorn,4,sheath,0.046331114
58,Caphorn,5,internode,0.060816833
58,Caphorn,6,internode,0.184084828
59,Caphorn,1,blade,0.025060894
59,Caphorn,1,sheath,0.011248684
59,Caphorn,2,blade,0.035840924
59,Caphorn,2,sheath,0.006694624
59,Caphorn,3,blade,0.077039278
59,Caphorn,3,sheath,0.014746333
59,Caphorn,4,blade,0.206157968
59,Caphorn,4,internode,0.02218708
59,Caphorn,4,sheath,0.046331114
59,Caphorn,5,internode,0.060816833
59,Caphorn,6,internode,0.184084828
60,Caphorn,1,blade,0.025060894
60,Caphorn,1,sheath,0.011248684
60,Caphorn,2,blade,0.035840924
60,Caphorn,2,sheath,0.006694624
60,Caphorn,3,blade,0.077039278
60,Caphorn,3,sheath,0.014746333
60,Caphorn,4,blade,0.206157968
60,Caphorn,4,internode,0.02218708
60,Caphorn,4,sheath,0.046331114
60,Caphorn,5,internode,0.060816833
60,Caphorn,6,internode,0.184084828
61,Caphorn,1,blade,0.025060894
61,Caphorn,1,sheath,0.011248684
61,Caphorn,2,blade,0.035840924
61,Caphorn,2,sheath,0.006694624
61,Caphorn,3,blade,0.077039278
61,Caphorn,3,sheath,0.014746333
61,Caphorn,4,blade,0.206157968
61,Caphorn,4,internode,0.02218708
61,Caphorn,4,sheath,0.046331114
61,Caphorn,5,internode,0.060816833
61,Caphorn,6,internode,0.184084828
62,Caphorn,1,blade,0.025060894
62,Caphorn,1,sheath,0.011248684
62,Caphorn,2,blade,0.035840924
62,Caphorn,2,sheath,0.006694624
62,Caphorn,3,blade,0.077039278
62,Caphorn,3,sheath,0.014746333
62,Caphorn,4,blade,0.206157968
62,Caphorn,4,internode,0.02218708
62,Caphorn,4,sheath,0.046331114
62,Caphorn,5,internode,0.060816833
62,Caphorn,6,internode,0.184084828
63,Caphorn,1,blade,0.025060894
63,Caphorn,1,sheath,0.011248684
63,Caphorn,2,blade,0.035840924
63,Caphorn,2,sheath,0.006694624
63,Caphorn,3,blade,0.077039278
63,Caphorn,3,sheath,0.014746333
63,Caphorn,4,blade,0.206157968
63,Caphorn,4,internode,0.02218708
63,Caphorn,4,sheath,0.046331114
63,Caphorn,5,internode,0.060816833
63,Caphorn,6,internode,0.184084828
64,Caphorn,1,blade,0.025060894
64,Caphorn,1,sheath,0.011248684
64,Caphorn,2,blade,0.035840924
64,Caphorn,2,sheath,0.006694624
64,Caphorn,3,blade,0.077039278
64,Caphorn,3,sheath,0.014746333
64,Caphorn,4,blade,0.206157968
64,Caphorn,4,internode,0.02218708
64,Caphorn,4,sheath,0.046331114
64,Caphorn,5,internode,0.060816833
64,Caphorn,6,internode,0.184084828
65,Caphorn,1,blade,0.025060894
65,Caphorn,1,sheath,0.011248684
65,Caphorn,2,blade,0.035840924
65,Caphorn,2,sheath,0.006694624
65,Caphorn,3,blade,0.077039278
65,Caphorn,3,sheath,0.014746333
65,Caphorn,4,blade,0.206157968
65,Caphorn,4,internode,0.02218708
65,Caphorn,4,sheath,0.046331114
65,Caphorn,5,internode,0.060816833
65,Caphorn,6,internode,0.184084828
66,Caphorn,1,blade,0.025060894
66,Caphorn,1,sheath,0.011248684
66,Caphorn,2,blade,0.035840924
66,Caphorn,2,sheath,0.006694624
66,Caphorn,3,blade,0.077039278
66,Caphorn,3,sheath,0.014746333
66,Caphorn,4,blade,0.206157968
66,Caphorn,4,internode,0.02218708
66,Caphorn,4,sheath,0.046331114
66,Caphorn,5,internode,0.060816833
66,Caphorn,6,internode,0.184084828
67,Caphorn,1,blade,0.025060894
67,Caphorn,1,sheath,0.011248684
