plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,phloem,500,100,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,7.5,7.5,7.5,NA,NA,NA,0.15,0.0045,2.5
