plant,axis,metamer,organ,element,nitrates,starch,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,cytokinins,triosesP,Ag,Tr,Ts,is_growing
1,MS,1,blade,LeafElement1,0,0,1.162512,14.11244082,0.00003312,0.006624,0,15.8976,0.00024,0.39744,0,0,0,18,False
1,MS,1,sheath,StemElement,0,0,6.5052234,78.97086673,0.000185334,0.0370668,0,88.96032,0.0002686,2.224008,0,0,0,18,False
1,MS,2,blade,LeafElement1,0,0,1.356264,16.46451429,0.00003864,0.007728,0,18.5472,0.00028,0.46368,0,0,0,18,False
1,MS,2,sheath,StemElement,0,0,0.11407149,1.384783255,3.25E-06,0.00064998,0,1.559952,4.71E-06,0.0389988,0,0,0,18,False
1,MS,2,sheath,HiddenElement,0,0,6.5052234,78.97086673,0.000185334,0.0370668,0,88.96032,0.000248,2.224008,0,0,0,18,False
1,MS,3,blade,LeafElement1,0,0,1.212992645,14.72525559,3.46E-05,0.006911639,0,16.5879336,0.000250422,0.414698367,0,0,0,18,True
