plant,axis,metamer,sucrose,amino_acids,fructan,proteins,mstruct,Nstruct
1,MS,3,6.721536,0.49151232,0,5.966767248,0.00280064,1.40E-05
1,MS,4,6.72,0.4914,0,5.965403727,0.0028,1.40E-05
1,MS,5,3.384,0.247455,0,3.004006877,0.00141,7.05E-06
1,MS,6,2.3904,0.174798,0,2.121979326,0.000996,4.98E-06
1,MS,7,1.8888,0.1381185,0,1.676704547,0.000787,3.94E-06
1,MS,8,1.5696,0.114777,0,1.39334787,0.000654,3.27E-06
1,MS,9,1.2456,0.0910845,0,1.105730191,0.000519,2.60E-06
1,MS,10,1.1328,0.082836,0,1.005596628,0.000472,2.36E-06
