mstruct,Dry_Mass,nitrates,organ,S_grain_structure,Unloading_Sucrose,starch,Respi_growth,S_cytokinins,axis,N_tot,Conc_Nitrates,AA_consumption_mstruct,cytokinins,R_residual,Conc_Amino_Acids,regul_transpiration,sucrose_consumption_mstruct,RGR_Structure,R_Nnit_upt,Conc_cytokinins,S_Proteins,plant,synthetized_mstruct,amino_acids,HATS_LATS,Export_cytokinins,Conc_Sucrose,R_grain_growth_starch,Export_Amino_Acids,Uptake_Nitrates,N_exudation,sum_respi,R_Nnit_red,S_grain_starch,sucrose,S_Amino_Acids,Total_Organic_Nitrogen,Nstruct,Unloading_Amino_Acids,R_grain_growth_struct,senesced_mstruct,structure,age_from_flowering,t,Export_Nitrates,Proteins_N_Mass,WSC_g,C_exudation,proteins
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00000000,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,0.0,NA,NA
0.03445606,NA,21.90533730,roots,NA,NA,NA,0.69137825,NA,MS,0.00050954,635.7470576984781,0.02002061,8.60000000,0.09538222,50.39492662836251,NA,2.00766633,NA,NA,249.5932667609237,NA,1,NA,2.17051312,NA,0.00000000,483.4315533186538,NA,0.00000000,NA,NA,NA,NA,NA,199.88574592,NA,14.49031944,0.00017248,NA,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,0.005711021311927687,NA,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00006700,NA,NA,NA,NA,70.23978585907687,NA,NA,NA,NA,NA,NA,1,NA,4.78536809,NA,NA,147.72452370446882,NA,NA,NA,NA,NA,NA,NA,96.61754579,NA,NA,NA,NA,NA,NA,NA,NA,1.00000000,NA,NA,0.0027605013082917626,NA,NA
0.03451618,NA,21.81661837,roots,NA,-587.33817769,NA,0.74146433,0.98151355,MS,0.00050498,632.0693840555037,0.02147097,8.59052293,0.06118968,44.31796562307793,0.00084029,2.15310934,NA,0.10813474,248.88396737358454,NA,1,NA,1.91210840,1.07596896,0.04339775,425.74338990654064,NA,0.26028921,0.27237969,0.00000000,0.24622782,0.07588625,NA,176.34040749,1.11038917,14.25338569,0.00017278,0.00000000,NA,0.00000000,NA,NA,1.00000000,0.32998074,NA,0.0050382973569496675,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007612,NA,NA,NA,NA,79.72993444691218,NA,NA,NA,NA,NA,NA,1,NA,5.43749694,NA,NA,197.30444145630017,NA,NA,NA,NA,NA,NA,NA,129.17715431,NA,NA,NA,NA,NA,NA,NA,NA,2.00000000,NA,NA,0.0036907758374170978,NA,NA
0.03456736,NA,21.81867379,roots,NA,-343.34949437,NA,0.63120761,0.90959381,MS,0.00050331,631.1930295758481,0.01827821,8.59459500,0.05592765,41.016314401355366,0.00053077,1.83293915,NA,0.09574735,248.6332810632698,NA,1,NA,1.77228190,1.00359948,0.02742513,389.73279376739356,NA,0.15238847,0.24117721,0.00000000,0.22244989,0.07029385,NA,161.66438401,1.02703679,14.13183740,0.00017303,0.00000000,NA,0.00000000,NA,NA,2.00000000,0.20845155,NA,0.004618982400337311,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008198,NA,NA,NA,NA,85.76676236097065,NA,NA,NA,NA,NA,NA,1,NA,5.85602302,NA,NA,226.43146823667217,NA,NA,NA,NA,NA,NA,NA,148.41977697,NA,NA,NA,NA,NA,NA,NA,NA,3.00000000,NA,NA,0.004240565056397438,NA,NA
0.03462542,NA,21.96471301,roots,NA,-213.51344037,NA,0.71608642,0.97086610,MS,0.00050521,634.3523122339794,0.02073609,8.61947817,0.05801482,40.23877485727173,0.00016937,2.07941544,NA,0.09812671,248.93500328384388,NA,1,NA,1.74160542,1.07268368,0.00877700,363.69425442961114,NA,0.04778715,0.24717056,0.00000000,0.23122532,0.07504295,NA,151.11678038,1.09458557,14.12189702,0.00017332,0.00000000,NA,0.00000000,NA,NA,3.00000000,0.06696446,NA,0.004317622296521219,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008535,NA,NA,NA,NA,89.18493041897419,NA,NA,NA,NA,NA,NA,1,NA,6.09613493,NA,NA,241.9529595643697,NA,NA,NA,NA,NA,NA,NA,158.76883742,NA,NA,NA,NA,NA,NA,NA,NA,4.00000000,NA,NA,0.004536252497850317,NA,NA
0.03468037,NA,22.15215145,roots,NA,-146.46192479,NA,0.67779514,0.94613455,MS,0.00050825,638.7518251034944,0.01962727,8.65089987,0.05616999,40.39835718236261,0.00002729,1.96822288,NA,0.09228498,249.44656474158464,NA,1,NA,1.75128761,1.04492760,0.00141909,343.7237511806259,NA,0.00774108,0.23245587,0.00000000,0.22151118,0.07317254,NA,143.04561416,1.06561222,14.15120648,0.00017360,0.00000000,NA,0.00000000,NA,NA,4.00000000,0.01087971,NA,0.004087017547328005,0.00000000,NA
