Cont_WSC_DM,mstruct,S_Fructan,S_Sucrose,nitrates,SLN,is_growing,organ,Tr,Nitrates_import,Regul_S_Fructan,PARa,starch,Ts,Conc_Starch,axis,Photosynthesis,Conc_Nitrates,Cont_Fructan_DM,N_tot,Conc_Proteins,cytokinins,element,R_residual,Conc_Amino_Acids,R_phloem_loading,Conc_cytokinins,S_Proteins,plant,Transpiration,sum_dry_mass,SLN_nonstruct,amino_acids,Amino_Acids_import,Ag,Conc_Fructan,Surfacic_NS,D_Proteins,S_Starch,sum_respi,Loading_Sucrose,R_Nnit_red,metamer,green_area,length,sucrose,cytokinins_import,Conc_TriosesP,S_Amino_Acids,fructan,Total_Organic_Nitrogen,N_content,Photosynthetic_efficiency,Nstruct,D_Fructan,senesced_mstruct,NS,triosesP,D_Starch,N_content_total_DM,t,D_cytokinins,nb_replications,Conc_Sucrose,SLA,Loading_Amino_Acids,proteins
10.25804079,0.00410677,NA,NA,0.00000000,1.43988121,False,blade,1.06775634,NA,NA,363.06225518,0.00000000,10.50565784,0.00000000,MS,NA,0.00000000,0.00000000,0.00028126,0.42765199,0.34907527,LeafElement1,NA,329.21265579,NA,84.99999659,NA,1,NA,0.00672851,1.33493215,1.69000000,NA,11.22840400,0.00000000,13.42190888,NA,NA,NA,NA,NA,1,0.00019533,0.08200000,24.15745785,NA,0.00000000,NA,0.00000000,20.08972257,4.18006669,0.03092694,0.00002050,NA,0.00000000,38.96465485,0.00000000,NA,4.18006669,0.00000000,NA,1.00000000,490.19605868,29.03063581,NA,16.93543686
12.89813932,0.00171000,NA,NA,0.00000000,0.14782696,False,sheath,0.39431707,NA,NA,147.44612831,0.00000000,8.91193480,0.00000000,MS,NA,0.00000000,0.00000000,0.00003971,0.12269767,0.04104000,StemElement,NA,94.65249170,NA,24.00000000,NA,1,NA,0.00222819,0.11599597,0.20231970,NA,1.02344011,0.00000000,1.92917862,NA,NA,NA,NA,NA,1,0.00026861,0.02850000,10.05882353,NA,0.00000000,NA,0.00000000,2.83623099,1.78204043,0.00694111,0.00000855,NA,0.00000000,23.25607107,0.00000000,NA,1.78204043,0.00000000,NA,1.00000000,490.19607846,120.54908166,NA,2.02319701
9.74106611,0.00483764,NA,NA,0.00000000,1.61011565,False,blade,0.97798499,NA,NA,340.21676299,0.00000000,10.06152388,0.00000000,MS,NA,0.00000000,0.00000000,0.00038815,0.50668922,0.48860194,LeafElement1,NA,390.27270098,NA,100.99999959,NA,1,NA,0.00834661,1.50972959,2.36000000,NA,11.66701699,0.00000000,14.55586011,NA,NA,NA,NA,NA,2,0.00024107,0.09200000,28.45672340,NA,0.00000000,NA,0.00000000,27.72496500,4.65038260,0.03429289,0.00002420,NA,0.00000000,42.04065638,0.00000000,NA,4.65038260,0.00000000,NA,1.00000000,490.19607620,28.88228937,NA,23.63639357
17.46404693,0.00228000,NA,NA,0.00000000,0.28357084,False,sheath,0.00000000,NA,NA,NA,0.00000000,20.00000000,0.00000000,MS,NA,0.00000000,5.82134898,0.00007033,0.17403736,0.07980000,HiddenElement,NA,134.25738842,NA,35.00000000,NA,1,NA,0.00329128,0.23760310,0.38263356,NA,0.00000000,490.19607844,4.07772421,NA,NA,NA,NA,NA,2,0.00024800,0.02850000,13.41176471,NA,0.00000000,NA,6.70588235,5.02325484,2.13672680,NA,0.00001140,NA,0.00000000,30.72594718,0.00000000,NA,2.13672680,0.00000000,NA,1.00000000,490.19607858,75.35072412,NA,3.82633557
12.36235374,0.00004000,NA,NA,0.00000000,0.26181665,False,sheath,0.20664562,NA,NA,76.29910879,0.00000000,6.88600576,0.00000000,MS,NA,0.00000000,0.00000000,0.00000123,0.17403735,0.00140000,StemElement,NA,134.25738000,NA,35.00000000,NA,1,NA,0.00005438,0.21937533,0.00671287,NA,1.36044212,0.00000000,3.05160137,NA,NA,NA,NA,NA,2,0.00000471,0.00050000,0.23529412,NA,0.00000000,NA,0.00000000,0.08812728,2.26880165,0.01783038,0.00000020,NA,0.00000000,26.44399538,0.00000000,NA,2.26880165,0.00000000,NA,1.00000000,490.19607917,86.65612640,NA,0.06712869
9.43280933,0.00417081,NA,NA,0.00000000,NA,True,blade,0.88542467,NA,NA,306.65715651,0.00000000,9.74424289,0.00000000,MS,NA,0.00000000,0.00000000,0.00036643,0.55796740,0.46295991,LeafElement1,NA,429.65275330,NA,111.00000000,NA,1,NA,0.00743126,NA,2.24000000,NA,13.17533472,0.00000000,17.82175889,NA,NA,NA,NA,NA,3,0.00018295,0.06372518,24.53417647,NA,0.00000000,NA,0.00000000,26.17348287,4.93091106,0.04296438,0.00002090,NA,0.00000000,43.87478448,0.00000000,NA,4.93091106,0.00000000,NA,1.00000000,490.19607842,NA,NA,22.44062573
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.00000000,0.00001004,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,0.00000000
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.00000000,0.00005020,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,0.00000000
8.67561751,0.00410677,0.00000004,1801.31541765,-0.00000000,1.40056375,False,blade,1.24207523,0.00000000,0.00000000,386.74022837,0.64051138,10.96439918,25.99413873,MS,8.19338628,-0.00000000,0.00000000,0.00027358,0.42771314,0.34322501,LeafElement1,0.11686266,221.87915482,0.00021282,83.57545570,2.66667795,1,0.00024262,0.00654963,1.29561470,1.13900777,0.00000000,11.65160136,0.00000000,12.50613181,2.32926191,193.77811547,0.11707548,8.63714824,0.00000000,1,0.00019533,0.08200000,19.24359871,0.00000000,0.14646433,0.00000000,0.00000000,19.54115184,4.17697292,0.03012772,0.00002050,0.00000000,0.00000000,37.29767656,0.00180449,70.29368226,4.17697292,1.00000000,1.41253635,1.00000000,390.48546828,29.82351147,0.33263863,16.93785836
8.29087972,0.00171000,0.00000015,553.42822864,-0.00000000,0.14707142,False,sheath,0.47606067,0.00000000,0.00000000,157.06218016,0.05705051,9.30177505,5.56047877,MS,1.01723798,-0.00000000,0.00000000,0.00003950,0.12254463,0.04035220,StemElement,0.01356837,89.05144644,0.00002293,23.59777667,1.56209688,1,0.00012787,0.00211461,0.11524044,0.19034747,0.00000000,1.05197176,0.00000001,1.50633508,3.07297926,41.44778595,0.01359130,2.23526569,0.00000000,1,0.00026861,0.02850000,6.07882814,0.00000000,0.03079584,0.00000000,0.00000000,2.82173516,1.86815892,0.00669780,0.00000855,0.00000000,0.00000000,19.13405911,0.00015798,15.03671776,1.86815892,1.00000000,0.39883381,1.00000000,296.23918800,127.02392292,0.00923513,2.02067340
