Cont_WSC_DM,mstruct,S_Fructan,internode_L,Unloading_Sucrose,Respi_growth,AA_consumption_mstruct,Cont_Fructan_DM,axis,Conc_Proteins,leaf_pseudostem_length,sucrose_consumption_mstruct,ratio_DZ,Conc_Amino_Acids,RER,leaf_L,S_Proteins,plant,sum_dry_mass,amino_acids,Conc_Fructan,D_Proteins,delta_leaf_L,metamer,sucrose,N_content,fructan,Nstruct,D_Fructan,Unloading_Amino_Acids,leaf_is_emerged,t,nb_replications,Conc_Sucrose,Cont_Proteins_DM,proteins
13.86375844,0.00205290,NA,0.00005000,NA,0.01883382,0.00056344,4.63029720,MS,0.51020927,0.02895000,0.05650147,0.00000000,393.37044432,0.00000053,0.09267518,NA,1,0.00372083,1.00943656,489.55193304,NA,0.00017518,3,12.02466471,4.45455454,6.03000000,0.00001021,NA,NA,True,0.00000000,1.00000000,488.11756670,25.16703549,10.10000000
14.72140646,0.00049842,NA,0.00001004,NA,0.02691067,0.00080507,8.16254849,MS,0.99662447,0.02894000,0.08073202,0.29963916,767.53240795,0.00000118,0.02661332,NA,1,0.00122511,0.47819493,1170.35754180,NA,0.00011332,4,2.81235731,6.22368561,3.50000000,0.00000249,NA,NA,False,0.00000000,1.00000000,470.20908382,36.25036434,4.79000000
4.76721011,0.00001128,NA,0.00005020,NA,0.00096731,0.00002894,0.00000000,MS,1.93967104,0.02900000,0.00290193,1.00000000,1494.26548953,0.00000151,0.00201091,NA,1,0.00003712,0.02107106,0.00000000,NA,0.00001091,5,0.06193077,8.90505846,0.00000000,0.00000006,NA,NA,False,0.00000000,1.00000000,457.48468466,52.70592445,0.21100000
4.87143142,0.00000306,NA,0.00000000,NA,0.00015846,0.00000474,0.00000000,MS,1.94998354,0.02900000,0.00047539,1.00000000,1503.03496571,0.00000095,0.00072246,NA,1,0.00001013,0.00575526,0.00000000,NA,0.00000246,6,0.01726615,8.90945723,0.00000000,0.00000002,NA,NA,False,0.00000000,1.00000000,469.70849674,52.73546037,0.05760000
4.89259078,0.00000105,NA,0.00000000,NA,0.00005119,0.00000153,0.00000000,MS,1.95743765,0.02900000,0.00015358,1.00000000,1508.86117544,0.00000090,0.00031101,NA,1,0.00000350,0.00198847,0.00000000,NA,0.00000101,7,0.00598522,8.91877763,0.00000000,0.00000001,NA,NA,False,0.00000000,1.00000000,473.08540190,52.78747653,0.01990000
4.91741088,0.00000047,NA,0.00000000,NA,0.00002013,0.00000060,0.00000000,MS,1.95155315,0.02900000,0.00006040,1.00000000,1504.45574124,0.00000083,0.00016048,NA,1,0.00000155,0.00088140,0.00000000,NA,0.00000048,8,0.00266946,8.90751278,0.00000000,0.00000000,NA,NA,False,0.00000000,1.00000000,474.63571128,52.72299705,0.00882000
4.90624253,0.00000018,NA,0.00000000,NA,0.00000686,0.00000021,0.00000000,MS,1.95771050,0.02900000,0.00002059,1.00000000,1509.31920844,0.00000081,0.00007021,NA,1,0.00000060,0.00033879,0.00000000,NA,0.00000021,9,0.00102255,8.91767425,0.00000000,0.00000000,NA,NA,False,0.00000000,1.00000000,474.52354839,52.78169511,0.00339000
4.94019058,0.00000013,NA,0.00000000,NA,0.00000410,0.00000012,0.00000000,MS,1.95352849,0.02900000,0.00001229,1.00000000,1506.23183704,0.00000074,0.00005013,NA,1,0.00000042,0.00023788,0.00000000,NA,0.00000013,10,0.00072362,8.90821302,0.00000000,0.00000000,NA,NA,False,0.00000000,1.00000000,477.28302217,52.72676010,0.00238000
8.12324840,0.00205459,0.00000082,0.00005000,-2.79191169,0.02020539,0.00060447,5.06084698,MS,0.51284030,0.02895000,0.06061616,0.00000000,70.12656806,0.00000056,0.09286294,32.90769221,1,0.00340341,0.18010169,489.02298158,1.39302050,0.00018776,3,3.64791432,4.55398169,6.02845077,0.00001022,4.20544320,0.14108222,True,1.00000000,1.00000000,147.95790867,27.67895556,10.16045316
11.12794241,0.00050086,44.21603034,0.00001008,0.45902312,0.02909566,0.00087043,8.88519134,MS,0.99657931,0.02893996,0.08728698,0.29757286,70.17498440,0.00000126,0.02673502,53.17255512,1,0.00113035,0.04393484,1169.71251481,2.70699360,0.00012170,4,0.88728138,6.23739198,3.51517604,0.00000250,3.51517604,0.03151157,False,1.00000000,1.50000000,147.62619550,39.47963522,4.81320427
