Cont_WSC_DM,mstruct,S_Fructan,internode_L,Unloading_Sucrose,Respi_growth,AA_consumption_mstruct,Cont_Fructan_DM,axis,Conc_Proteins,leaf_pseudostem_length,sucrose_consumption_mstruct,ratio_DZ,Conc_Amino_Acids,RER,leaf_L,S_Proteins,plant,sum_dry_mass,amino_acids,Conc_Fructan,D_Proteins,delta_leaf_L,metamer,sucrose,N_content,fructan,Nstruct,D_Fructan,Unloading_Amino_Acids,leaf_is_emerged,t,nb_replications,Conc_Sucrose,Cont_Proteins_DM,proteins
1.72341774,0.00001137,44.23140897,0.00005042,0.01077188,0.00105195,0.00003147,0.03232265,MS,1.93371549,0.02888976,0.00315585,1.00000000,70.20823281,0.00000161,0.00202267,101.00390839,1,0.00003404,0.00099776,5.64594810,5.25252270,0.00001175,5,0.02015009,8.92564083,0.00038514,0.00000006,0.00038514,0.00123008,False,1.00000000,2.00000000,147.69574126,57.73461200,0.21199523
1.71424366,0.00000308,44.23365410,0.00000000,0.00291736,0.00017142,0.00000513,0.03215532,MS,1.94995098,0.02900000,0.00051426,1.00000000,70.21938065,0.00000101,0.00072511,101.01577850,1,0.00000927,0.00027014,5.64718239,5.29662291,0.00000265,6,0.00545501,8.95005257,0.00010428,0.00000002,0.00010428,0.00033288,False,1.00000000,2.50000000,147.70589567,57.90529558,0.05786904
1.70978125,0.00000106,44.23488596,0.00000000,0.00100402,0.00005536,0.00000166,0.03207452,MS,1.95792487,0.02900000,0.00016607,1.00000000,70.22548937,0.00000097,0.00031210,101.02228258,1,0.00000320,0.00009295,5.64791783,5.31828228,0.00000109,7,0.00187698,8.96323053,0.00003588,0.00000001,0.00003588,0.00011452,False,1.00000000,3.00000000,147.71146738,57.98844670,0.01999250
1.71258223,0.00000047,44.23557023,0.00000000,0.00044604,0.00002175,0.00000065,0.03212895,MS,1.95305274,0.02900000,0.00006526,1.00000000,70.22887487,0.00000088,0.00016099,101.02588707,1,0.00000142,0.00004130,5.64837337,5.30504818,0.00000051,8,0.00083401,8.95491425,0.00001595,0.00000000,0.00001595,0.00005089,False,1.00000000,3.00000000,147.71456241,57.93762926,0.00886109
1.70866453,0.00000018,44.23617287,0.00000000,0.00017086,0.00000741,0.00000022,0.03205652,MS,1.96001912,0.02900000,0.00002223,1.00000000,70.23186341,0.00000087,0.00007043,101.02906884,1,0.00000054,0.00001582,5.64866924,5.32397086,0.00000022,9,0.00031942,8.96611295,0.00000611,0.00000000,0.00000611,0.00001949,False,1.00000000,3.00000000,147.71728821,58.01017014,0.00340573
1.71045480,0.00000013,44.23635018,0.00000000,0.00012014,0.00000442,0.00000013,0.03209050,MS,1.95687412,0.02900000,0.00001326,1.00000000,70.23274017,0.00000080,0.00005028,101.03000228,1,0.00000038,0.00001112,5.64877023,5.31542813,0.00000014,10,0.00022461,8.96075759,0.00000429,0.00000000,0.00000429,0.00001371,False,1.00000000,3.00000000,147.71809018,57.97744299,0.00239106
9.02616550,0.00205605,0.00000093,0.00005000,-2.80482762,0.01745957,0.00052232,4.98851588,MS,0.51569889,0.02895000,0.05237871,0.00000000,79.73321016,0.00000044,0.09300924,33.74629605,1,0.00344891,0.20491960,488.13062400,1.30833906,0.00014630,3,4.87392459,4.53013007,6.02173357,0.00001023,2.98185913,-0.00399903,True,2.00000000,1.00000000,197.54376577,27.48559329,10.22436064
11.79677191,0.00050293,50.71772525,0.00001012,0.30307952,0.02470952,0.00073922,8.82623101,MS,0.99762567,0.02893992,0.07412857,0.29594293,79.66452684,0.00000098,0.02682982,54.35254606,1,0.00114492,0.05008212,1172.09024214,2.53099756,0.00009480,4,1.19036531,6.19693242,3.53687748,0.00000251,2.98628964,0.03123144,False,2.00000000,1.50000000,197.23832317,39.17919153,4.83816933
2.32176649,0.00001144,50.72583196,0.00005060,0.00723610,0.00083422,0.00002496,0.07603222,MS,1.93169282,0.02888950,0.00250267,1.00000000,79.69745559,0.00000115,0.00203108,103.45545740,1,0.00003445,0.00113958,13.35865942,4.90074580,0.00000842,5,0.02708094,8.87013706,0.00091686,0.00000006,0.00091686,0.00124495,False,2.00000000,2.00000000,197.28477700,57.33851971,0.21307512
2.30587098,0.00000309,50.72704336,0.00000000,0.00195582,0.00013452,0.00000402,0.07556042,MS,1.95262323,0.02900000,0.00040357,1.00000000,79.70894965,0.00000072,0.00072700,103.46612596,1,0.00000937,0.00030777,13.36804410,4.95384670,0.00000189,6,0.00731298,8.90183354,0.00024776,0.00000002,0.00024776,0.00033605,False,2.00000000,2.50000000,197.29171923,57.55970441,0.05816051
2.29956490,0.00000106,50.72770724,0.00000000,0.00067305,0.00004343,0.00000130,0.07536001,MS,1.96100512,0.02900000,0.00013030,1.00000000,79.71523295,0.00000069,0.00031287,103.47195764,1,0.00000323,0.00010588,13.36944466,4.97511172,0.00000078,7,0.00251567,8.91565414,0.00008524,0.00000001,0.00008524,0.00011558,False,2.00000000,3.00000000,197.29552385,57.64742395,0.02009275
2.30268417,0.00000047,50.72807630,0.00000000,0.00029888,0.00001706,0.00000051,0.07546849,MS,1.95692502,0.02900000,0.00005117,1.00000000,79.71871617,0.00000063,0.00016136,103.47519037,1,0.00000143,0.00004703,13.37073383,4.96476042,0.00000037,8,0.00111735,8.90852497,0.00003786,0.00000000,0.00003786,0.00005134,False,2.00000000,3.00000000,197.29763893,57.60473639,0.00890563
2.29698234,0.00000018,50.72840108,0.00000000,0.00011447,0.00000581,0.00000017,0.07530548,MS,1.96452392,0.02900000,0.00001743,1.00000000,79.72178981,0.00000062,0.00007058,103.47804292,1,0.00000055,0.00001801,13.37524352,4.98403899,0.00000016,9,0.00042778,8.92069190,0.00001450,0.00000000,0.00001450,0.00001965,False,2.00000000,3.00000000,197.29950025,57.68406353,0.00342278
2.29875429,0.00000013,50.72849676,0.00000000,0.00008045,0.00000346,0.00000010,0.07536653,MS,1.96218899,0.02900000,0.00001039,1.00000000,79.72269233,0.00000057,0.00005038,103.47888051,1,0.00000039,0.00001266,13.37582267,4.97811523,0.00000010,10,0.00030069,8.91655423,0.00001019,0.00000000,0.00001019,0.00001382,False,2.00000000,3.00000000,197.30004857,57.65971253,0.00240305
9.53513548,0.00205773,0.00001113,0.00005000,-1.22359855,0.02007275,0.00060050,4.94124152,MS,0.51840596,0.02895000,0.06021826,0.00000000,85.74460890,0.00000052,0.09318247,32.04478808,1,0.00347908,0.22054950,487.33587673,1.18629263,0.00017323,3,5.59388796,4.52235584,6.01684576,0.00001024,2.35754912,0.02622123,True,3.00000000,1.00000000,226.53915346,27.41266772,10.28643689
12.19013694,0.00050537,50.12698829,0.00001016,0.19821322,0.02912397,0.00087128,8.79741891,MS,0.99779866,0.02893988,0.08737190,0.29403146,85.70591607,0.00000116,0.02694240,51.50101104,1,0.00115618,0.05414148,1174.05640656,2.28330937,0.00011258,4,1.37290971,6.17200137,3.55999579,0.00000253,2.35907749,0.02824397,False,3.00000000,1.50000000,226.38698772,38.99265797,4.86248102
2.69171070,0.00001152,50.13142885,0.00005082,0.00484700,0.00099105,0.00002965,0.12094425,MS,1.92728838,0.02888928,0.00297316,1.00000000,85.73572911,0.00000137,0.00204114,98.26356008,1,0.00003479,0.00123481,21.30411107,4.41030421,0.00001006,5,0.03130556,8.83124457,0.00147280,0.00000006,0.00147280,0.00115824,False,3.00000000,2.00000000,226.41794035,57.06135897,0.21413210
2.66862407,0.00000310,50.13211416,0.00000000,0.00130733,0.00015945,0.00000477,0.12012285,MS,1.95372438,0.02900000,0.00047836,1.00000000,85.74673361,0.00000086,0.00072926,98.27238782,1,0.00000945,0.00033251,21.34473509,4.47079895,0.00000226,6,0.00842906,8.87149568,0.00039730,0.00000002,0.00039730,0.00031169,False,3.00000000,2.50000000,226.42271752,57.34185827,0.05844494
2.66094222,0.00000107,50.13248946,0.00000000,0.00044987,0.00005147,0.00000154,0.11980736,MS,1.96258726,0.02900000,0.00015440,1.00000000,85.75273209,0.00000082,0.00031380,98.27719947,1,0.00000326,0.00011436,21.35063523,4.49108030,0.00000092,7,0.00289881,8.88606033,0.00013667,0.00000001,0.00013667,0.00010718,False,3.00000000,3.00000000,226.42533367,57.43482365,0.02019055
2.66373200,0.00000047,50.13269831,0.00000000,0.00019967,0.00002020,0.00000060,0.11996218,MS,1.95944048,0.02900000,0.00006061,1.00000000,85.75605824,0.00000075,0.00016179,98.27986745,1,0.00000145,0.00005077,21.35621825,4.48387936,0.00000044,8,0.00128691,8.88033910,0.00006069,0.00000000,0.00006069,0.00004758,False,3.00000000,3.00000000,226.42678953,57.40182450,0.00894905
2.65653800,0.00000018,50.13288191,0.00000000,0.00007646,0.00000688,0.00000021,0.11969200,MS,1.96778464,0.02900000,0.00002064,1.00000000,85.75899217,0.00000074,0.00007077,98.28222076,1,0.00000055,0.00001943,21.36639626,4.50297370,0.00000019,9,0.00049250,8.89363518,0.00002324,0.00000000,0.00002324,0.00001821,False,3.00000000,3.00000000,226.42806945,57.48903586,0.00343939
2.65777819,0.00000013,50.13293608,0.00000000,0.00005371,0.00000410,0.00000012,0.11978544,MS,1.96640558,0.02900000,0.00001229,1.00000000,85.75985448,0.00000068,0.00005050,98.28291241,1,0.00000039,0.00001365,21.37345086,4.49981794,0.00000012,10,0.00034602,8.89093725,0.00001633,0.00000000,0.00001633,0.00001279,False,3.00000000,3.00000000,226.42844706,57.47461990,0.00241472
9.86766898,0.00205934,51.85153494,0.00005000,0.50685573,0.01921224,0.00057476,4.99053001,MS,0.52122421,0.02895000,0.05763671,0.00000000,89.13226262,0.00000050,0.09335020,32.63741493,1,0.00350209,0.22944242,495.06500971,1.18248374,0.00016773,3,5.97806603,4.52201674,6.11705308,0.00001025,2.19372484,0.06220763,True,4.00000000,1.00000000,241.90825883,27.40202355,10.35044638
12.40644619,0.00050773,51.85391584,0.00001021,0.12101429,0.02817849,0.00084299,8.79147345,MS,0.99829145,0.02893984,0.08453548,0.29219249,89.12637469,0.00000112,0.02705174,52.34359865,1,0.00116499,0.05656519,1176.70839787,2.26479003,0.00010934,4,1.47399642,6.15943767,3.58470211,0.00000254,2.19357094,0.02719385,False,4.00000000,1.50000000,241.92581617,38.89768735,4.88760444
2.91190311,0.00001160,51.85642648,0.00005103,0.00309784,0.00096663,0.00002892,0.16808083,MS,1.92364950,0.02888902,0.00289989,1.00000000,89.15414712,0.00000133,0.00205096,100.10506992,1,0.00003508,0.00129307,29.64201042,4.36411854,0.00000983,5,0.03368739,8.80658601,0.00206362,0.00000006,0.00206362,0.00115126,False,4.00000000,2.00000000,241.94433120,56.88661471,0.21522976
2.88216146,0.00000312,51.85683910,0.00000000,0.00083456,0.00015497,0.00000464,0.16682554,MS,1.95538700,0.02900000,0.00046492,1.00000000,89.16508420,0.00000084,0.00073146,100.11356369,1,0.00000952,0.00034721,29.72965673,4.43612033,0.00000220,6,0.00904469,8.85505718,0.00055569,0.00000002,0.00055569,0.00030890,False,4.00000000,2.50000000,241.94737425,57.22410290,0.05873945
2.87347357,0.00000107,51.85706534,0.00000000,0.00028723,0.00005001,0.00000150,0.16638706,MS,1.96471426,0.02900000,0.00015002,1.00000000,89.17102940,0.00000080,0.00031470,100.11818047,1,0.00000328,0.00011938,29.74207883,4.45728077,0.00000090,7,0.00310971,8.87032206,0.00019113,0.00000001,0.00019113,0.00010619,False,4.00000000,3.00000000,241.94904276,57.32198784,0.02029179
2.87566634,0.00000048,51.85719146,0.00000000,0.00012742,0.00001962,0.00000059,0.16658743,MS,1.96246922,0.02900000,0.00005885,1.00000000,89.17432675,0.00000073,0.00016222,100.12074097,1,0.00000146,0.00005298,29.75611026,4.45218753,0.00000043,8,0.00137991,8.86596707,0.00008485,0.00000000,0.00008485,0.00004712,False,4.00000000,3.00000000,241.94997287,57.29840717,0.00899398
2.86732445,0.00000018,51.85730216,0.00000000,0.00004879,0.00000668,0.00000020,0.16623548,MS,1.97153239,0.02900000,0.00002003,1.00000000,89.17723426,0.00000072,0.00007095,100.12299870,1,0.00000056,0.00002027,29.78117714,4.47274884,0.00000018,9,0.00052789,8.88033049,0.00003249,0.00000000,0.00003249,0.00001802,False,4.00000000,3.00000000,241.95078928,57.39306040,0.00345658
2.86780855,0.00000013,51.85733489,0.00000000,0.00003426,0.00000398,0.00000012,0.16631879,MS,1.97107783,0.02900000,0.00001193,1.00000000,89.17808957,0.00000066,0.00005062,100.12366285,1,0.00000039,0.00001423,29.79171199,4.47171759,0.00000012,10,0.00037071,8.87902805,0.00002282,0.00000000,0.00002282,0.00001266,False,4.00000000,3.00000000,241.95103063,57.38828438,0.00242679
10.07440541,0.00206089,53.43398639,0.00005000,0.62977440,0.01848776,0.00055308,5.05004434,MS,0.52414611,0.02895000,0.05546328,0.00000000,90.75943706,0.00000048,0.09351240,33.33393618,1,0.00351996,0.23380675,503.14687519,1.19942807,0.00016220,3,6.18994678,4.52720526,6.22158824,0.00001025,2.14100893,0.07316271,True,5.00000000,1.00000000,250.29399737,27.43635352,10.41629644
12.53160052,0.00051002,53.43878660,0.00001025,0.08686273,0.02727859,0.00081607,8.79825836,MS,0.99908337,0.02893979,0.08183577,0.29042317,90.76380827,0.00000108,0.02715778,53.34299429,1,0.00117250,0.05786365,1179.89074962,2.28624925,0.00010604,4,1.53206512,6.15346234,3.61057310,0.00000255,2.14071101,0.02679719,False,5.00000000,1.50000000,250.32999119,38.85351030,4.91349547
3.05427019,0.00001168,53.44051145,0.00005123,0.00232854,0.00094157,0.00002817,0.21676862,MS,1.92075167,0.02888877,0.00282472,1.00000000,90.79037869,0.00000129,0.00206054,102.24804020,1,0.00003534,0.00132575,38.24948860,4.39534596,0.00000957,5,0.03509371,8.78974160,0.00268096,0.00000006,0.00268096,0.00116044,False,5.00000000,2.00000000,250.34292578,56.76957267,0.21636635
3.01845446,0.00000313,53.44081369,0.00000000,0.00062685,0.00015040,0.00000450,0.21509910,MS,1.95759322,0.02900000,0.00045120,1.00000000,90.80134514,0.00000081,0.00073360,102.25653425,1,0.00000958,0.00035501,38.41755259,4.47965220,0.00000214,6,0.00939647,8.84609352,0.00072098,0.00000002,0.00072098,0.00031047,False,5.00000000,2.50000000,250.34519229,57.16167810,0.05904354
3.00895668,0.00000108,53.44097979,0.00000000,0.00021578,0.00004851,0.00000145,0.21451288,MS,1.96736838,0.02900000,0.00014554,1.00000000,90.80729026,0.00000077,0.00031558,102.26113877,1,0.00000330,0.00012204,38.43522224,4.50202116,0.00000088,7,0.00322985,8.86202173,0.00024794,0.00000001,0.00024794,0.00010670,False,5.00000000,3.00000000,250.34643785,57.26420966,0.02039629
3.01046114,0.00000048,53.44107252,0.00000000,0.00009569,0.00001902,0.00000057,0.21476330,MS,1.96599372,0.02900000,0.00005706,1.00000000,90.81058829,0.00000071,0.00016263,102.26369302,1,0.00000146,0.00005413,38.46293844,4.49887545,0.00000041,8,0.00143258,8.85898392,0.00011005,0.00000000,0.00011005,0.00004733,False,5.00000000,3.00000000,250.34713326,57.24971818,0.00904033
3.00110804,0.00000018,53.44115380,0.00000000,0.00003664,0.00000647,0.00000019,0.21426481,MS,1.97574991,0.02900000,0.00001942,1.00000000,90.81349544,0.00000069,0.00007113,102.26594450,1,0.00000056,0.00002070,38.49567936,4.52120100,0.00000018,9,0.00054784,8.87436534,0.00004212,0.00000000,0.00004212,0.00001810,False,5.00000000,3.00000000,250.34774283,57.35145611,0.00347430
3.00083771,0.00000013,53.44117787,0.00000000,0.00002572,0.00000385,0.00000012,0.21439393,MS,1.97618856,0.02900000,0.00001155,1.00000000,90.81435137,0.00000064,0.00005074,102.26660738,1,0.00000039,0.00001453,38.52442788,4.52220478,0.00000012,10,0.00038454,8.87440017,0.00002959,0.00000000,0.00002959,0.00001270,False,5.00000000,3.00000000,250.34792332,57.35592542,0.00243923
10.21750279,0.00206240,54.53890586,0.00005000,0.47122434,0.01802534,0.00053925,5.11504232,MS,0.52713212,0.02895000,0.05407601,0.00000000,91.40767706,0.00000047,0.09367087,33.78771499,1,0.00353521,0.23564921,511.45529355,1.21671774,0.00015847,3,6.31339044,4.53516441,6.32895824,0.00001026,2.12018114,0.06897426,True,6.00000000,1.00000000,255.09861477,27.49379257,10.48331216
12.61121892,0.00051225,54.54230530,0.00001029,0.07061767,0.02670357,0.00079887,8.81184923,MS,1.00006313,0.02893975,0.08011072,0.28870220,91.40882336,0.00000106,0.02726168,53.94766014,1,0.00117933,0.05853044,1183.41546795,2.30832935,0.00010390,4,1.56825492,6.15084715,3.63724170,0.00000256,2.11997483,0.02671549,False,6.00000000,1.50000000,255.12425099,38.83567398,4.93988476
3.15741255,0.00001176,54.54366661,0.00005143,0.00196539,0.00092610,0.00002771,0.26638707,MS,1.91834478,0.02888853,0.00277829,1.00000000,91.43479627,0.00000126,0.00206995,103.63675571,1,0.00003558,0.00134403,47.01759691,4.42789203,0.00000941,5,0.03600292,8.77698769,0.00331741,0.00000006,0.00331741,0.00117268,False,6.00000000,2.00000000,255.13451762,56.68302068,0.21753023
3.11584502,0.00000314,54.54391796,0.00000000,0.00052874,0.00014738,0.00000441,0.26424448,MS,1.96015214,0.02900000,0.00044213,1.00000000,91.44582075,0.00000079,0.00073570,103.64533068,1,0.00000963,0.00035895,47.28459487,4.52439109,0.00000210,6,0.00961410,8.84098393,0.00089089,0.00000002,0.00089089,0.00031287,False,6.00000000,2.50000000,255.13641329,57.12808188,0.05935406
3.10568150,0.00000108,54.54405643,0.00000000,0.00018204,0.00004752,0.00000142,0.26353627,MS,1.97036372,0.02900000,0.00014257,1.00000000,91.45178167,0.00000076,0.00031644,103.64996688,1,0.00000332,0.00012336,47.31494531,4.54796130,0.00000086,7,0.00330385,8.85754639,0.00030635,0.00000001,0.00030635,0.00010750,False,6.00000000,3.00000000,255.13745764,57.23504970,0.02050298
3.10644531,0.00000048,54.54413384,0.00000000,0.00008070,0.00001862,0.00000056,0.26381494,MS,1.96983765,0.02900000,0.00005586,1.00000000,91.45508918,0.00000069,0.00016304,103.65253927,1,0.00000147,0.00005469,47.35700309,4.54674702,0.00000041,8,0.00146478,8.85579016,0.00013594,0.00000000,0.00013594,0.00004766,False,6.00000000,3.00000000,255.13804139,57.22940450,0.00908763
3.09618440,0.00000018,54.54420162,0.00000000,0.00003091,0.00000633,0.00000019,0.26315854,MS,1.98026862,0.02900000,0.00001900,1.00000000,91.45800373,0.00000068,0.00007131,103.65480599,1,0.00000056,0.00002091,47.39941933,4.57082362,0.00000017,9,0.00055995,8.87215110,0.00005201,0.00000000,0.00005201,0.00001822,False,6.00000000,3.00000000,255.13855259,57.33795180,0.00349238
3.09514620,0.00000013,54.54422171,0.00000000,0.00002169,0.00000377,0.00000011,0.26332858,MS,1.98157898,0.02900000,0.00001130,1.00000000,91.45886257,0.00000062,0.00005086,103.65547392,1,0.00000040,0.00001467,47.45030962,4.57384818,0.00000011,10,0.00039287,8.87348289,0.00003653,0.00000000,0.00003653,0.00001278,False,6.00000000,3.00000000,255.13870410,57.35138912,0.00245191
10.32381119,0.00206389,55.84745268,0.00005000,0.38394273,0.01776990,0.00053161,5.18409356,MS,0.53018788,0.02895000,0.05330970,0.00000000,91.42797667,0.00000046,0.09382722,34.38063038,1,0.00354899,0.23587166,520.00560350,1.24505627,0.00015635,3,6.38428603,4.54482222,6.43940747,0.00001027,2.13534581,0.06650875,True,7.00000000,1.00000000,257.77717317,27.56564860,10.55169329
12.66463398,0.00051446,55.85011983,0.00001032,0.06149673,0.02640789,0.00079002,8.82997529,MS,1.00119885,0.02893971,0.07922367,0.28701134,91.42673380,0.00000104,0.02736446,54.77322316,1,0.00118582,0.05879471,1187.24622977,2.35114562,0.00010279,4,1.59152817,6.15027781,3.66477322,0.00000257,2.13518592,0.02693098,False,7.00000000,1.50000000,257.79710092,38.83404642,4.96685097
3.23795867,0.00001184,55.85128775,0.00005162,0.00176616,0.00091941,0.00002751,0.31708821,MS,1.91633103,0.02888829,0.00275824,1.00000000,91.45243926,0.00000125,0.00207928,105.45329142,1,0.00003582,0.00135309,55.97453796,4.50017828,0.00000933,5,0.03661813,8.76674037,0.00397525,0.00000006,0.00397525,0.00119404,False,7.00000000,2.00000000,257.80582753,56.61528772,0.21872503
3.19087287,0.00000315,55.85151309,0.00000000,0.00047485,0.00014577,0.00000436,0.31442473,MS,1.96301725,0.02900000,0.00043732,1.00000000,91.46357743,0.00000078,0.00073778,105.46210443,1,0.00000969,0.00036041,56.36191057,4.60981294,0.00000208,6,0.00975253,8.83822152,0.00106605,0.00000002,0.00106605,0.00031769,False,7.00000000,2.50000000,257.80751120,57.11217741,0.05967195
3.18011400,0.00000108,55.85163755,0.00000000,0.00016350,0.00004699,0.00000141,0.31358994,MS,1.97365820,0.02900000,0.00014097,1.00000000,91.46958424,0.00000075,0.00031729,105.46685701,1,0.00000334,0.00012383,56.40708490,4.63480140,0.00000085,7,0.00335061,8.85539990,0.00036655,0.00000001,0.00036655,0.00010912,False,7.00000000,3.00000000,257.80844121,57.22344766,0.02061218
3.18012219,0.00000048,55.85170718,0.00000000,0.00007246,0.00001840,0.00000055,0.31388991,MS,1.97396745,0.02900000,0.00005520,1.00000000,91.47291791,0.00000068,0.00016344,105.46949451,1,0.00000148,0.00005488,56.46690384,4.63552764,0.00000040,8,0.00148488,8.85489976,0.00016261,0.00000000,0.00016261,0.00004836,False,7.00000000,3.00000000,257.80896150,57.22647316,0.00913603
3.16902132,0.00000018,55.85176812,0.00000000,0.00002775,0.00000626,0.00000019,0.31306752,MS,1.98506182,0.02900000,0.00001878,1.00000000,91.47585459,0.00000067,0.00007148,105.47181788,1,0.00000057,0.00002097,56.52175101,4.66158088,0.00000017,9,0.00056743,8.87221276,0.00006220,0.00000000,0.00006220,0.00001848,False,7.00000000,3.00000000,257.80941680,57.34163315,0.00351087
3.16721502,0.00000013,55.85178619,0.00000000,0.00001947,0.00000372,0.00000011,0.31327235,MS,1.98723111,0.02900000,0.00001116,1.00000000,91.47672067,0.00000062,0.00005097,105.47250308,1,0.00000040,0.00001471,56.59861639,4.66667508,0.00000011,10,0.00039794,8.87481330,0.00004368,0.00000000,0.00004368,0.00001296,False,7.00000000,3.00000000,257.80955182,57.36384291,0.00246488
10.40729424,0.00206537,56.03387960,0.00005000,0.32586523,0.01766967,0.00052861,5.25460442,MS,0.53323807,0.02895000,0.05300901,0.00000000,91.09112934,0.00000046,0.09398270,34.29360041,1,0.00356178,0.23517117,528.59814342,1.25221914,0.00015548,3,6.42345713,4.55529256,6.55050613,0.00001028,2.12420444,0.06409344,True,8.00000000,1.00000000,259.17291334,27.64452676,10.62000834
12.70196684,0.00051667,56.03605342,0.00001036,0.05503624,0.02632801,0.00078763,8.85034889,MS,1.00234032,0.02893968,0.07898403,0.28533666,91.08843792,0.00000104,0.02746695,54.51528449,1,0.00119206,0.05882827,1191.14360666,2.35382618,0.00010249,4,1.60698185,6.15072102,3.69256511,0.00000258,2.12407494,0.02672412,False,8.00000000,1.50000000,259.18922234,38.84052442,4.99382964
3.30435526,0.00001191,56.03707728,0.00005181,0.00162201,0.00091971,0.00002751,0.36775052,MS,1.91439182,0.02888806,0.00275914,1.00000000,91.11367241,0.00000124,0.00208861,105.18492193,1,0.00003605,0.00135685,64.91836934,4.49562436,0.00000933,5,0.03705534,8.75781703,0.00464043,0.00000006,0.00464043,0.00119434,False,8.00000000,2.00000000,259.19690416,56.55749102,0.21992587
