C_N_ratio_shoot,Cont_WSC_DM,mstruct,sum_N_g,NS_laminae,C_N_ratio,Cont_WSC_DM_shoot,axis,sum_C_g,mstruct_shoot,NS_shoot,Total_Photosynthesis,N_content_total_DM_shoot,N_content_mstruct_roots,sum_dry_mass,plant,N_content_mstruct,sum_dry_mass_laminae,NS_roots,N_content_roots,sum_NSC_g,shoot_roots_mstruct_ratio,NS_stem,N_content,Tillers_Photosynthesis_An,Cont_WSC_DM_laminae,Cont_WSC_DM_stem,sum_dry_mass_stem,sum_N_g_shoot,mstruct_laminae,sum_dry_mass_roots,senesced_mstruct,N_content_shoot,sum_dry_mass_shoot,NS,shoot_roots_ratio,Cont_WSC_DM_roots,N_content_mstruct_shoot,t,Tillers_Photosynthesis,Total_Transpiration,dry_mass_phloem,C_respired_roots,C_exudated,mstruct_stem,NNI,C_respired_shoot
9.97518833,12.676862363639016,0.05410729,0.00190338,41.72665565,16.57506313,11.402560507586356,MS,0.03154867,0.01971272,40.40801369,0.00000000,4.21361685,1.47880875,0.07480501,1,3.51379835,0.02250638,17.42213602,1.22116867,0.00774146,0.57211174,37.60109029,2.54445715,27.75739162,9.793839245848211,14.826960353860654,0.01057309,0.00139384,0.01311522,0.04172554,0.00000000,4.21361685,0.03307947,27.58670539,0.79278722,13.687112589452136,7.07077765,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00659749,0.95764019,NA
9.98894972,13.567458125553733,0.05450322,0.00194268,41.03763120,16.55933824,10.75252215444392,MS,0.03216958,0.01998704,39.70079794,28.50287498,4.20943370,1.58594395,0.07628965,1,3.56434894,0.02224338,19.99625185,1.26881460,0.00818816,0.57906307,36.97352211,2.54645948,28.55419057,9.71619683371566,12.866731207369497,0.01090307,0.00139528,0.01311522,0.04314320,0.00000000,4.20943370,0.03314645,28.55751444,0.76828904,15.730142582979232,6.98091112,1.00000000,28.50287498,0.00084029,0.00325676,NA,NA,0.00687182,0.95668948,NA
10.08925056,14.15814114208382,0.05455915,0.00194928,41.69203376,16.64180066,11.732389424253682,MS,0.03243946,0.01999180,40.39455207,22.59823311,4.16734864,1.59554608,0.07693409,1,3.57277517,0.02249302,20.34047412,1.27100444,0.00843343,0.57834322,37.75277108,2.53369576,22.65240467,10.761014271340198,13.710190280312014,0.01104720,0.00139774,0.01311522,0.04339388,0.00000000,4.16734864,0.03354022,29.08325759,0.77292510,16.033065542574978,6.99155662,2.00000000,22.59823311,0.00053077,0.00425466,NA,NA,0.00687657,0.94712469,NA
10.13997016,14.398929205672886,0.05462277,0.00195623,41.90926425,16.65386197,12.213670566548231,MS,0.03257883,0.01999736,40.73325235,12.25877131,4.14640661,1.60917187,0.07727497,1,3.58135048,0.02257713,20.46294509,1.27988792,0.00854481,0.57753404,38.35501630,2.53152218,12.28980834,11.139745723690904,14.385457073474434,0.01116415,0.00139905,0.01311522,0.04353369,0.00000000,4.14640661,0.03374128,29.31375471,0.77506121,16.092638401619283,6.99617707,3.00000000,12.25877131,0.00016937,0.00484786,NA,NA,0.00688214,0.94236514,NA
10.14581531,14.341799009126763,0.05468309,0.00196087,41.72996532,16.62244126,12.224668783747433,MS,0.03259451,0.02000272,40.72694654,2.24149370,4.14410446,1.62159135,0.07732199,1,3.58588697,0.02250766,20.41269666,1.29058083,0.00853395,0.57677354,38.71827581,2.53598469,2.00898234,10.945140195759876,14.787085029130962,0.01123908,0.00139850,0.01311522,0.04357526,0.00000000,4.14410446,0.03374674,29.27873333,0.77444720,15.981404584312386,6.99154880,4.00000000,2.24149370,0.00002729,0.00516844,NA,NA,0.00688750,0.94184192,NA
10.14800829,14.225837654450451,0.05474063,0.00196416,41.56333228,16.58811265,12.196111657994997,MS,0.03258172,0.02000791,40.68926182,0.00000000,4.14324695,1.63095915,0.07730078,1,3.58812270,0.02244348,20.27697649,1.30024995,0.00849585,0.57605346,38.95177626,2.54093298,0.00000000,10.765784129917254,15.039330291082514,0.01129056,0.00139768,0.01311522,0.04356674,0.00000000,4.14324695,0.03373404,29.18489162,0.77430707,15.797468833943215,6.98566074,5.00000000,0.00000000,0.00000935,0.00534308,NA,NA,0.00689269,0.94164703,NA
10.15200134,14.11149710513878,0.05479626,0.00196717,41.46435469,16.55593876,12.200155213188275,MS,0.03256835,0.02001298,40.68074389,0.00000000,4.14165819,1.63833903,0.07727730,1,3.58997112,0.02240553,20.11107633,1.30885141,0.00845799,0.57536184,39.13142449,2.54559877,0.00000000,10.673122028136383,15.21933530362297,0.01133221,0.00139730,0.01311522,0.04353956,0.00000000,4.14165819,0.03373774,29.09138593,0.77487550,15.592549117445731,6.98197931,6.00000000,0.00000000,0.00000628,0.00544309,NA,NA,0.00689776,0.94128595,NA
10.15522102,13.997804062258828,0.05485068,0.00197007,41.39969172,16.52455168,12.212482539178978,MS,0.03255460,0.02001799,40.68323761,0.00000000,4.14036176,1.64443666,0.07725256,1,3.59170486,0.02238081,19.93396846,1.31663517,0.00842030,0.57468963,39.27256611,2.55017369,0.00000000,10.621163647265949,15.345730269212313,0.01136680,0.00139727,0.01311522,0.04350496,0.00000000,4.14036176,0.03374760,28.99823936,0.77571864,15.38271123718511,6.98008723,7.00000000,0.00000000,0.00000319,0.00549885,NA,NA,0.00690277,0.94099131,NA
10.15716283,13.884781778420196,0.05490438,0.00197287,41.35023837,16.49412861,12.221566941204344,MS,0.03254070,0.02002298,40.68647267,0.00000000,4.13957814,1.64968321,0.07722706,1,3.59327565,0.02236193,19.75606117,1.32377079,0.00838277,0.57403024,39.38398235,2.55462990,0.00000000,10.585308841649395,15.432354044033161,0.01139593,0.00139743,0.01311522,0.04346920,0.00000000,4.13957814,0.03375786,28.90526225,0.77659262,15.176422148028523,6.97914679,8.00000000,0.00000000,0.00000319,0.00552800,NA,NA,0.00690776,0.94081321,NA
10.15748549,13.772214896045348,0.05495744,0.00197558,41.30655923,16.46434923,12.223873095726344,MS,0.03252666,0.02002796,40.68763312,0.00000000,4.13944006,1.65424752,0.07720094,1,3.59474751,0.02234529,19.58036527,1.33033981,0.00834539,0.57338246,39.47676430,2.55901192,0.00000000,10.55418076960753,15.490463960899831,0.01142162,0.00139776,0.01311522,0.04343403,0.00000000,4.13944006,0.03376691,28.81247127,0.77742991,14.975942120784996,6.97905054,9.00000000,0.00000000,0.00000330,0.00553936,NA,NA,0.00691273,0.94078183,NA
