t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
11,Soissons,2,sheath,StemElement,0.000440954,0
11,Soissons,3,blade,LeafElement1,0.026563619,0.0120609
11,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
11,Soissons,4,blade,LeafElement1,0.170660446,0.138217677
11,Soissons,4,internode,StemElement,0.005389727,0.000438254
11,Soissons,4,sheath,StemElement,0.012378293,0.004984751
11,Soissons,5,internode,StemElement,0.025751223,0.047219619
11,Soissons,6,internode,StemElement,0.088657349,0.131138906
12,Soissons,1,blade,LeafElement1,0.004469535,0.000273246
12,Soissons,1,sheath,StemElement,0,5.53E-05
12,Soissons,2,blade,LeafElement1,0.014102774,0.001402713
12,Soissons,2,sheath,StemElement,0,0
12,Soissons,3,blade,LeafElement1,0.025586424,0.0120609
12,Soissons,3,sheath,StemElement,0,0.000170922
12,Soissons,4,blade,LeafElement1,0.172156538,0.138217677
12,Soissons,4,internode,StemElement,0.000164343,0.000438254
12,Soissons,4,sheath,StemElement,0.005025966,0.004984751
12,Soissons,5,internode,StemElement,0.022511281,0.047219619
12,Soissons,6,internode,StemElement,0.079394464,0.131138906
13,Soissons,1,blade,LeafElement1,0.002741243,0.000273246
13,Soissons,1,sheath,StemElement,0.000497919,5.53E-05
13,Soissons,2,blade,LeafElement1,0.004862005,0.001402713
13,Soissons,2,sheath,StemElement,0.000881912,0
13,Soissons,3,blade,LeafElement1,0.024851015,0.0120609
13,Soissons,3,sheath,StemElement,0.004168665,0.000170922
13,Soissons,4,blade,LeafElement1,0.171117153,0.138217677
13,Soissons,4,internode,StemElement,0.003012949,0.000438254
13,Soissons,4,sheath,StemElement,0.007156128,0.004984751
13,Soissons,5,internode,StemElement,0.04019158,0.047219619
13,Soissons,6,internode,StemElement,0.086048262,0.131138906
14,Soissons,1,blade,LeafElement1,3.16E-05,0.000273246
14,Soissons,1,sheath,StemElement,0,5.53E-05
14,Soissons,2,blade,LeafElement1,0.002406596,0.001402713
14,Soissons,2,sheath,StemElement,0,0
14,Soissons,3,blade,LeafElement1,0.007689953,0.0120609
14,Soissons,3,sheath,StemElement,0.000496806,0.000170922
14,Soissons,4,blade,LeafElement1,0.153741131,0.138217677
14,Soissons,4,internode,StemElement,0,0.000438254
14,Soissons,4,sheath,StemElement,0.0069483,0.004984751
14,Soissons,5,internode,StemElement,0.074677114,0.047219619
14,Soissons,6,internode,StemElement,0.115307791,0.131138906
15,Soissons,1,blade,LeafElement1,9.96E-05,0.000273246
15,Soissons,1,sheath,StemElement,0,5.53E-05
15,Soissons,2,blade,LeafElement1,0.000359838,0.001402713
15,Soissons,2,sheath,StemElement,0,0
15,Soissons,3,blade,LeafElement1,0.004442587,0.0120609
15,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
15,Soissons,4,blade,LeafElement1,0.125178034,0.138217677
15,Soissons,4,internode,StemElement,0,0.000438254
15,Soissons,4,sheath,StemElement,0.003420249,0.004984751
15,Soissons,5,internode,StemElement,0.052052084,0.047219619
15,Soissons,6,internode,StemElement,0.150871575,0.131138906
16,Soissons,1,blade,LeafElement1,0.001147283,0.000273246
16,Soissons,1,sheath,StemElement,0,5.53E-05
16,Soissons,2,blade,LeafElement1,0.000391526,0.001402713
16,Soissons,2,sheath,StemElement,0,0
16,Soissons,3,blade,LeafElement1,0.002195758,0.0120609
16,Soissons,3,sheath,StemElement,0.000110396,0.000170922
16,Soissons,4,blade,LeafElement1,0.08986932,0.138217677
16,Soissons,4,internode,StemElement,5.48E-05,0.000438254
16,Soissons,4,sheath,StemElement,0.00342022,0.004984751
16,Soissons,5,internode,StemElement,0.039588036,0.047219619
16,Soissons,6,internode,StemElement,0.186486965,0.131138906
17,Soissons,1,blade,LeafElement1,0,0.000273246
17,Soissons,1,sheath,StemElement,0,5.53E-05
17,Soissons,2,blade,LeafElement1,0,0.001402713
17,Soissons,2,sheath,StemElement,0,0
17,Soissons,3,blade,LeafElement1,0.004395725,0.0120609
17,Soissons,3,sheath,StemElement,0,0.000170922
17,Soissons,4,blade,LeafElement1,0.051575526,0.138217677
17,Soissons,4,internode,StemElement,0,0.000438254
17,Soissons,4,sheath,StemElement,0.00695087,0.004984751
17,Soissons,5,internode,StemElement,0.036568334,0.047219619
17,Soissons,6,internode,StemElement,0.21593678,0.131138906
18,Soissons,1,blade,LeafElement1,0,0.000273246
18,Soissons,1,sheath,StemElement,0,5.53E-05
18,Soissons,2,blade,LeafElement1,0,0.001402713
18,Soissons,2,sheath,StemElement,0,0
18,Soissons,3,blade,LeafElement1,0,0.0120609
18,Soissons,3,sheath,StemElement,0,0.000170922
18,Soissons,4,blade,LeafElement1,0.050122965,0.138217677
18,Soissons,4,internode,StemElement,0,0.000438254
18,Soissons,4,sheath,StemElement,0,0.004984751
18,Soissons,5,internode,StemElement,0,0.047219619
18,Soissons,6,internode,StemElement,0.23163228,0.131138906
19,Soissons,1,blade,LeafElement1,0,0.000273246
19,Soissons,1,sheath,StemElement,0,5.53E-05
19,Soissons,2,blade,LeafElement1,0,0.001402713
19,Soissons,2,sheath,StemElement,0,0
19,Soissons,3,blade,LeafElement1,0,0.0120609
19,Soissons,3,sheath,StemElement,0,0.000170922
19,Soissons,4,blade,LeafElement1,0.026800882,0.138217677
19,Soissons,4,internode,StemElement,0,0.000438254
19,Soissons,4,sheath,StemElement,0,0.004984751
19,Soissons,5,internode,StemElement,0,0.047219619
19,Soissons,6,internode,StemElement,0.255972358,0.131138906
20,Soissons,1,blade,LeafElement1,0,0
20,Soissons,1,sheath,StemElement,0,0
20,Soissons,2,blade,LeafElement1,0,0
20,Soissons,2,sheath,StemElement,0,0
20,Soissons,3,blade,LeafElement1,0,0
20,Soissons,3,sheath,StemElement,0,0
20,Soissons,4,blade,LeafElement1,0,0
20,Soissons,4,internode,StemElement,0,0
20,Soissons,4,sheath,StemElement,0,0
20,Soissons,5,internode,StemElement,0,0
20,Soissons,6,internode,StemElement,0,0
21,Soissons,1,blade,LeafElement1,0,0
21,Soissons,1,sheath,StemElement,0,0
21,Soissons,2,blade,LeafElement1,0,0
21,Soissons,2,sheath,StemElement,0,0
21,Soissons,3,blade,LeafElement1,0,0
21,Soissons,3,sheath,StemElement,0,0
21,Soissons,4,blade,LeafElement1,0,0
21,Soissons,4,internode,StemElement,0,0
21,Soissons,4,sheath,StemElement,0,0
21,Soissons,5,internode,StemElement,0,0
21,Soissons,6,internode,StemElement,0,0
22,Soissons,1,blade,LeafElement1,0,0
22,Soissons,1,sheath,StemElement,0,0
22,Soissons,2,blade,LeafElement1,0,0
22,Soissons,2,sheath,StemElement,0,0
22,Soissons,3,blade,LeafElement1,0,0
22,Soissons,3,sheath,StemElement,0,0
22,Soissons,4,blade,LeafElement1,0,0
22,Soissons,4,internode,StemElement,0,0
22,Soissons,4,sheath,StemElement,0,0
22,Soissons,5,internode,StemElement,0,0
22,Soissons,6,internode,StemElement,0,0
23,Soissons,1,blade,LeafElement1,0,0
23,Soissons,1,sheath,StemElement,0,0
23,Soissons,2,blade,LeafElement1,0,0
23,Soissons,2,sheath,StemElement,0,0
23,Soissons,3,blade,LeafElement1,0,0
23,Soissons,3,sheath,StemElement,0,0
23,Soissons,4,blade,LeafElement1,0,0
23,Soissons,4,internode,StemElement,0,0
23,Soissons,4,sheath,StemElement,0,0
23,Soissons,5,internode,StemElement,0,0
23,Soissons,6,internode,StemElement,0,0
24,Soissons,1,blade,LeafElement1,0,0
24,Soissons,1,sheath,StemElement,0,0
24,Soissons,2,blade,LeafElement1,0,0
24,Soissons,2,sheath,StemElement,0,0
24,Soissons,3,blade,LeafElement1,0,0
24,Soissons,3,sheath,StemElement,0,0
24,Soissons,4,blade,LeafElement1,0,0
24,Soissons,4,internode,StemElement,0,0
24,Soissons,4,sheath,StemElement,0,0
24,Soissons,5,internode,StemElement,0,0
24,Soissons,6,internode,StemElement,0,0
25,Soissons,1,blade,LeafElement1,0,0
25,Soissons,1,sheath,StemElement,0,0
25,Soissons,2,blade,LeafElement1,0,0
25,Soissons,2,sheath,StemElement,0,0
25,Soissons,3,blade,LeafElement1,0,0
25,Soissons,3,sheath,StemElement,0,0
25,Soissons,4,blade,LeafElement1,0,0
25,Soissons,4,internode,StemElement,0,0
25,Soissons,4,sheath,StemElement,0,0
25,Soissons,5,internode,StemElement,0,0
25,Soissons,6,internode,StemElement,0,0
26,Soissons,1,blade,LeafElement1,0,0
26,Soissons,1,sheath,StemElement,0,0
26,Soissons,2,blade,LeafElement1,0,0
26,Soissons,2,sheath,StemElement,0,0
26,Soissons,3,blade,LeafElement1,0,0
26,Soissons,3,sheath,StemElement,0,0
26,Soissons,4,blade,LeafElement1,0,0
26,Soissons,4,internode,StemElement,0,0
26,Soissons,4,sheath,StemElement,0,0
26,Soissons,5,internode,StemElement,0,0
26,Soissons,6,internode,StemElement,0,0
27,Soissons,1,blade,LeafElement1,0,0
27,Soissons,1,sheath,StemElement,0,0
27,Soissons,2,blade,LeafElement1,0,0
27,Soissons,2,sheath,StemElement,0,0
27,Soissons,3,blade,LeafElement1,0,0
27,Soissons,3,sheath,StemElement,0,0
27,Soissons,4,blade,LeafElement1,0,0
27,Soissons,4,internode,StemElement,0,0
27,Soissons,4,sheath,StemElement,0,0
27,Soissons,5,internode,StemElement,0,0
27,Soissons,6,internode,StemElement,0,0
28,Soissons,1,blade,LeafElement1,0,0
28,Soissons,1,sheath,StemElement,0,0
28,Soissons,2,blade,LeafElement1,0,0
28,Soissons,2,sheath,StemElement,0,0
28,Soissons,3,blade,LeafElement1,0,0
28,Soissons,3,sheath,StemElement,0,0
28,Soissons,4,blade,LeafElement1,0,0
28,Soissons,4,internode,StemElement,0,0
28,Soissons,4,sheath,StemElement,0,0
28,Soissons,5,internode,StemElement,0,0
28,Soissons,6,internode,StemElement,0,0
29,Soissons,1,blade,LeafElement1,0,0.000273246
29,Soissons,1,sheath,StemElement,0,5.53E-05
29,Soissons,2,blade,LeafElement1,0,0.001402713
29,Soissons,2,sheath,StemElement,0,0
29,Soissons,3,blade,LeafElement1,0,0.0120609
29,Soissons,3,sheath,StemElement,0,0.000170922
29,Soissons,4,blade,LeafElement1,0.038936377,0.138217677
29,Soissons,4,internode,StemElement,0,0.000438254
29,Soissons,4,sheath,StemElement,0,0.004984751
29,Soissons,5,internode,StemElement,0,0.047219619
29,Soissons,6,internode,StemElement,0.24262621,0.131138906
30,Soissons,1,blade,LeafElement1,0,0.000273246
30,Soissons,1,sheath,StemElement,0,5.53E-05
30,Soissons,2,blade,LeafElement1,0,0.001402713
30,Soissons,2,sheath,StemElement,0,0
30,Soissons,3,blade,LeafElement1,0,0.0120609
30,Soissons,3,sheath,StemElement,0,0.000170922
