plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,synthetized_mstruct,senesced_mstruct,age,nitrates_vacuole,rate_mstruct_growth
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,33.54026363,0.585722568,5.857225676,NA,NA,NA,0.00760246,3.80123E-05,1.900614939,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
