t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
0,1,MS,grains,NA,NA,NA,NA,NA,0.0847784109529,NA,NA,NA,NA,NA,NA,0.001510496422,1.205428876e-06,NA,NA,0.0,4.35275158754,NA,NA,NA,NA,NA,0.655764882894,NA,0.0,10.6567366453,NA,NA,NA,0.0,NA,NA,NA,NA,107.892601572,NA,NA,NA,0.0,2455.72732049,NA,NA
0,1,MS,phloem,NA,64.5670187688,NA,102.303720376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.421530609,NA,NA,NA,NA,NA,NA,NA,NA,NA,2639.48790548,NA
0,1,MS,roots,11.9036599427,103.398560068,510.321302129,117.253479992,5.18798579856,NA,0.0192222029788,0.00270287056639,0.00549553940048,54.4517669174,1.02346707769,0.0099931507249,NA,NA,2.85807518647,3.37521154104,NA,NA,NA,5.39594718143,3.69737098023,7.34028996054,2.86603714265,NA,0.816432228136,NA,NA,3.66247305724,59.5182997135,8.50179229482,NA,60.9294134562,2.61291585048,0.503647456245,257.022025685,NA,1.764e-07,1.27435589593e-07,0.00292114023127,NA,NA,708.653003209,774.725893806
1,1,MS,grains,NA,NA,NA,NA,NA,0.0850330785049,NA,NA,NA,NA,NA,NA,0.00151863063347,1.26435080857e-06,NA,NA,0.0,4.57759163356,NA,NA,NA,NA,NA,0.529991696319,NA,0.0,11.2072071029,NA,NA,NA,0.0,NA,NA,NA,NA,108.473616676,NA,NA,NA,0.0,2462.22255961,NA,NA
1,1,MS,phloem,NA,65.0591968232,NA,134.134855388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.675119,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461.07489789,NA
1,1,MS,roots,13.3229273367,106.028167496,523.873351876,119.105091147,5.42735561091,NA,0.0197110574435,0.00277464777071,0.00574909950764,52.7838086599,1.15636570918,0.0099931507249,NA,NA,2.86738691749,3.30988820648,NA,NA,NA,5.39594718143,3.73629028719,7.34028996054,2.87537481406,NA,0.850449137229,NA,NA,3.1502232422,66.6146366835,8.33724989039,NA,62.4789557139,2.73347384757,0.503647456245,263.847481067,NA,1.764e-07,1.27435589593e-07,0.00292114023127,NA,NA,719.843714183,776.275436064
2,1,MS,grains,NA,NA,NA,NA,NA,0.0852860633036,NA,NA,NA,NA,NA,NA,0.00152567416513,1.28716871126e-06,NA,NA,0.0,4.67289723805,NA,NA,NA,NA,NA,0.482460182676,NA,0.0,11.4405415138,NA,NA,NA,0.0,NA,NA,NA,NA,108.97672608,NA,NA,NA,0.0,2468.92903043,NA,NA
2,1,MS,phloem,NA,65.3958649173,NA,151.195897802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.481816383,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900.34476663,NA
2,1,MS,roots,13.9250505223,107.233113624,537.09683722,115.404071732,5.9550862465,NA,0.00655856255791,0.00093589090647,0.00207534681984,51.1696868862,1.26156368655,0.00998607896911,NA,NA,2.84775319649,3.13460900195,NA,NA,NA,5.39205121194,3.67357540324,7.24439361349,2.85774974387,NA,0.794274995286,NA,NA,2.93617326184,69.6252526117,7.89574055906,NA,63.143367764,2.99709851799,0.503283813857,270.312144646,NA,1.76276609686e-07,1.25770722456e-07,0.000961738868898,NA,NA,696.972016269,776.4347227
3,1,MS,grains,NA,NA,NA,NA,NA,0.0855387043838,NA,NA,NA,NA,NA,NA,0.0015322498337,1.2983900778e-06,NA,NA,0.0,4.72663586786,NA,NA,NA,NA,NA,0.45941733405,NA,0.0,11.5721085041,NA,NA,NA,0.0,NA,NA,NA,NA,109.446416693,NA,NA,NA,0.0,2475.7387163,NA,NA
