,area,axis,height,metamer,organ,plant,species
2,16.1365984253,MS,23.031133028,1,blade,1,Caphorn
0,3.14159265359,MS,2.5,1,internode,1,Caphorn
1,6.22035345411,MS,10.5,1,sheath,1,Caphorn
4,22.6438551953,MS,35.8134815469,2,blade,1,Caphorn
3,10.1536274564,MS,21.05,2,sheath,1,Caphorn
7,33.9539597154,MS,52.1873858835,3,blade,1,Caphorn
5,0.292168116784,MS,26.25,3,internode,1,Caphorn
6,15.8336269741,MS,33.4,3,sheath,1,Caphorn
10,34.2266395197,MS,67.5081103131,4,blade,1,Caphorn
8,3.75734481369,MS,42.7,4,internode,1,Caphorn
9,18.6767683256,MS,52.25,4,sheath,1,Caphorn
11,8.1367249728,MS,63.2,5,internode,1,Caphorn
12,47.1238898038,MS,71.4,6,internode,1,Caphorn
15,16.1365984253,MS,23.7357328055,1,blade,2,Caphorn
13,3.14159265359,MS,2.5,1,internode,2,Caphorn
14,6.22035345411,MS,10.5,1,sheath,2,Caphorn
17,22.6438551953,MS,36.0355502366,2,blade,2,Caphorn
16,10.1536274564,MS,21.05,2,sheath,2,Caphorn
20,33.9539597154,MS,51.6112498025,3,blade,2,Caphorn
18,0.292168116784,MS,26.25,3,internode,2,Caphorn
19,15.8336269741,MS,33.4,3,sheath,2,Caphorn
23,34.2266395197,MS,67.8225893833,4,blade,2,Caphorn
21,3.75734481369,MS,42.7,4,internode,2,Caphorn
22,18.6767683256,MS,52.25,4,sheath,2,Caphorn
24,8.1367249728,MS,63.2,5,internode,2,Caphorn
25,47.1238898038,MS,71.4,6,internode,2,Caphorn
28,16.1365984253,MS,24.3719043668,1,blade,3,Caphorn
26,3.14159265359,MS,2.5,1,internode,3,Caphorn
27,6.22035345411,MS,10.5,1,sheath,3,Caphorn
30,22.6438551953,MS,36.9198271408,2,blade,3,Caphorn
29,10.1536274564,MS,21.05,2,sheath,3,Caphorn
33,33.9539597154,MS,50.416101525,3,blade,3,Caphorn
31,0.292168116784,MS,26.25,3,internode,3,Caphorn
32,15.8336269741,MS,33.4,3,sheath,3,Caphorn
36,34.2266395197,MS,65.7053200784,4,blade,3,Caphorn
34,3.75734481369,MS,42.7,4,internode,3,Caphorn
35,18.6767683256,MS,52.25,4,sheath,3,Caphorn
37,8.1367249728,MS,63.2,5,internode,3,Caphorn
38,47.1238898038,MS,71.4,6,internode,3,Caphorn
41,16.1365984253,MS,25.2935650641,1,blade,4,Caphorn
39,3.14159265359,MS,2.5,1,internode,4,Caphorn
40,6.22035345411,MS,10.5,1,sheath,4,Caphorn
43,22.6438551953,MS,35.8134815469,2,blade,4,Caphorn
42,10.1536274564,MS,21.05,2,sheath,4,Caphorn
46,33.9539597154,MS,53.4252342332,3,blade,4,Caphorn
44,0.292168116784,MS,26.25,3,internode,4,Caphorn
45,15.8336269741,MS,33.4,3,sheath,4,Caphorn
49,34.2266395197,MS,67.1853874529,4,blade,4,Caphorn
47,3.75734481369,MS,42.7,4,internode,4,Caphorn
48,18.6767683256,MS,52.25,4,sheath,4,Caphorn
50,8.1367249728,MS,63.2,5,internode,4,Caphorn
51,47.1238898038,MS,71.4,6,internode,4,Caphorn
54,16.1365984253,MS,24.5459513351,1,blade,5,Caphorn
52,3.14159265359,MS,2.5,1,internode,5,Caphorn
53,6.22035345411,MS,10.5,1,sheath,5,Caphorn
56,22.6438551953,MS,36.7138851638,2,blade,5,Caphorn
55,10.1536274564,MS,21.05,2,sheath,5,Caphorn
59,33.9539597154,MS,52.1873858835,3,blade,5,Caphorn
57,0.292168116784,MS,26.25,3,internode,5,Caphorn
58,15.8336269741,MS,33.4,3,sheath,5,Caphorn
62,34.2266395197,MS,66.5322460481,4,blade,5,Caphorn
60,3.75734481369,MS,42.7,4,internode,5,Caphorn
61,18.6767683256,MS,52.25,4,sheath,5,Caphorn
63,8.1367249728,MS,63.2,5,internode,5,Caphorn
64,47.1238898038,MS,71.4,6,internode,5,Caphorn
67,16.1365984253,MS,24.0002062547,1,blade,6,Caphorn
65,3.14159265359,MS,2.5,1,internode,6,Caphorn
66,6.22035345411,MS,10.5,1,sheath,6,Caphorn
69,22.6438551953,MS,36.0333198645,2,blade,6,Caphorn
68,10.1536274564,MS,21.05,2,sheath,6,Caphorn
72,33.9539597154,MS,51.7813163198,3,blade,6,Caphorn
70,0.292168116784,MS,26.25,3,internode,6,Caphorn
71,15.8336269741,MS,33.4,3,sheath,6,Caphorn
75,34.2266395197,MS,66.881178343,4,blade,6,Caphorn
73,3.75734481369,MS,42.7,4,internode,6,Caphorn
74,18.6767683256,MS,52.25,4,sheath,6,Caphorn
76,8.1367249728,MS,63.2,5,internode,6,Caphorn
77,47.1238898038,MS,71.4,6,internode,6,Caphorn
80,16.1365984253,MS,24.0002062547,1,blade,7,Caphorn
78,3.14159265359,MS,2.5,1,internode,7,Caphorn
79,6.22035345411,MS,10.5,1,sheath,7,Caphorn
82,22.6438551953,MS,36.8355117362,2,blade,7,Caphorn
81,10.1536274564,MS,21.05,2,sheath,7,Caphorn
85,33.9539597154,MS,50.2861039321,3,blade,7,Caphorn
83,0.292168116784,MS,26.25,3,internode,7,Caphorn
