plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,208.8761679,2.258561909,22.58561909,NA,NA,NA,3.55E-02,0.000177545,5.326342282
