t,hour,air_temperature,PARi_original,soil_temperature,DOY,humidity,ambient_CO2,Wind,PARi
113,5,5.185753867,0,5.003426022,352,0.75,360,2.2,0
114,6,5.017096384,0,4.96821076,352,0.75,360,2.2,0
115,7,5.086525739,9.395357586,5.102576719,352,0.75,360,2.2,4.697678793
116,8,5.086422531,20.71926242,5.298993063,352,0.75,360,2.2,10.35963121
117,9,5.3952482,84.43064621,5.517363005,352,0.75,360,2.2,42.21532311
118,10,6.03720955,191.5636392,5.686789964,352,0.75,360,2.2,95.78181961
119,11,6.694123687,267.065957,5.838535798,352,0.75,360,2.2,133.5329785
120,12,7.052090574,328.1625088,6.127872982,352,0.75,360,2.2,164.0812544
121,13,7.397948757,313.5640554,6.402578667,352,0.75,360,2.2,156.7820277
122,14,7.488988677,248.1558283,6.570424568,352,0.75,360,2.2,124.0779141
123,15,7.331958609,152.3665879,6.671593709,352,0.75,360,2.2,76.18329393
124,16,6.931782429,44.92074134,6.468192892,352,0.75,360,2.2,22.46037067
125,17,6.669305232,12.87288079,6.222398729,352,0.75,360,2.2,6.436440393
126,18,6.302979082,4.916380306,5.935171116,352,0.75,360,2.2,2.458190153
127,19,6.074210046,0,5.604738058,352,0.75,360,2.2,0
128,20,6.02105886,0,5.376410727,352,0.75,360,2.2,0
129,21,5.973224158,0,5.273501166,352,0.75,360,2.2,0
130,22,5.90575258,0,5.203735009,352,0.75,360,2.2,0
131,23,5.781881137,0,5.142336891,352,0.75,360,2.2,0
132,24,5.710239534,0,5.112574914,352,0.75,360,2.2,0
133,1,5.442636452,0,5.05417303,353,0.75,360,2.2,0
134,2,5.418634017,0,5.025927649,353,0.75,360,2.2,0
135,3,5.306242145,0,5.016886135,353,0.75,360,2.2,0
136,4,5.319358285,0.001302876,5.017323841,353,0.75,360,2.2,0.000651438
137,5,5.182179111,0,5.013367826,353,0.75,360,2.2,0
138,6,5.024149869,0,4.987409311,353,0.75,360,2.2,0
139,7,5.074555539,8.48590358,5.098739246,353,0.75,360,2.2,4.24295179
140,8,5.047137388,16.98901901,5.251660036,353,0.75,360,2.2,8.494509507
141,9,5.355979669,81.25317729,5.411302067,353,0.75,360,2.2,40.62658864
142,10,5.995466183,187.7943384,5.546707808,353,0.75,360,2.2,93.89716922
