t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
5,Caphorn,1,blade,LeafElement1,0.0,0.00564705202661,1
5,Caphorn,1,sheath,StemElement,0.0,0.00233834778202,1
5,Caphorn,2,blade,LeafElement1,0.0,0.0103513240554,1
5,Caphorn,2,sheath,StemElement,0.0,0.0010574272002,1
5,Caphorn,3,blade,LeafElement1,0.0,0.0357538379789,1
5,Caphorn,3,sheath,StemElement,0.0,0.00334651540142,1
5,Caphorn,4,blade,LeafElement1,0.0992613858013,0.159513131783,1
5,Caphorn,4,internode,StemElement,0.0,0.00730758965327,1
5,Caphorn,4,sheath,StemElement,0.0,0.0228702487216,1
5,Caphorn,5,internode,StemElement,0.0,0.0419655558359,1
5,Caphorn,6,internode,StemElement,0.302273157435,0.148079574974,1
5,Soissons,1,blade,LeafElement1,0.0,0.0056470716946,2
5,Soissons,1,sheath,StemElement,0.0,0.00230377230893,2
5,Soissons,2,blade,LeafElement1,0.0,0.013359511581,2
5,Soissons,2,sheath,StemElement,0.0,0.000915442306594,2
5,Soissons,3,blade,LeafElement1,0.0,0.0482446301527,2
5,Soissons,3,sheath,StemElement,0.0,0.00338148835396,2
5,Soissons,4,blade,LeafElement1,0.0373443193188,0.172600403573,2
5,Soissons,4,internode,StemElement,0.0,0.00781848581809,2
5,Soissons,4,sheath,StemElement,0.0,0.0212451039087,2
5,Soissons,5,internode,StemElement,0.0,0.0482788840211,2
5,Soissons,6,internode,StemElement,0.314982206816,0.152942753909,2
6,Caphorn,1,blade,LeafElement1,0.0,0.00564705202661,1
6,Caphorn,1,sheath,StemElement,0.0,0.00233834778202,1
6,Caphorn,2,blade,LeafElement1,0.0,0.0103513240554,1
6,Caphorn,2,sheath,StemElement,0.0,0.0010574272002,1
6,Caphorn,3,blade,LeafElement1,0.000404526582174,0.0357538379789,1
6,Caphorn,3,sheath,StemElement,0.0,0.00334651540142,1
6,Caphorn,4,blade,LeafElement1,0.14127703094,0.159513131783,1
6,Caphorn,4,internode,StemElement,0.0,0.00730758965327,1
6,Caphorn,4,sheath,StemElement,0.000635508128046,0.0228702487216,1
6,Caphorn,5,internode,StemElement,0.00522143208406,0.0419655558359,1
6,Caphorn,6,internode,StemElement,0.274394873459,0.148079574974,1
6,Soissons,1,blade,LeafElement1,0.0,0.0056470716946,2
6,Soissons,1,sheath,StemElement,0.0,0.00230377230893,2
6,Soissons,2,blade,LeafElement1,8.16986609157e-06,0.013359511581,2
6,Soissons,2,sheath,StemElement,0.0,0.000915442306594,2
6,Soissons,3,blade,LeafElement1,0.000109328027401,0.0482446301527,2
6,Soissons,3,sheath,StemElement,0.0,0.00338148835396,2
6,Soissons,4,blade,LeafElement1,0.0538459223051,0.172600403573,2
6,Soissons,4,internode,StemElement,0.0,0.00781848581809,2
6,Soissons,4,sheath,StemElement,7.60460552485e-05,0.0212451039087,2
6,Soissons,5,internode,StemElement,0.00346230737591,0.0482788840211,2
6,Soissons,6,internode,StemElement,0.287199516027,0.152942753909,2
7,Caphorn,1,blade,LeafElement1,0.000158245757554,0.00564705202661,1
7,Caphorn,1,sheath,StemElement,0.0,0.00233834778202,1
7,Caphorn,2,blade,LeafElement1,0.000245095144981,0.0103513240554,1
7,Caphorn,2,sheath,StemElement,6.61391146886e-06,0.0010574272002,1
7,Caphorn,3,blade,LeafElement1,0.00389631646178,0.0357538379789,1
7,Caphorn,3,sheath,StemElement,0.000258343987963,0.00334651540142,1
7,Caphorn,4,blade,LeafElement1,0.163728456761,0.159513131783,1
7,Caphorn,4,internode,StemElement,0.00047991042298,0.00730758965327,1
7,Caphorn,4,sheath,StemElement,0.0039274885535,0.0228702487216,1
7,Caphorn,5,internode,StemElement,0.0203493780031,0.0419655558359,1
7,Caphorn,6,internode,StemElement,0.246543568348,0.148079574974,1
7,Soissons,1,blade,LeafElement1,5.74393827165e-05,0.0056470716946,2
7,Soissons,1,sheath,StemElement,0.0,0.00230377230893,2
7,Soissons,2,blade,LeafElement1,0.000250977996023,0.013359511581,2
7,Soissons,2,sheath,StemElement,0.0,0.000915442306594,2
7,Soissons,3,blade,LeafElement1,0.00252833285037,0.0482446301527,2
7,Soissons,3,sheath,StemElement,0.000178837826079,0.00338148835396,2
7,Soissons,4,blade,LeafElement1,0.0833791649679,0.172600403573,2
7,Soissons,4,internode,StemElement,0.000312238425335,0.00781848581809,2
7,Soissons,4,sheath,StemElement,0.00378649707604,0.0212451039087,2
7,Soissons,5,internode,StemElement,0.0248857116424,0.0482788840211,2
7,Soissons,6,internode,StemElement,0.25619438098,0.152942753909,2
8,Caphorn,1,blade,LeafElement1,0.000547354252398,0.00564705202661,1
8,Caphorn,1,sheath,StemElement,0.000102898530146,0.00233834778202,1
8,Caphorn,2,blade,LeafElement1,0.00227294723027,0.0103513240554,1
8,Caphorn,2,sheath,StemElement,0.000287727674097,0.0010574272002,1
8,Caphorn,3,blade,LeafElement1,0.0142494892695,0.0357538379789,1
8,Caphorn,3,sheath,StemElement,0.00104628802575,0.00334651540142,1
8,Caphorn,4,blade,LeafElement1,0.179994081485,0.159513131783,1
8,Caphorn,4,internode,StemElement,0.00277404274242,0.00730758965327,1
8,Caphorn,4,sheath,StemElement,0.0103498428782,0.0228702487216,1
8,Caphorn,5,internode,StemElement,0.0378729356331,0.0419655558359,1
8,Caphorn,6,internode,StemElement,0.211782355573,0.148079574974,1
8,Soissons,1,blade,LeafElement1,0.000486352544812,0.0056470716946,2
8,Soissons,1,sheath,StemElement,0.00015935740285,0.00230377230893,2
8,Soissons,2,blade,LeafElement1,0.00161916141519,0.013359511581,2
8,Soissons,2,sheath,StemElement,0.000138909084606,0.000915442306594,2
8,Soissons,3,blade,LeafElement1,0.00959768817474,0.0482446301527,2
8,Soissons,3,sheath,StemElement,0.00128838447216,0.00338148835396,2
8,Soissons,4,blade,LeafElement1,0.110222233822,0.172600403573,2
8,Soissons,4,internode,StemElement,0.00230734195911,0.00781848581809,2
8,Soissons,4,sheath,StemElement,0.00927068831753,0.0212451039087,2
8,Soissons,5,internode,StemElement,0.0411041348874,0.0482788840211,2
