t,plant,axis,organ,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,sum_respi
0,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.2054485010651523e-06,NA,NA,0.0,4.352822445891332,NA,NA,NA,0.6557442386997506,NA,0.0,10.656910126147741,NA,NA,NA,NA,3599.9999999999986,NA,NA,NA,NA,107.89258925838375,NA,NA,NA,0.0,2455.727316598837,NA,NA
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.41270874191196,NA,NA,NA,NA,NA,NA,NA,NA,NA,2639.470601890053,NA
0,1,MS,roots,11.90410295338946,0.9060858414168141,0.12717756209101522,0.2616683006205901,54.516673349211906,1.0254278231448302,0.009993150724901353,NA,2.858079597030505,3.3792480056677503,NA,NA,3.68669032636972,7.340289960541135,2.8660415654962157,NA,0.8164587217634346,NA,NA,774.8406725315083,3.6624344374552553,59.520514766947294,8.511959712009446,NA,61.04419218141159,2.644340519528992,0.5036474562450677,257.04357754805784,NA,1.764e-07,1.2743558959272806e-07,0.1374362313107499,NA,NA,708.6567499264944,9.924017929067976
1,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.2643680861665015e-06,NA,NA,0.0,4.5776541586714545,NA,NA,NA,0.5299068939973804,NA,0.0,11.20736018157494,NA,NA,NA,NA,7199.999999999996,NA,NA,NA,NA,108.47354331114417,NA,NA,NA,0.0,2462.2225442528884,NA,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.64442489329156,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461.026894084667,NA
1,1,MS,roots,13.323371427923561,0.9307976718323097,0.1305702154190582,0.2765609537204027,52.9054233235913,1.1606614828357504,0.009993150724901353,NA,2.867391036996412,3.317517846771218,NA,NA,3.7293875964806364,7.340289960541135,2.875378945044581,NA,0.8504922010337889,NA,NA,776.5055409756274,3.1497811512078466,66.6168571396178,8.356468127887199,NA,62.7090606255307,2.7948411569456155,0.5036474562450677,263.9006027534664,NA,1.764e-07,1.2743558959272806e-07,0.1374362313107499,NA,NA,719.8447772806434,9.914296480248266
2,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.2871831760738677e-06,NA,NA,0.0,4.672949690154697,NA,NA,NA,0.48231105886645553,NA,0.0,11.440669931068394,NA,NA,NA,NA,10800.0,NA,NA,NA,NA,108.97652713870733,NA,NA,NA,0.0,2468.928998462023,NA,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.42601668326026,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900.270894419581,NA
2,1,MS,roots,13.925442407720986,0.34550178052743075,0.0491070702532452,0.11149242699730323,51.34102760200629,1.2670059265116194,0.00998607898157029,NA,2.847754311522831,3.145090206825946,NA,NA,3.6653870501626535,7.244398598275451,2.857750859284164,NA,0.7943177801982533,NA,NA,776.7049258103775,2.935315376336767,69.62721203860492,7.922141578906664,NA,63.41356998392831,3.0695063906523843,0.5032838144801145,270.3940886894456,NA,1.7627660968577367e-07,1.257708089978377e-07,0.05044804386900088,NA,NA,696.9675501917075,9.65823156851143
3,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.2984053323264499e-06,NA,NA,0.0,4.726691301949809,NA,NA,NA,0.45921403691381285,NA,0.0,11.572244222015048,NA,NA,NA,NA,14400.000000000007,NA,NA,NA,NA,109.4460343662591,NA,NA,NA,0.0,2475.7386648538995,NA,NA
