t,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,5.2,516.2222222,5.839513639,0.75,360,2.2
1,5.6,549.8888889,6.263926728,0.75,360,2.2
2,4.8,392.7777778,5.41510055,0.75,360,2.2
3,3.6,157.1111111,6.223,0.75,360,2.2
4,3.5,22.44444444,5.9565,0.75,360,2.2
5,3.6,0,5.733,0.75,360,2.2
6,3.7,0,5.59,0.75,360,2.2
7,3.9,0,5.511,0.75,360,2.2
8,3.9,0,5.4795,0.75,360,2.2
9,4.4,0,5.455,0.75,360,2.2
10,4.7,0,5.4495,0.75,360,2.2
11,4.4,0,5.4655,0.75,360,2.2
12,4.3,0,5.445,0.75,360,2.2
13,4.5,0,5.385,0.75,360,2.2
14,4.5,0,5.346,0.75,360,2.2
15,5.1,0,5.347,0.75,360,2.2
16,5.5,0,5.401,0.75,360,2.2
17,5.8,0,5.4885,0.75,360,2.2
18,6.2,0,5.5995,0.75,360,2.2
19,6.6,0,5.7115,0.75,360,2.2
20,7.1,0,5.8395,0.75,360,2.2
21,7.2,11.22222222,6.0005,0.75,360,2.2
22,7.7,33.66666667,6.203,0.75,360,2.2
23,7.6,33.66666667,6.433,0.75,360,2.2
24,7.7,22.44444444,6.6255,0.75,360,2.2
25,7.9,44.88888889,6.7725,0.75,360,2.2
26,8.3,56.11111111,6.9305,0.75,360,2.2
27,8.4,33.66666667,7.14,0.75,360,2.2
28,8.8,11.22222222,7.305,0.75,360,2.2
29,9.1,0,7.425,0.75,360,2.2
30,9.2,0,7.5,0.75,360,2.2
31,9.1,0,7.57,0.75,360,2.2
32,9.4,0,7.535,0.75,360,2.2
33,8.9,0,7.59,0.75,360,2.2
34,8.8,0,7.52,0.75,360,2.2
35,8.8,0,7.365,0.75,360,2.2
36,8.8,0,7.43,0.75,360,2.2
37,8.8,0,7.53,0.75,360,2.2
38,8.5,0,7.465,0.75,360,2.2
39,7.8,0,7.16,0.75,360,2.2
40,8.5,0,7.015,0.75,360,2.2
41,7.9,0,7.035,0.75,360,2.2
42,7.2,0,6.9955,0.75,360,2.2
43,6.6,0,6.9275,0.75,360,2.2
44,6.1,0,6.727,0.75,360,2.2
45,6.6,157.1111111,6.381,0.75,360,2.2
46,7.2,359.1111111,6.25,0.75,360,2.2
47,7.5,370.3333333,6.452,0.75,360,2.2
48,8.6,594.7777778,6.756,0.75,360,2.2
49,8.8,493.7777778,7.075,0.75,360,2.2
50,8.5,314.2222222,7.195,0.75,360,2.2
51,8,213.2222222,7.135,0.75,360,2.2
52,7.5,11.22222222,7.0375,0.75,360,2.2
53,6.5,0,6.736,0.75,360,2.2
54,5.8,0,6.3705,0.75,360,2.2
55,5.2,0,6.1425,0.75,360,2.2
56,5.6,0,5.922,0.75,360,2.2
57,5.7,0,5.792,0.75,360,2.2
58,5.7,0,5.7105,0.75,360,2.2
59,5.1,0,5.6855,0.75,360,2.2
60,4.6,0,5.6745,0.75,360,2.2
61,4.3,0,5.6205,0.75,360,2.2
62,4.1,0,5.535,0.75,360,2.2
63,4,0,5.4325,0.75,360,2.2
64,4,0,5.351,0.75,360,2.2
65,3.8,0,5.298,0.75,360,2.2
66,3.9,0,5.246,0.75,360,2.2
67,3.6,0,5.174,0.75,360,2.2
68,3.6,0,5.0865,0.75,360,2.2
69,3.6,22.44444444,4.9975,0.75,360,2.2
70,3.6,44.88888889,4.9475,0.75,360,2.2
71,4.1,101,4.967,0.75,360,2.2
72,4.4,123.4444444,5.114,0.75,360,2.2
73,4.5,145.8888889,5.3275,0.75,360,2.2
74,4.6,123.4444444,5.4345,0.75,360,2.2
75,4.4,112.2222222,5.442,0.75,360,2.2
76,4.1,56.11111111,5.256,0.75,360,2.2
77,3.3,0,4.898,0.75,360,2.2
78,2.7,0,4.3945,0.75,360,2.2
79,1.8,0,3.926,0.75,360,2.2
80,1.6,0,3.537,0.75,360,2.2
81,1.5,0,3.1595,0.75,360,2.2
82,0.9,0,2.8465,0.75,360,2.2
83,1,0,2.605,0.75,360,2.2
84,1.1,0,2.494,0.75,360,2.2
85,0.5,0,2.457,0.75,360,2.2
86,0.7,0,2.403,0.75,360,2.2
87,0.6,0,2.354,0.75,360,2.2
88,-0.3,0,2.3025,0.75,360,2.2
89,-0.8,0,2.2405,0.75,360,2.2
90,0,0,2.179,0.75,360,2.2
91,-0.7,0,2.143,0.75,360,2.2
92,-1,11.22222222,2.0695,0.75,360,2.2
93,-0.1,145.8888889,1.988,0.75,360,2.2
94,1.3,392.7777778,1.932,0.75,360,2.2
95,2.1,505,1.921,0.75,360,2.2
96,3.2,594.7777778,2.044,0.75,360,2.2
97,3.2,460.1111111,2.516,0.75,360,2.2
98,3.7,291.7777778,2.926,0.75,360,2.2
99,3.2,224.4444444,3.1885,0.75,360,2.2
100,2.4,33.66666667,3.181,0.75,360,2.2
101,1.7,0,2.891,0.75,360,2.2
102,1.3,0,2.6005,0.75,360,2.2
103,1.1,0,2.2495,0.75,360,2.2
104,1.3,0,2.0975,0.75,360,2.2
105,1.5,0,2.023,0.75,360,2.2
106,1,0,1.9455,0.75,360,2.2
107,0.8,0,1.849,0.75,360,2.2
108,0.8,0,1.787,0.75,360,2.2
109,0.8,0,1.7415,0.75,360,2.2
110,1.1,0,1.725,0.75,360,2.2
111,0.7,0,1.7195,0.75,360,2.2
112,0.6,0,1.682,0.75,360,2.2
113,0.9,0,1.6535,0.75,360,2.2
114,1.2,0,1.656,0.75,360,2.2
115,1.7,0,1.6575,0.75,360,2.2
116,1.9,0,1.6795,0.75,360,2.2
117,2,56.11111111,1.6995,0.75,360,2.2
118,2.7,168.3333333,1.7645,0.75,360,2.2
119,3.8,314.2222222,1.9495,0.75,360,2.2
120,4.8,303,2.3975,0.75,360,2.2
121,4.9,224.4444444,2.9895,0.75,360,2.2
122,5.1,190.7777778,3.397,0.75,360,2.2
123,5,101,3.6905,0.75,360,2.2
124,4,33.66666667,3.782,0.75,360,2.2
125,3.5,0,3.664,0.75,360,2.2
126,2.4,0,3.4755,0.75,360,2.2
127,2,0,3.177,0.75,360,2.2
128,1.9,0,2.729,0.75,360,2.2
129,1.6,0,2.489,0.75,360,2.2
130,1.5,0,2.4375,0.75,360,2.2
131,1.2,0,2.4115,0.75,360,2.2
132,1.2,0,2.359,0.75,360,2.2
133,0.4,0,2.303,0.75,360,2.2
134,-0.2,0,2.0455,0.75,360,2.2
135,-0.6,0,1.827,0.75,360,2.2
136,-0.2,0,1.7325,0.75,360,2.2
137,-0.6,0,1.66,0.75,360,2.2
138,-1.3,0,1.597,0.75,360,2.2
139,-1.6,0,1.531,0.75,360,2.2
140,-2.1,0,1.4655,0.75,360,2.2
141,-1.2,157.1111111,1.393,0.75,360,2.2
142,0.2,392.7777778,1.347,0.75,360,2.2
143,2.1,538.6666667,1.33,0.75,360,2.2
144,2.8,516.2222222,1.3395,0.75,360,2.2
145,3.4,336.6666667,1.4975,0.75,360,2.2
146,3.2,336.6666667,1.7565,0.75,360,2.2
147,2.9,179.5555556,2.085,0.75,360,2.2
148,1.8,44.88888889,2.1305,0.75,360,2.2
149,1.3,0,1.902,0.75,360,2.2
