plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,156.2763239,12.61547386,10.78245629,NA,NA,NA,3.54E-02,1.77E-04,0.177113167
