plant,axis,metamer,organ,element,length,is_growing
1,MS,1,blade,LeafElement1,0.082,False
1,MS,1,sheath,StemElement,0.0285,False
1,MS,2,blade,LeafElement1,0.092,False
1,MS,2,sheath,HiddenElement,0.0285,False
1,MS,2,sheath,StemElement,0.0005,False
1,MS,3,blade,LeafElement1,0.0632,True
