t,PARi,air_temperature,humidity,Wind,ambient_CO2
0,0,13.43,0.6191,3.33,400
1,0,12.78,0.6046,3.14,400
2,0,11.77,0.5958,2.88,400
3,0,10.56,0.6319,2.19,400
4,59.805,10.75,0.6438,2.52,400
5,306.1,12.22,0.6092,3.84,400
6,617.15,14.1,0.5596,4.2,400
7,932.5,15.56,0.516,4.63,400
8,1215.5,16.8,0.5181,4.3,400
9,1444,17.81,0.4962,4.61,400
10,1600.5,19.02,0.4634,4.87,400
11,1674.5,19.86,0.4791,5.1,400
12,1660,20.73,0.4507,4.95,400
13,1559.5,21.34,0.449,4.74,400
14,1378.5,21.7,0.4543,4.56,400
15,1125,21.88,0.4538,4.29,400
16,821.5,21.69,0.462,4.51,400
17,495.05,21.31,0.4638,3.95,400
18,192.7,19.75,0.5182,2.64,400
19,0,17.73,0.573,1.92,400
20,0,17.01,0.5929,2.47,400
21,0,16.42,0.6155,2.44,400
22,0,14.77,0.6804,2.22,400
23,0,14.59,0.689,3.15,400
24,0,14.04,0.7095,2.9,400
25,0,13.14,0.7485,1.84,400
26,0,12.02,0.7945,1.77,400
27,0,10.83,0.852,1.52,400
28,57.89,11.3,0.8435,1.98,400
29,296.75,13.43,0.76,2.68,400
30,611.3,15.58,0.6875,3.11,400
31,930.5,17.35,0.6451,3.36,400
32,1219.5,19.06,0.5934,3.65,400
33,1450.5,20.58,0.5279,4.04,400
34,1611,21.38,0.4644,4.56,400
35,1689,21.9,0.4386,3.91,400
36,1675.5,22.37,0.4275,3.51,400
37,1563.5,22.66,0.4272,3.84,400
38,1392.5,22.71,0.4292,3.92,400
39,1117.5,22.27,0.4345,3.95,400
40,814,21.94,0.4743,3.56,400
41,480.4,21.09,0.5167,3.29,400
42,181.15,19.46,0.5877,1.03,400
43,0,17.78,0.6389,0.84,400
44,0,16.1,0.7124,0.6,400
45,0,15.12,0.752,0.56,400
46,0,14.43,0.8,0.97,400
47,0,13.57,0.847,1.18,400
48,0,12.85,0.8805,1.3,400
49,0,12.44,0.8915,1.55,400
50,0,11.79,0.9165,1.5,400
51,0,10.85,0.945,1.06,400
52,57.535,11.76,0.916,1.65,400
53,303.9,13.43,0.854,2.71,400
54,616.2,15.51,0.7515,2.96,400
55,941.5,17.64,0.6362,3.35,400
56,1236,19.19,0.5402,4.1,400
57,1466,20.43,0.4955,3.88,400
58,1626.5,20.99,0.4696,3.89,400
59,1704.5,21.56,0.4329,3.64,400
60,1694.5,22.08,0.4068,3.25,400
61,1588,22.39,0.4509,3.54,400
62,1392.5,22.92,0.461,3.49,400
63,1138.5,23.06,0.4693,3.41,400
64,830,22.89,0.486,3.52,400
65,441.95,21.69,0.5509,2.15,400
66,183.2,20.48,0.5875,1.03,400
67,0,18.27,0.6913,1.14,400
