comp,delta_t_int_sum,metamer,t_sim,unloading_aa_int,unloading_sucrose_int,nb_replications
hz ,1.00000000701,3,1,-2.58771207033,-31.5588583479,1.0
hz ,1.00000000701,10,1,-0.000193139341709,-0.000424452574085,3.0
hz ,1.00000000701,9,1,-0.000269448774639,-0.000574244477455,3.0
hz ,1.00000000701,8,1,-0.000694407586494,-0.00147077182022,3.0
roots ,1.00000000701,0,1,0.0,-574.39750354,1.0
hz ,1.00000000701,6,1,-0.00466932734141,-0.00974335884792,2.5
hz ,1.00000000701,5,1,-0.0173913800736,-0.0341835615279,2.0
hz ,1.00000000701,4,1,-0.383918994794,-1.71657857013,1.5
hz ,1.00000000701,7,1,-0.0015845881715,-0.00332402734017,3.0
roots ,1.0000647884,0,2,0.0,-335.502070888,1.0
hz ,1.0000647884,5,2,0.00130389423748,0.0110455992128,2.0
hz ,1.0000647884,6,2,0.000348467365731,0.00258843579059,2.5
hz ,1.0000647884,7,2,0.000119492986491,0.000854483547893,3.0
hz ,1.0000647884,8,2,5.29884327993e-05,0.000369381916242,3.0
hz ,1.0000647884,9,2,2.02551227981e-05,0.000138867953128,3.0
hz ,1.0000647884,10,2,1.42054023731e-05,9.51174738018e-05,3.0
hz ,1.0000647884,4,2,0.0329446432144,0.383998780837,1.5
hz ,1.0000647884,3,2,0.0232754148581,-3.25142607249,1.0
hz ,1.00006268289,9,3,1.90781022544e-05,0.000113659240061,3.0
hz ,1.00006268289,3,3,0.000777136826987,-4.20268418828,1.0
hz ,1.00006268289,4,3,0.0303035659113,0.326934108112,1.5
hz ,1.00006268289,5,3,0.00124024614438,0.0100683273455,2.0
hz ,1.00006268289,6,3,0.000329736158705,0.00226047084269,2.5
hz ,1.00006268289,7,3,0.000112912777663,0.000731482120265,3.0
hz ,1.00006268289,8,3,4.99884922547e-05,0.000309101439594,3.0
hz ,1.00006268289,10,3,1.3366736426e-05,7.71790526306e-05,3.0
roots ,1.00006268289,0,3,0.0,-198.110898156,1.0
hz ,1.00002729214,10,4,1.31295009077e-05,5.49478087138e-05,3.0
hz ,1.00002729214,9,4,1.87944022415e-05,8.64505331168e-05,3.0
hz ,1.00002729214,8,4,4.93433035316e-05,0.000244353316003,3.0
hz ,1.00002729214,7,4,0.000111377732602,0.000571663827129,3.0
hz ,1.00002729214,6,4,0.000324992968258,0.00175623553376,2.5
hz ,1.00002729214,5,4,0.00122304772826,0.00791155488636,2.0
roots ,1.00002729214,0,4,0.0,-134.221003877,1.0
hz ,1.00002729214,4,4,0.0293434278791,0.298317931591,1.5
hz ,1.00002729214,3,4,0.0774599900461,-1.23629836318,1.0
hz ,1.00010074707,6,5,0.000329750495927,0.00162337678423,2.5
hz ,1.00010074707,4,5,0.0287357182006,0.216208003947,1.5
hz ,1.00010074707,5,5,0.00124936655599,0.00798778689841,2.0
hz ,1.00010074707,3,5,0.0649584741382,-1.73937628561,1.0
hz ,1.00010074707,7,5,0.000112876039825,0.000516225942441,3.0
roots ,1.00010074707,0,5,0.0,-86.8741227859,1.0
hz ,1.00010074707,8,5,4.99711275492e-05,0.000218132490206,3.0
hz ,1.00010074707,9,5,1.90419125524e-05,7.75925722046e-05,3.0
hz ,1.00010074707,10,5,1.33052158361e-05,4.99489432923e-05,3.0
hz ,1.00010565501,4,6,0.0287876605272,0.20403774994,1.5
