t,species,metamer,organ,Eabs_diffuse,Eabs_direct
6,Soissons,4,blade,0.235000624,0.106870593
6,Soissons,4,internode,0.017878496,0.000210343
6,Soissons,4,sheath,0.037837728,0.001645
6,Soissons,5,internode,0.071528529,0.026766186
6,Soissons,6,internode,0.192944768,0.404847872
7,Caphorn,1,blade,0.016900681,0.000776719
7,Caphorn,1,sheath,0.007521279,7.97E-05
7,Caphorn,2,blade,0.026281063,0.002805759
7,Caphorn,2,sheath,0.00466392,0.000416731
7,Caphorn,3,blade,0.065940859,0.021133055
7,Caphorn,3,sheath,0.010798044,0.001109502
7,Caphorn,4,blade,0.217939776,0.242121065
7,Caphorn,4,internode,0.017110265,0.003766754
7,Caphorn,4,sheath,0.040642991,0.012827615
7,Caphorn,5,internode,0.066593708,0.051954631
7,Caphorn,6,internode,0.189017344,0.323380935
7,Soissons,1,blade,0.016566714,0.000988671
7,Soissons,1,sheath,0.007723921,0.000202505
7,Soissons,2,blade,0.034612533,0.002944698
7,Soissons,2,sheath,0.004868506,0.000248057
7,Soissons,3,blade,0.084535412,0.013501225
7,Soissons,3,sheath,0.010599798,0.001341253
7,Soissons,4,blade,0.235000624,0.149946452
7,Soissons,4,internode,0.017878496,0.003858981
7,Soissons,4,sheath,0.037837728,0.014332184
7,Soissons,5,internode,0.071528529,0.06308337
7,Soissons,6,internode,0.192944768,0.343888322
8,Caphorn,1,blade,0.016900681,0.003456095
8,Caphorn,1,sheath,0.007521279,0.001577076
8,Caphorn,2,blade,0.026281063,0.010092213
8,Caphorn,2,sheath,0.00466392,0.002418592
8,Caphorn,3,blade,0.065940859,0.041843944
8,Caphorn,3,sheath,0.010798044,0.005046574
8,Caphorn,4,blade,0.217939776,0.251079471
8,Caphorn,4,internode,0.017110265,0.012005199
8,Caphorn,4,sheath,0.040642991,0.029036116
8,Caphorn,5,internode,0.066593708,0.068416074
8,Caphorn,6,internode,0.189017344,0.270844734
8,Soissons,1,blade,0.016566714,0.004261024
8,Soissons,1,sheath,0.007723921,0.001629928
8,Soissons,2,blade,0.034612533,0.010614165
8,Soissons,2,sheath,0.004868506,0.002286399
8,Soissons,3,blade,0.084535412,0.036375496
8,Soissons,3,sheath,0.010599798,0.005384957
8,Soissons,4,blade,0.235000624,0.182680378
8,Soissons,4,internode,0.017878496,0.012611437
8,Soissons,4,sheath,0.037837728,0.030289253
8,Soissons,5,internode,0.071528529,0.082964744
8,Soissons,6,internode,0.192944768,0.28364052
9,Caphorn,1,blade,0.016900681,0.009556655
9,Caphorn,1,sheath,0.007521279,0.005593759
9,Caphorn,2,blade,0.026281063,0.021204279
9,Caphorn,2,sheath,0.00466392,0.003938822
9,Caphorn,3,blade,0.065940859,0.055234553
9,Caphorn,3,sheath,0.010798044,0.011045329
9,Caphorn,4,blade,0.217939776,0.259531953
9,Caphorn,4,internode,0.017110265,0.01300084
9,Caphorn,4,sheath,0.040642991,0.036136904
9,Caphorn,5,internode,0.066593708,0.114781964
9,Caphorn,6,internode,0.189017344,0.202198665
9,Soissons,1,blade,0.016566714,0.012279818
9,Soissons,1,sheath,0.007723921,0.003416109
9,Soissons,2,blade,0.034612533,0.021464874
9,Soissons,2,sheath,0.004868506,0.005159401
9,Soissons,3,blade,0.084535412,0.061393721
9,Soissons,3,sheath,0.010599798,0.011422863
9,Soissons,4,blade,0.235000624,0.225597108
9,Soissons,4,internode,0.017878496,0.015402838
9,Soissons,4,sheath,0.037837728,0.04262628
9,Soissons,5,internode,0.071528529,0.130089787
9,Soissons,6,internode,0.192944768,0.214603401
10,Caphorn,1,blade,0.016900681,0.017793364
10,Caphorn,1,sheath,0.007521279,0.010416104
10,Caphorn,2,blade,0.026281063,0.038982956
10,Caphorn,2,sheath,0.00466392,0.006711092
10,Caphorn,3,blade,0.065940859,0.075307425
10,Caphorn,3,sheath,0.010798044,0.022586737
10,Caphorn,4,blade,0.217939776,0.216664809
10,Caphorn,4,internode,0.017110265,0.010071021
10,Caphorn,4,sheath,0.040642991,0.063247077
10,Caphorn,5,internode,0.066593708,0.092049571
10,Caphorn,6,internode,0.189017344,0.147833182
10,Soissons,1,blade,0.016566714,0.020242645
10,Soissons,1,sheath,0.007723921,0.010144418
10,Soissons,2,blade,0.034612533,0.045299238
10,Soissons,2,sheath,0.004868506,0.006568834
10,Soissons,3,blade,0.084535412,0.087802893
10,Soissons,3,sheath,0.010599798,0.023600098
10,Soissons,4,blade,0.235000624,0.256616493
10,Soissons,4,internode,0.017878496,0.009815922
10,Soissons,4,sheath,0.037837728,0.062367678
10,Soissons,5,internode,0.071528529,0.105981956
10,Soissons,6,internode,0.192944768,0.159437461
11,Caphorn,1,blade,0.016900681,0.023536047
11,Caphorn,1,sheath,0.007521279,0.005102455
11,Caphorn,2,blade,0.026281063,0.057986577
11,Caphorn,2,sheath,0.00466392,0.006311584
11,Caphorn,3,blade,0.065940859,0.098734701
11,Caphorn,3,sheath,0.010798044,0.030954
11,Caphorn,4,blade,0.217939776,0.174096689
11,Caphorn,4,internode,0.017110265,0.036076375
11,Caphorn,4,sheath,0.040642991,0.058256952
11,Caphorn,5,internode,0.066593708,0.047422928
11,Caphorn,6,internode,0.189017344,0.113573925
11,Soissons,1,blade,0.016566714,0.022112181
11,Soissons,1,sheath,0.007723921,0.005074016
11,Soissons,2,blade,0.034612533,0.06114626
11,Soissons,2,sheath,0.004868506,0.007867374
11,Soissons,3,blade,0.084535412,0.144282508
11,Soissons,3,sheath,0.010599798,0.031983042
11,Soissons,4,blade,0.235000624,0.261337823
11,Soissons,4,internode,0.017878496,0.041454178
11,Soissons,4,sheath,0.037837728,0.061558141
11,Soissons,5,internode,0.071528529,0.054690311
11,Soissons,6,internode,0.192944768,0.122077999
12,Caphorn,1,blade,0.016900681,0.025635223
12,Caphorn,1,sheath,0.007521279,0.000607529
12,Caphorn,2,blade,0.026281063,0.032817359
12,Caphorn,2,sheath,0.00466392,0.000522543
12,Caphorn,3,blade,0.065940859,0.062541098
12,Caphorn,3,sheath,0.010798044,0.00287695
12,Caphorn,4,blade,0.217939776,0.157892685
12,Caphorn,4,internode,0.017110265,0.004118371
12,Caphorn,4,sheath,0.040642991,0.009539445
12,Caphorn,5,internode,0.066593708,0.020850329
12,Caphorn,6,internode,0.189017344,0.101884674
12,Soissons,1,blade,0.016566714,0.023553707
12,Soissons,1,sheath,0.007723921,0.000909649
12,Soissons,2,blade,0.034612533,0.076653595
12,Soissons,2,sheath,0.004868506,0.001250094
12,Soissons,3,blade,0.084535412,0.145105166
12,Soissons,3,sheath,0.010599798,0.002954796
12,Soissons,4,blade,0.235000624,0.269197616
12,Soissons,4,internode,0.017878496,0.003547309
12,Soissons,4,sheath,0.037837728,0.008557735
12,Soissons,5,internode,0.071528529,0.025597293
12,Soissons,6,internode,0.192944768,0.105115932
13,Caphorn,1,blade,0.016900681,0.023171752
13,Caphorn,1,sheath,0.007521279,0.004404839
13,Caphorn,2,blade,0.026281063,0.061829496
13,Caphorn,2,sheath,0.00466392,0.006551167
13,Caphorn,3,blade,0.065940859,0.100897094
13,Caphorn,3,sheath,0.010798044,0.030808856
13,Caphorn,4,blade,0.217939776,0.172780597
13,Caphorn,4,internode,0.017110265,0.036799488
13,Caphorn,4,sheath,0.040642991,0.060228812
13,Caphorn,5,internode,0.066593708,0.045561016
13,Caphorn,6,internode,0.189017344,0.117712653
13,Soissons,1,blade,0.016566714,0.023406752
13,Soissons,1,sheath,0.007723921,0.004725258
13,Soissons,2,blade,0.034612533,0.058870583
13,Soissons,2,sheath,0.004868506,0.008181367
13,Soissons,3,blade,0.084535412,0.137423981
13,Soissons,3,sheath,0.010599798,0.028882979
13,Soissons,4,blade,0.235000624,0.276374505
13,Soissons,4,internode,0.017878496,0.040520436
13,Soissons,4,sheath,0.037837728,0.052785294
13,Soissons,5,internode,0.071528529,0.04505809
13,Soissons,6,internode,0.192944768,0.117733677
14,Caphorn,1,blade,0.016900681,0.020587853
14,Caphorn,1,sheath,0.007521279,0.008573714
14,Caphorn,2,blade,0.026281063,0.042780077
14,Caphorn,2,sheath,0.00466392,0.007868277
14,Caphorn,3,blade,0.065940859,0.078521069
14,Caphorn,3,sheath,0.010798044,0.020869384
14,Caphorn,4,blade,0.217939776,0.216606232
14,Caphorn,4,internode,0.017110265,0.011115549
14,Caphorn,4,sheath,0.040642991,0.066866122
14,Caphorn,5,internode,0.066593708,0.090156978
14,Caphorn,6,internode,0.189017344,0.153660881
14,Soissons,1,blade,0.016566714,0.017442422
14,Soissons,1,sheath,0.007723921,0.007761408
14,Soissons,2,blade,0.034612533,0.044579291
14,Soissons,2,sheath,0.004868506,0.007414262
14,Soissons,3,blade,0.084535412,0.082810746
14,Soissons,3,sheath,0.010599798,0.021040755
14,Soissons,4,blade,0.235000624,0.267463766
14,Soissons,4,internode,0.017878496,0.009324995
14,Soissons,4,sheath,0.037837728,0.06071353
14,Soissons,5,internode,0.071528529,0.088903326
14,Soissons,6,internode,0.192944768,0.153321213
15,Caphorn,1,blade,0.016900681,0.012188016
15,Caphorn,1,sheath,0.007521279,0.003386135
15,Caphorn,2,blade,0.026281063,0.020979275
15,Caphorn,2,sheath,0.00466392,0.006923578
15,Caphorn,3,blade,0.065940859,0.061578214
15,Caphorn,3,sheath,0.010798044,0.011863168
15,Caphorn,4,blade,0.217939776,0.255647515
15,Caphorn,4,internode,0.017110265,0.016707598
15,Caphorn,4,sheath,0.040642991,0.036541128
15,Caphorn,5,internode,0.066593708,0.106877467
15,Caphorn,6,internode,0.189017344,0.20309717
15,Soissons,1,blade,0.016566714,0.011012589
15,Soissons,1,sheath,0.007723921,0.004325479
15,Soissons,2,blade,0.034612533,0.020887307
15,Soissons,2,sheath,0.004868506,0.006331563
15,Soissons,3,blade,0.084535412,0.060171446
15,Soissons,3,sheath,0.010599798,0.010001849
15,Soissons,4,blade,0.235000624,0.237611337
15,Soissons,4,internode,0.017878496,0.018262617
15,Soissons,4,sheath,0.037837728,0.035015898
15,Soissons,5,internode,0.071528529,0.11547028
15,Soissons,6,internode,0.192944768,0.206888141
16,Caphorn,1,blade,0.016900681,0.003738988
16,Caphorn,1,sheath,0.007521279,0.001646658
16,Caphorn,2,blade,0.026281063,0.010142089
16,Caphorn,2,sheath,0.00466392,0.001895009
16,Caphorn,3,blade,0.065940859,0.047544011
16,Caphorn,3,sheath,0.010798044,0.004534844
16,Caphorn,4,blade,0.217939776,0.246903391
16,Caphorn,4,internode,0.017110265,0.009642743
