t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
0,Soissons,1,blade,LeafElement1,0.0,0.0,1
0,Soissons,1,sheath,StemElement,0.0,0.0,1
0,Soissons,2,blade,LeafElement1,0.0,0.0,1
0,Soissons,2,sheath,StemElement,0.0,0.0,1
0,Soissons,3,blade,LeafElement1,0.0,0.0,1
0,Soissons,3,sheath,StemElement,0.0,0.0,1
0,Soissons,4,blade,LeafElement1,0.0,0.0,1
0,Soissons,4,internode,StemElement,0.0,0.0,1
0,Soissons,4,sheath,StemElement,0.0,0.0,1
0,Soissons,5,internode,StemElement,0.0,0.0,1
0,Soissons,6,internode,StemElement,0.0,0.0,1
1,Soissons,1,blade,LeafElement1,0.0,0.0,1
1,Soissons,1,sheath,StemElement,0.0,0.0,1
1,Soissons,2,blade,LeafElement1,0.0,0.0,1
1,Soissons,2,sheath,StemElement,0.0,0.0,1
1,Soissons,3,blade,LeafElement1,0.0,0.0,1
1,Soissons,3,sheath,StemElement,0.0,0.0,1
1,Soissons,4,blade,LeafElement1,0.0,0.0,1
1,Soissons,4,internode,StemElement,0.0,0.0,1
1,Soissons,4,sheath,StemElement,0.0,0.0,1
1,Soissons,5,internode,StemElement,0.0,0.0,1
1,Soissons,6,internode,StemElement,0.0,0.0,1
2,Soissons,1,blade,LeafElement1,0.0,0.0,1
2,Soissons,1,sheath,StemElement,0.0,0.0,1
2,Soissons,2,blade,LeafElement1,0.0,0.0,1
2,Soissons,2,sheath,StemElement,0.0,0.0,1
2,Soissons,3,blade,LeafElement1,0.0,0.0,1
2,Soissons,3,sheath,StemElement,0.0,0.0,1
2,Soissons,4,blade,LeafElement1,0.0,0.0,1
2,Soissons,4,internode,StemElement,0.0,0.0,1
2,Soissons,4,sheath,StemElement,0.0,0.0,1
2,Soissons,5,internode,StemElement,0.0,0.0,1
2,Soissons,6,internode,StemElement,0.0,0.0,1
3,Soissons,1,blade,LeafElement1,0.0,0.0,1
3,Soissons,1,sheath,StemElement,0.0,0.0,1
3,Soissons,2,blade,LeafElement1,0.0,0.0,1
3,Soissons,2,sheath,StemElement,0.0,0.0,1
3,Soissons,3,blade,LeafElement1,0.0,0.0,1
3,Soissons,3,sheath,StemElement,0.0,0.0,1
3,Soissons,4,blade,LeafElement1,0.0,0.0,1
3,Soissons,4,internode,StemElement,0.0,0.0,1
3,Soissons,4,sheath,StemElement,0.0,0.0,1
3,Soissons,5,internode,StemElement,0.0,0.0,1
3,Soissons,6,internode,StemElement,0.0,0.0,1
4,Soissons,1,blade,LeafElement1,0.0,0.0,1
4,Soissons,1,sheath,StemElement,0.0,0.0,1
4,Soissons,2,blade,LeafElement1,0.0,0.0,1
4,Soissons,2,sheath,StemElement,0.0,0.0,1
4,Soissons,3,blade,LeafElement1,0.0,0.0,1
4,Soissons,3,sheath,StemElement,0.0,0.0,1
4,Soissons,4,blade,LeafElement1,0.0,0.0,1
4,Soissons,4,internode,StemElement,0.0,0.0,1
4,Soissons,4,sheath,StemElement,0.0,0.0,1
4,Soissons,5,internode,StemElement,0.0,0.0,1
4,Soissons,6,internode,StemElement,0.0,0.0,1
5,Soissons,1,blade,LeafElement1,0.0,0.0117053967818,1
5,Soissons,1,sheath,StemElement,0.0,0.00497003416178,1
5,Soissons,2,blade,LeafElement1,0.0,0.0248621052483,1
5,Soissons,2,sheath,StemElement,0.0,0.00333366754435,1
5,Soissons,3,blade,LeafElement1,7.55207637452e-06,0.0711336556434,1
5,Soissons,3,sheath,StemElement,0.0,0.00810464287703,1
5,Soissons,4,blade,LeafElement1,0.076570034058,0.23889473242,1
5,Soissons,4,internode,StemElement,0.0,0.0148957423952,1
5,Soissons,4,sheath,StemElement,0.0,0.0336139385194,1
5,Soissons,5,internode,StemElement,0.00213641258637,0.0781531665003,1
5,Soissons,6,internode,StemElement,0.468619523955,0.196920449308,1
6,Soissons,1,blade,LeafElement1,2.22774189025e-05,0.0117053967818,1
6,Soissons,1,sheath,StemElement,0.0,0.00497003416178,1
6,Soissons,2,blade,LeafElement1,0.000121191945645,0.0248621052483,1
6,Soissons,2,sheath,StemElement,8.26751808761e-05,0.00333366754435,1
6,Soissons,3,blade,LeafElement1,0.00355641958407,0.0711336556434,1
6,Soissons,3,sheath,StemElement,9.43944531446e-05,0.00810464287703,1
6,Soissons,4,blade,LeafElement1,0.120450456507,0.23889473242,1
6,Soissons,4,internode,StemElement,0.000762567892283,0.0148957423952,1
6,Soissons,4,sheath,StemElement,0.00377095213835,0.0336139385194,1
6,Soissons,5,internode,StemElement,0.0329636386045,0.0781531665003,1
6,Soissons,6,internode,StemElement,0.420664512939,0.196920449308,1
7,Soissons,1,blade,LeafElement1,0.0010725904958,0.0117053967818,1
7,Soissons,1,sheath,StemElement,0.000351898138535,0.00497003416178,1
7,Soissons,2,blade,LeafElement1,0.00325338484566,0.0248621052483,1
7,Soissons,2,sheath,StemElement,0.000370407355058,0.00333366754435,1
7,Soissons,3,blade,LeafElement1,0.0195895295522,0.0711336556434,1
7,Soissons,3,sheath,StemElement,0.00199201218886,0.00810464287703,1
7,Soissons,4,blade,LeafElement1,0.170793831815,0.23889473242,1
7,Soissons,4,internode,StemElement,0.00405443330029,0.0148957423952,1
7,Soissons,4,sheath,StemElement,0.0208184793614,0.0336139385194,1
7,Soissons,5,internode,StemElement,0.0710878249084,0.0781531665003,1
7,Soissons,6,internode,StemElement,0.345919428493,0.196920449308,1
8,Soissons,1,blade,LeafElement1,0.00359700575868,0.0117053967818,1
8,Soissons,1,sheath,StemElement,0.00133951454728,0.00497003416178,1
8,Soissons,2,blade,LeafElement1,0.0112763713845,0.0248621052483,1
8,Soissons,2,sheath,StemElement,0.00204057502065,0.00333366754435,1
8,Soissons,3,blade,LeafElement1,0.0405051151841,0.0711336556434,1
8,Soissons,3,sheath,StemElement,0.00549606765328,0.00810464287703,1
8,Soissons,4,blade,LeafElement1,0.201132822104,0.23889473242,1
8,Soissons,4,internode,StemElement,0.0118428315347,0.0148957423952,1
8,Soissons,4,sheath,StemElement,0.0338046472849,0.0336139385194,1
8,Soissons,5,internode,StemElement,0.0951272396251,0.0781531665003,1
8,Soissons,6,internode,StemElement,0.282296315567,0.196920449308,1
9,Soissons,1,blade,LeafElement1,0.00958444448415,0.0117053967818,1
9,Soissons,1,sheath,StemElement,0.003708981966,0.00497003416178,1
9,Soissons,2,blade,LeafElement1,0.0203823997991,0.0248621052483,1
9,Soissons,2,sheath,StemElement,0.00576862806172,0.00333366754435,1
9,Soissons,3,blade,LeafElement1,0.0565150169432,0.0711336556434,1
9,Soissons,3,sheath,StemElement,0.0108697485864,0.00810464287703,1
9,Soissons,4,blade,LeafElement1,0.240817168793,0.23889473242,1
9,Soissons,4,internode,StemElement,0.0136770961777,0.0148957423952,1
9,Soissons,4,sheath,StemElement,0.0362670177167,0.0336139385194,1
9,Soissons,5,internode,StemElement,0.133296566163,0.0781531665003,1
9,Soissons,6,internode,StemElement,0.210303304362,0.196920449308,1
10,Soissons,1,blade,LeafElement1,0.0147452379293,0.0117053967818,1
10,Soissons,1,sheath,StemElement,0.00649793018848,0.00497003416178,1
10,Soissons,2,blade,LeafElement1,0.0345808932351,0.0248621052483,1
10,Soissons,2,sheath,StemElement,0.00453921095192,0.00333366754435,1
10,Soissons,3,blade,LeafElement1,0.0745599362543,0.0711336556434,1
10,Soissons,3,sheath,StemElement,0.0161151793787,0.00810464287703,1
10,Soissons,4,blade,LeafElement1,0.260520216848,0.23889473242,1
10,Soissons,4,internode,StemElement,0.00987041961739,0.0148957423952,1
10,Soissons,4,sheath,StemElement,0.0507966833745,0.0336139385194,1
10,Soissons,5,internode,StemElement,0.1035650507,0.0781531665003,1
10,Soissons,6,internode,StemElement,0.155720070948,0.196920449308,1
11,Soissons,1,blade,LeafElement1,0.0148869640355,0.0117053967818,1
11,Soissons,1,sheath,StemElement,0.00476011215531,0.00497003416178,1
11,Soissons,2,blade,LeafElement1,0.0430349791014,0.0248621052483,1
11,Soissons,2,sheath,StemElement,0.005068879822,0.00333366754435,1
11,Soissons,3,blade,LeafElement1,0.110570867177,0.0711336556434,1
11,Soissons,3,sheath,StemElement,0.0198701992109,0.00810464287703,1
11,Soissons,4,blade,LeafElement1,0.261132098391,0.23889473242,1
11,Soissons,4,internode,StemElement,0.0262291395866,0.0148957423952,1
11,Soissons,4,sheath,StemElement,0.0437234009647,0.0336139385194,1
11,Soissons,5,internode,StemElement,0.0571647120079,0.0781531665003,1
11,Soissons,6,internode,StemElement,0.120148117541,0.196920449308,1
12,Soissons,1,blade,LeafElement1,0.0167595361826,0.0117053967818,1
12,Soissons,1,sheath,StemElement,0.00110379722999,0.00497003416178,1
12,Soissons,2,blade,LeafElement1,0.0478730602925,0.0248621052483,1
12,Soissons,2,sheath,StemElement,0.000799760822914,0.00333366754435,1
