ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
1,1,3,-0.036668154,-0.082060617,0.120967742,NA,NA,1.5,NA,NA
5,1,3,0.45485043,0.409457967,0.282258065,0.008064516,NA,3.5,0.1,NA
6,1,3,0.726341859,0.680949396,0.556451613,0.024193548,NA,6.9,0.3,NA
7,1,3,0.923244865,0.877852402,0.766129032,0.056451613,NA,9.5,0.7,NA
8,1,3,1.110324453,1.06493199,0.879032258,0.072580645,NA,10.9,0.9,NA
9,1,3,1.149531188,1.104138725,0.927419355,0.080645161,NA,11.5,1,NA
10,1,3,1.393117158,1.347724695,1.088709677,0.25,NA,13.5,3.1,NA
11,1,3,1.558811255,1.513418792,1.14516129,0.314516129,NA,14.2,3.9,NA
12,1,3,1.787270901,1.741878438,1.161290323,0.314516129,NA,14.4,3.9,NA
13,1,3,1.93862107,1.893228607,0.943548387,0.274193548,NA,11.7,3.4,NA
14,1,3,2.06658629,2.021193827,1,0.274193548,NA,12.4,3.4,NA
15,1,3,2.164472729,2.119080266,1.052419355,0.282258065,NA,13.05,3.5,NA
16,1,3,2.204287994,2.158895532,1.14516129,0.306451613,NA,14.2,3.8,NA
17,1,3,2.381022568,2.335630106,1.072580645,0.282258065,NA,13.3,3.5,NA
18,1,3,2.478648209,2.433255746,1.14516129,0.298387097,NA,14.2,3.7,NA
19,1,3,2.596529213,2.55113675,1.056451613,0.306451613,NA,13.1,3.8,NA
20,1,3,2.788911708,2.743519245,1.040322581,0.282258065,NA,12.9,3.5,NA
21,1,3,2.913225747,2.867833284,1.088709677,0.266129032,NA,13.5,3.3,NA
22,1,3,3.016415093,2.97102263,1.048387097,0.282258065,NA,13,3.5,NA
23,1,3,3.05388317,3.008490707,1,0.241935484,NA,12.4,3,NA
24,1,3,3.118648176,3.073255713,0.983870968,0.258064516,NA,12.2,3.2,NA
25,1,3,3.228357489,3.182965026,0.983870968,0.241935484,NA,12.2,3,NA
26,1,3,3.354323253,3.30893079,0.967741935,0.25,NA,12,3.1,NA
27,1,3,3.382924175,3.337531712,1.008064516,0.25,NA,12.5,3.1,NA
28,1,3,3.406830721,3.361438258,1.008064516,0.25,NA,12.5,3.1,NA
29,1,3,3.577479992,3.532087529,0.97983871,0.241935484,NA,12.15,3,NA
30,1,3,3.883049116,3.837656653,0.951612903,0.241935484,NA,11.8,3,NA
31,1,3,3.95137837,3.905985908,1.040322581,0.258064516,NA,12.9,3.2,NA
32,1,3,4.023358807,3.977966344,NA,0.241935484,NA,NA,3,NA
33,1,3,4.181402809,4.136010346,0.911290323,0.217741935,NA,11.3,2.7,NA
34,1,3,4.332144447,4.286751984,NA,0.258064516,NA,NA,3.2,NA
35,1,3,4.449416922,4.404024459,0.935483871,0.217741935,NA,11.6,2.7,NA
110,1,4,-1.036668154,-1.053813142,0.007462687,NA,NA,0.1,NA,NA
2,1,4,-0.893663543,-0.910808531,0.014925373,NA,NA,0.2,NA,NA
4,1,4,-0.625997161,-0.643142149,0.007089552,NA,NA,0.095,NA,NA
510,1,4,-0.54514957,-0.562294558,0.013432836,NA,NA,0.18,NA,NA
610,1,4,-0.273658141,-0.290803129,0.059701493,NA,NA,0.8,NA,NA
73,1,4,-0.076755135,-0.093900123,0.201492537,0.007462687,NA,2.7,0.1,NA
81,1,4,0.110324453,0.093179465,0.194029851,0.007462687,NA,2.6,0.1,NA
91,1,4,0.149531188,0.1323862,0.26119403,0.007462687,NA,3.5,0.1,NA
101,1,4,0.393117158,0.37597217,0.395522388,0.014925373,NA,5.3,0.2,NA
111,1,4,0.558811255,0.541666267,0.507462687,0.014925373,NA,6.8,0.2,NA
121,1,4,0.787270901,0.770125913,0.690298507,0.03358209,NA,9.25,0.45,NA
