ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
295,1,8,-1.016961477,-0.802874385,0.016468435,NA,NA,0.45,NA,NA
305,1,8,-0.938764412,-0.724677321,0.027447392,NA,NA,0.75,NA,NA
315,1,8,-0.767372293,-0.553285201,0.038426349,NA,NA,1.05,NA,NA
325,1,8,-0.603714986,-0.389627894,0.139066789,0.005489478,NA,3.8,0.15,NA
335,1,8,-0.476467892,-0.262380801,0.064043916,0.001829826,NA,1.75,0.05,NA
344,1,8,-0.34639099,-0.132303898,0.139066789,0.005489478,NA,3.8,0.15,NA
355,1,8,-0.226784381,-0.01269729,0.164684355,0.007319305,NA,4.5,0.2,NA
364,1,8,-0.072371118,0.141715973,0.122598353,0.005489478,NA,3.35,0.15,NA
374,1,8,0.233719926,0.447807017,0.358645929,0.010978957,NA,9.8,0.3,NA
383,1,8,0.406809931,0.620897022,0.618481244,0.054894785,NA,16.9,1.5,NA
394,1,8,0.560940213,0.775027305,0.655077768,0.051235133,0.060606061,17.9,1.4,0.15
404,1,8,0.789966116,1.004053207,0.629460201,0.054894785,0.080808081,17.2,1.5,0.2
416,1,8,0.935041008,1.1491281,0.7063129,0.069533394,0.080808081,19.3,1.9,0.2
423,1,8,1.12133679,1.335423881,0.772186642,0.164684355,0.121212121,21.1,4.5,0.3
433,1,8,1.346966921,1.561054013,0.951509607,0.333028362,0.282828283,26,9.1,0.7
443,1,8,1.567975031,1.782062123,0.969807868,0.32936871,0.363636364,26.5,9,0.9
454,1,8,1.961695838,2.175782929,1.03568161,0.380603843,1.090909091,28.3,10.4,2.7
463,1,8,2.598780248,2.81286734,1.017383349,0.365965233,1.212121212,27.8,10,3
472,1,8,2.856764533,3.070851625,1.05032022,0.37694419,1.050505051,28.7,10.3,2.6
483,1,8,3.089280534,3.303367626,1.032021958,0.354986276,0.767676768,28.2,9.7,1.9
492,1,8,3.30198787,3.516074962,1.013723696,0.380603843,0.767676768,27.7,10.4,1.9
