t,species,metamer,organ,Eabs_diffuse,Eabs_direct
6,Soissons,3,sheath,0.044053435,0.010683137
6,Soissons,4,blade,0.374763977,0.301199571
6,Soissons,4,internode,0.056313026,0.016920455
6,Soissons,4,sheath,0.088679393,0.058561639
6,Soissons,5,internode,0.13387267,0.132706159
6,Soissons,6,internode,0.266855008,0.62484814
7,Caphorn,1,blade,0.073853653,0.028663714
7,Caphorn,1,sheath,0.031099698,0.017837802
7,Caphorn,2,blade,0.098464093,0.06463566
7,Caphorn,2,sheath,0.028427148,0.017282036
7,Caphorn,3,blade,0.16399339,0.152274645
7,Caphorn,3,sheath,0.043191565,0.028441235
7,Caphorn,4,blade,0.34013048,0.477787165
7,Caphorn,4,internode,0.051950171,0.048414045
7,Caphorn,4,sheath,0.087963329,0.099114378
7,Caphorn,5,internode,0.117905025,0.154784645
7,Caphorn,6,internode,0.264067376,0.466997891
7,Soissons,1,blade,0.072611566,0.032612545
7,Soissons,1,sheath,0.032613275,0.014326822
7,Soissons,2,blade,0.116501113,0.055133564
7,Soissons,2,sheath,0.029266887,0.018312285
7,Soissons,3,blade,0.198794675,0.120547409
7,Soissons,3,sheath,0.044053435,0.028647959
7,Soissons,4,blade,0.374763977,0.336416646
7,Soissons,4,internode,0.056313026,0.049507536
7,Soissons,4,sheath,0.088679393,0.101293078
7,Soissons,5,internode,0.13387267,0.198207509
7,Soissons,6,internode,0.266855008,0.464676328
8,Caphorn,1,blade,0.073853653,0.057121876
8,Caphorn,1,sheath,0.031099698,0.0243122
8,Caphorn,2,blade,0.098464093,0.092790591
8,Caphorn,2,sheath,0.028427148,0.030515851
8,Caphorn,3,blade,0.16399339,0.185969002
8,Caphorn,3,sheath,0.043191565,0.046193522
8,Caphorn,4,blade,0.34013048,0.42871497
8,Caphorn,4,internode,0.051950171,0.067938181
8,Caphorn,4,sheath,0.087963329,0.120270681
8,Caphorn,5,internode,0.117905025,0.164038291
8,Caphorn,6,internode,0.264067376,0.354587017
8,Soissons,1,blade,0.072611566,0.057271178
8,Soissons,1,sheath,0.032613275,0.028774443
8,Soissons,2,blade,0.116501113,0.083734075
8,Soissons,2,sheath,0.029266887,0.029525741
8,Soissons,3,blade,0.198794675,0.159122346
8,Soissons,3,sheath,0.044053435,0.044960693
8,Soissons,4,blade,0.374763977,0.360514386
8,Soissons,4,internode,0.056313026,0.06468611
8,Soissons,4,sheath,0.088679393,0.118671741
8,Soissons,5,internode,0.13387267,0.177893989
8,Soissons,6,internode,0.266855008,0.358737427
9,Caphorn,1,blade,0.073853653,0.081849532
9,Caphorn,1,sheath,0.031099698,0.039993792
9,Caphorn,2,blade,0.098464093,0.112300585
9,Caphorn,2,sheath,0.028427148,0.039284796
9,Caphorn,3,blade,0.16399339,0.20378668
9,Caphorn,3,sheath,0.043191565,0.05459238
9,Caphorn,4,blade,0.34013048,0.374343205
9,Caphorn,4,internode,0.051950171,0.066843525
9,Caphorn,4,sheath,0.087963329,0.11397659
9,Caphorn,5,internode,0.117905025,0.154306697
9,Caphorn,6,internode,0.264067376,0.257154005
9,Soissons,1,blade,0.072611566,0.080602049
9,Soissons,1,sheath,0.032613275,0.032372338
9,Soissons,2,blade,0.116501113,0.10502025
9,Soissons,2,sheath,0.029266887,0.040967332
9,Soissons,3,blade,0.198794675,0.19560255
9,Soissons,3,sheath,0.044053435,0.057717004
9,Soissons,4,blade,0.374763977,0.379446689
9,Soissons,4,internode,0.056313026,0.068385397
9,Soissons,4,sheath,0.088679393,0.106625545
