t,air_temperature,humidity,ambient_CO2,Wind,PARi,
0,17,0.83,360,2.8,0,
1,17,0.83,360,2.8,0,
2,17,0.76,360,2.8,0,
3,17,0.8,360,2.8,0,
4,17,0.9,360,2.8,67.33333333,
5,17,0.72,360,2.8,336.6666667,
6,17,0.68,360,2.8,667.7222222,
7,17,0.67,360,2.8,1026.833333,
8,17,0.63,360,2.8,1290.555556,
9,17,0.62,360,2.8,1548.666667,
10,17,0.57,360,2.8,1739.444444,
11,17,0.55,360,2.8,1548.666667,
12,17,0.53,360,2.8,1795.555556,
13,17,0.43,360,2.8,1582.333333,
14,17,0.33,360,2.8,1464.5,
15,17,0.4,360,2.8,1189.555556,
16,17,0.39,360,2.8,892.1666667,
17,17,0.44,360,2.8,538.6666667,
18,17,0.5,360,2.8,207.6111111,
19,17,0.59,360,2.8,11.22222222,
20,17,0.64,360,2.8,0,
21,17,0.68,360,2.8,0,
22,17,0.77,360,2.8,0,
23,17,0.78,360,2.8,0,
24,17,0.83,360,2.8,0,
25,17,0.83,360,2.8,0,
26,17,0.76,360,2.8,0,
27,17,0.8,360,2.8,0,
28,17,0.9,360,2.8,67.33333333,
29,17,0.72,360,2.8,336.6666667,
30,17,0.68,360,2.8,667.7222222,
31,17,0.67,360,2.8,1026.833333,
32,17,0.63,360,2.8,1290.555556,
33,17,0.62,360,2.8,1548.666667,
34,17,0.57,360,2.8,1739.444444,
35,17,0.55,360,2.8,1548.666667,
36,17,0.53,360,2.8,1795.555556,
37,17,0.43,360,2.8,1582.333333,
38,17,0.33,360,2.8,1464.5,
39,17,0.4,360,2.8,1189.555556,
40,17,0.39,360,2.8,892.1666667,
41,17,0.44,360,2.8,538.6666667,
42,17,0.5,360,2.8,207.6111111,
43,17,0.59,360,2.8,11.22222222,
44,17,0.64,360,2.8,0,
45,17,0.68,360,2.8,0,
46,17,0.77,360,2.8,0,
47,17,0.78,360,2.8,0,
48,17,0.83,360,2.8,0,
49,17,0.83,360,2.8,0,
50,17,0.76,360,2.8,0,
51,17,0.8,360,2.8,0,
52,17,0.9,360,2.8,67.33333333,
53,17,0.72,360,2.8,336.6666667,
54,17,0.68,360,2.8,667.7222222,
55,17,0.67,360,2.8,1026.833333,
56,17,0.63,360,2.8,1290.555556,
57,17,0.62,360,2.8,1548.666667,
58,17,0.57,360,2.8,1739.444444,
59,17,0.55,360,2.8,1548.666667,
60,17,0.53,360,2.8,1795.555556,
61,17,0.43,360,2.8,1582.333333,
62,17,0.33,360,2.8,1464.5,
63,17,0.4,360,2.8,1189.555556,
64,17,0.39,360,2.8,892.1666667,
65,17,0.44,360,2.8,538.6666667,
66,17,0.5,360,2.8,207.6111111,
67,17,0.59,360,2.8,11.22222222,
68,17,0.64,360,2.8,0,
69,17,0.68,360,2.8,0,
70,17,0.77,360,2.8,0,
71,17,0.78,360,2.8,0,
72,17,0.83,360,2.8,0,
73,17,0.83,360,2.8,0,
74,17,0.76,360,2.8,0,
75,17,0.8,360,2.8,0,
76,17,0.9,360,2.8,67.33333333,
77,17,0.72,360,2.8,336.6666667,
78,17,0.68,360,2.8,667.7222222,
79,17,0.67,360,2.8,1026.833333,
80,17,0.63,360,2.8,1290.555556,
81,17,0.62,360,2.8,1548.666667,
82,17,0.57,360,2.8,1739.444444,
83,17,0.55,360,2.8,1548.666667,
84,17,0.53,360,2.8,1795.555556,
85,17,0.43,360,2.8,1582.333333,
86,17,0.33,360,2.8,1464.5,
87,17,0.4,360,2.8,1189.555556,
88,17,0.39,360,2.8,892.1666667,
89,17,0.44,360,2.8,538.6666667,
90,17,0.5,360,2.8,207.6111111,
91,17,0.59,360,2.8,11.22222222,
92,17,0.64,360,2.8,0,
93,17,0.68,360,2.8,0,
94,17,0.77,360,2.8,0,
95,17,0.78,360,2.8,0,
96,17,0.83,360,2.8,0,
97,17,0.83,360,2.8,0,
98,17,0.76,360,2.8,0,
99,17,0.8,360,2.8,0,
100,17,0.9,360,2.8,67.33333333,
101,17,0.72,360,2.8,336.6666667,
102,17,0.68,360,2.8,667.7222222,
103,17,0.67,360,2.8,1026.833333,
104,17,0.63,360,2.8,1290.555556,
105,17,0.62,360,2.8,1548.666667,
106,17,0.57,360,2.8,1739.444444,
107,17,0.55,360,2.8,1548.666667,
108,17,0.53,360,2.8,1795.555556,
109,17,0.43,360,2.8,1582.333333,
110,17,0.33,360,2.8,1464.5,
111,17,0.4,360,2.8,1189.555556,
112,17,0.39,360,2.8,892.1666667,
113,17,0.44,360,2.8,538.6666667,
114,17,0.5,360,2.8,207.6111111,
115,17,0.59,360,2.8,11.22222222,
116,17,0.64,360,2.8,0,
117,17,0.68,360,2.8,0,
118,17,0.77,360,2.8,0,
119,17,0.78,360,2.8,0,
120,17,0.83,360,2.8,0,
121,17,0.83,360,2.8,0,
122,17,0.76,360,2.8,0,
123,17,0.8,360,2.8,0,
124,17,0.9,360,2.8,67.33333333,
125,17,0.72,360,2.8,336.6666667,
126,17,0.68,360,2.8,667.7222222,
127,17,0.67,360,2.8,1026.833333,
128,17,0.63,360,2.8,1290.555556,
129,17,0.62,360,2.8,1548.666667,
130,17,0.57,360,2.8,1739.444444,
131,17,0.55,360,2.8,1548.666667,
132,17,0.53,360,2.8,1795.555556,
133,17,0.43,360,2.8,1582.333333,
134,17,0.33,360,2.8,1464.5,
135,17,0.4,360,2.8,1189.555556,
136,17,0.39,360,2.8,892.1666667,
137,17,0.44,360,2.8,538.6666667,
138,17,0.5,360,2.8,207.6111111,
139,17,0.59,360,2.8,11.22222222,
140,17,0.64,360,2.8,0,
141,17,0.68,360,2.8,0,
142,17,0.77,360,2.8,0,
143,17,0.78,360,2.8,0,
144,17,0.83,360,2.8,0,
145,17,0.83,360,2.8,0,
146,17,0.76,360,2.8,0,
147,17,0.8,360,2.8,0,
148,17,0.9,360,2.8,67.33333333,
149,17,0.72,360,2.8,336.6666667,
150,17,0.68,360,2.8,667.7222222,
151,17,0.67,360,2.8,1026.833333,
152,17,0.63,360,2.8,1290.555556,
153,17,0.62,360,2.8,1548.666667,
154,17,0.57,360,2.8,1739.444444,
