plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,synthetized_mstruct,senesced_mstruct,age,nitrates_vacuole,rate_mstruct_growth
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,54.0082117,0.943159803,9.431598028,NA,NA,NA,0.012241861,6.12E-05,3.06046533,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
