plant,axis,organ,sucrose,amino_acids,nitrates,nitrates_vacuole,structure,starch,proteins,mstruct,synthetized_mstruct,senesced_mstruct,Nstruct,cytokinins,age,rate_mstruct_growth
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,202.5847905,2.19053373,21.9053373,0,NA,NA,NA,3.44E-02,0.00E+00,0.00E+00,0.000172197,8.60E+00,0,0.00E+00
