plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,204.2165909,2.208178261,22.08178261,NA,NA,NA,3.47E-02,0.000173584,3.47
