plant,axis,metamer,organ,element,age,length,is_growing,mstruct,Nstruct,amino_acids,proteins,fructan,sucrose,green_area,cytokinins,max_proteins,starch,nitrates,senesced_length,Nresidual,max_mstruct,is_over
1,MS,1,blade,LeafElement1,280,0.082,False,0.004302328,2.15E-05,1.77E+00,17.74188623,0,25.30781299,0.00019556,0.365697898,4.40E+03,0,0,0,0,0.004302328,False
1,MS,1,sheath,StemElement,280,0.0285,False,0.00171,0.00000855,0.202319701,2.023197008,0,10.05882353,0.000269,0.04104,1.13E+03,0,0,0,0,0.00171,False
1,MS,2,blade,LeafElement1,180,0.092,False,0.005068007,2.53E-05,2.48E+00,24.76193612,0,29.81180546,0.000230364,0.5118687,4.40E+03,0,0,0,0,0.005068007,False
1,MS,2,sheath,HiddenElement,180,0.0285,False,0.00228,0.0000114,0.382633557,3.826335573,6.705882353,13.41176471,0.000248,0.0798,1.60E+03,0,0,0,0,0.00228,False
1,MS,2,sheath,StemElement,180,0.0005,False,0.00004,0.0000002,0.006712869,0.067128694,0,0.235294118,0.000005,0.0014,1.60E+03,0,0,0,0,0.00004,False
1,MS,3,blade,LeafElement1,80,0.060421565,True,0.00436942,2.18E-05,2.35E+00,23.50922695,0,25.70247059,0.00019861,0.48500562,0,0,0,0,0,0.00436942,False
