t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.33328,NA,NA,NA,0.25485,NA,0.00000,10.60907,NA,NA,NA,NA,3600.00000,NA,NA,NA,NA,107.36560,NA,NA,NA,0.00000,2455.31564,NA,NA,NA
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.58984,NA,NA,NA,NA,NA,NA,NA,NA,NA,8225.53175,NA,NA
0,1,MS,roots,2.89608,10.74736,0.37818,0.05541,0.10467,53.37391,1.66478,0.01004,NA,1.72742,1.95865,NA,NA,3.26113,75.00853,1.70361,NA,0.01334,NA,NA,774.96786,1.38269,57.56033,4.93363,NA,57.78606,2.39905,0.51211,253.99322,NA,0.00000,0.00000,0.00606,NA,NA,373.05114,300.03411,6.94720
1,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.60346,NA,NA,NA,0.22155,NA,0.00000,11.27054,NA,NA,NA,NA,7200.00000,NA,NA,NA,NA,107.59924,NA,NA,NA,0.00000,2461.82520,NA,NA,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.95237,NA,NA,NA,NA,NA,NA,NA,NA,NA,11443.64471,NA,NA
1,1,MS,roots,2.89608,10.88450,0.38001,0.05621,0.10053,47.89409,1.62187,0.01004,NA,1.60856,1.82341,NA,NA,3.09550,75.00853,1.58639,NA,0.01883,NA,NA,775.24787,1.25700,63.94525,4.59296,NA,58.06607,2.30427,0.51211,257.67720,NA,0.00000,0.00000,0.00606,NA,NA,389.68624,300.03411,6.52747
2,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.70971,NA,NA,NA,0.21605,NA,0.00000,11.53067,NA,NA,NA,NA,10800.00000,NA,NA,NA,NA,107.81707,NA,NA,NA,0.00000,2468.57903,NA,NA,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.49907,NA,NA,NA,NA,NA,NA,NA,NA,NA,13156.00920,NA,NA
2,1,MS,roots,1.97362,10.53047,0.16256,0.02554,0.04455,45.74287,3.66760,0.01007,NA,0.88988,0.77159,NA,NA,1.44469,51.11667,0.86824,NA,0.00000,NA,NA,774.11444,1.23355,65.83616,1.94356,NA,54.95903,2.25928,0.51764,259.03947,NA,0.00000,0.00000,0.00274,NA,NA,157.79915,204.46667,3.10616
3,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.76894,NA,NA,NA,0.21752,NA,0.00000,11.67569,NA,NA,NA,NA,14400.00000,NA,NA,NA,NA,108.03359,NA,NA,NA,0.00000,2475.44599,NA,NA,NA
