t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,NA,12.00000000,NA,428571.00000000,1
1,1,MS,428500.91278309,6.26400000,0.00244379,428500.91278309,1
2,1,MS,428439.39317581,5.41500000,0.00227375,428439.39317581,1
3,1,MS,428376.69993209,6.22300000,0.00243531,428376.69993209,1
4,1,MS,428317.88237175,5.95700000,0.00238100,428317.88237175,1
5,1,MS,428262.24121009,5.73300000,0.00233613,428262.24121009,1
6,1,MS,428209.03467273,5.59000000,0.00230788,428209.03467273,1
7,1,MS,428157.70726858,5.51100000,0.00229242,428157.70726858,1
8,1,MS,428107.86511178,5.48000000,0.00228637,428107.86511178,1
9,1,MS,428059.35054472,5.45500000,0.00228151,428059.35054472,1
10,1,MS,428011.97554053,5.45000000,0.00228054,428011.97554053,1
11,1,MS,427965.57264913,5.46600000,0.00228365,427965.57264913,1
12,1,MS,427920.21607493,5.44500000,0.00227957,427920.21607493,1
13,1,MS,427875.98329766,5.38500000,0.00226794,427875.98329766,1
14,1,MS,427832.73173455,5.34600000,0.00226041,427832.73173455,1
15,1,MS,427790.27619132,5.34700000,0.00226061,427790.27619132,1
16,1,MS,427748.40085347,5.40100000,0.00227104,427748.40085347,1
17,1,MS,427706.97150297,5.48900000,0.00228812,427706.97150297,1
18,1,MS,427665.90091136,5.60000000,0.00230985,427665.90091136,1
19,1,MS,427625.18199109,5.71200000,0.00233196,427625.18199109,1
20,1,MS,427584.75871687,5.84000000,0.00235746,427584.75871687,1
21,1,MS,427544.52284161,6.00100000,0.00238991,427544.52284161,1
22,1,MS,427504.32743301,6.20300000,0.00243119,427504.32743301,1
23,1,MS,427464.07489820,6.43300000,0.00247899,427464.07489820,1
24,1,MS,427423.89592639,6.62600000,0.00251976,427423.89592639,1
25,1,MS,427383.92726590,6.77300000,0.00255122,427383.92726590,1
26,1,MS,427344.09206316,6.93100000,0.00258544,427344.09206316,1
27,1,MS,427304.21855736,7.14000000,0.00263135,427304.21855736,1
28,1,MS,427264.46379954,7.30500000,0.00266811,427264.46379954,1
29,1,MS,427224.99027422,7.42500000,0.00269514,427224.99027422,1
30,1,MS,427185.95968679,7.50000000,0.00271217,427185.95968679,1
31,1,MS,427147.39743824,7.57000000,0.00272814,427147.39743824,1
32,1,MS,427109.62972851,7.53500000,0.00272014,427109.62972851,1
33,1,MS,427072.37736345,7.59000000,0.00273272,427072.37736345,1
34,1,MS,427036.01222531,7.52000000,0.00271672,427036.01222531,1
35,1,MS,427000.76374145,7.36500000,0.00268160,427000.76374145,1
36,1,MS,426965.99263784,7.43000000,0.00269628,426965.99263784,1
37,1,MS,426931.59066298,7.53000000,0.00271900,426931.59066298,1
38,1,MS,426898.02238932,7.46500000,0.00270421,426898.02238932,1
39,1,MS,426865.89990006,7.16000000,0.00263578,426865.89990006,1
40,1,MS,426834.73147147,7.01500000,0.00260380,426834.73147147,1
41,1,MS,426804.07695386,7.03500000,0.00260819,426804.07695386,1
42,1,MS,426774.09635747,6.99600000,0.00259964,426774.09635747,1
43,1,MS,426744.85366291,6.92800000,0.00258479,426744.85366291,1
44,1,MS,426716.63311088,6.72700000,0.00254134,426716.63311088,1
45,1,MS,426689.58655283,6.38100000,0.00246811,426689.58655283,1
46,1,MS,426662.93436178,6.25000000,0.00244089,426662.93436178,1
47,1,MS,426635.66157993,6.45200000,0.00248298,426635.66157993,1
48,1,MS,426607.16507102,6.75600000,0.00254757,426607.16507102,1
49,1,MS,426576.90111956,7.07500000,0.00261699,426576.90111956,1
50,1,MS,426545.10877318,7.19500000,0.00264355,426545.10877318,1
51,1,MS,426512.25449660,7.13500000,0.00263024,426512.25449660,1
52,1,MS,426478.69573850,7.03800000,0.00260885,426478.69573850,1
53,1,MS,426445.22797607,6.73600000,0.00254327,426445.22797607,1
54,1,MS,426412.20664026,6.37100000,0.00246602,426412.20664026,1
55,1,MS,426379.42715749,6.14300000,0.00241886,426379.42715749,1
56,1,MS,426346.97051584,5.92200000,0.00237394,426346.97051584,1
57,1,MS,426314.66753492,5.79200000,0.00234787,426314.66753492,1
58,1,MS,426282.46444343,5.71100000,0.00233176,426282.46444343,1
59,1,MS,426250.29721473,5.68600000,0.00232681,426250.29721473,1
60,1,MS,426218.20826431,5.67500000,0.00232463,426218.20826431,1
61,1,MS,426186.37124805,5.62100000,0.00231398,426186.37124805,1
62,1,MS,426154.90884053,5.53500000,0.00229710,426154.90884053,1
63,1,MS,426123.88916568,5.43300000,0.00227724,426123.88916568,1
64,1,MS,426093.27968529,5.35100000,0.00226138,426093.27968529,1
65,1,MS,426063.02465654,5.29800000,0.00225118,426063.02465654,1
66,1,MS,426033.13725370,5.24600000,0.00224122,426033.13725370,1
67,1,MS,426003.67878413,5.17400000,0.00222749,426003.67878413,1
68,1,MS,425974.69702737,5.08700000,0.00221100,425974.69702737,1
69,1,MS,425946.18829093,4.99800000,0.00219425,425946.18829093,1
70,1,MS,425918.03544281,4.94800000,0.00218490,425918.03544281,1
71,1,MS,425890.01734449,4.96700000,0.00218845,425890.01734449,1
72,1,MS,425861.75664518,5.11400000,0.00221611,425861.75664518,1
73,1,MS,425833.00095686,5.32800000,0.00225695,425833.00095686,1
74,1,MS,425803.94033004,5.43500000,0.00227762,425803.94033004,1
75,1,MS,425774.75728045,5.44200000,0.00227898,425774.75728045,1
76,1,MS,425745.87987964,5.25600000,0.00224313,425745.87987964,1
77,1,MS,425717.74746449,4.89800000,0.00217557,425717.74746449,1
78,1,MS,425690.66766828,4.39500000,0.00208380,425690.66766828,1
79,1,MS,425664.53348531,3.92600000,0.00200143,425664.53348531,1
80,1,MS,425639.15056179,3.53700000,0.00193538,425639.15056179,1
81,1,MS,425614.48255515,3.16000000,0.00187329,425614.48255515,1
82,1,MS,425590.38765242,2.84700000,0.00182312,425590.38765242,1
83,1,MS,425566.71678290,2.60500000,0.00178518,425566.71678290,1
84,1,MS,425543.21349762,2.49400000,0.00176803,425543.21349762,1
85,1,MS,425519.75177522,2.45700000,0.00176234,425519.75177522,1
86,1,MS,425496.38328139,2.40300000,0.00175407,425496.38328139,1
87,1,MS,425473.11335884,2.35400000,0.00174660,425473.11335884,1
88,1,MS,425449.96429965,2.30300000,0.00173885,425449.96429965,1
89,1,MS,425426.97190344,2.24100000,0.00172948,425426.97190344,1
90,1,MS,425404.14006122,2.17900000,0.00172015,425404.14006122,1
91,1,MS,425381.42709818,2.14300000,0.00171476,425381.42709818,1
92,1,MS,425358.91074287,2.07000000,0.00170386,425358.91074287,1
93,1,MS,425336.53777857,1.98800000,0.00169171,425336.53777857,1
94,1,MS,425314.08008567,1.93200000,0.00168345,425314.08008567,1
95,1,MS,425291.19264168,1.92100000,0.00168183,425291.19264168,1
96,1,MS,425267.33278661,2.04400000,0.00170000,425267.33278661,1
97,1,MS,425241.50101635,2.51600000,0.00177141,425241.50101635,1
98,1,MS,425213.72744082,2.92600000,0.00183567,425213.72744082,1
99,1,MS,425184.28769556,3.18900000,0.00187800,425184.28769556,1
