t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
0,1,MS,1,blade,LeafElement1,11.22840400,NA,11.13823955,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,363.06225518,NA,NA,NA,NA,NA,0.09016445,NA,NA,NA,NA,NA,NA,20.08972257,1.06775634,NA,10.50565784,0.00300000,240.23206370,1.69000000,NA,0.34907527,NA,0.00000000,0.00019533,0.41106479,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93543686,0,0.00000000,0.00000000,24.15745785,NA,0.00000000,0.00232481
0,1,MS,1,sheath,StemElement,1.02344011,NA,1.30380926,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,147.44612831,NA,NA,NA,NA,NA,0.00829345,NA,NA,NA,NA,NA,NA,2.83623099,0.39431707,NA,8.91193480,NA,240.23206370,0.20231970,NA,0.04104000,NA,0.00000000,0.00026861,0.19531063,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00000000,2.02319701,0,0.00000000,0.00000000,10.05882353,NA,0.00000000,0.00300000
0,1,MS,2,blade,LeafElement1,11.66701699,NA,11.56930449,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,340.21676299,NA,NA,NA,NA,NA,0.09771251,NA,NA,NA,NA,NA,NA,27.72496500,0.97798499,NA,10.06152388,0.00330000,160.23206370,2.36000000,NA,0.48860194,NA,0.00000000,0.00024107,0.40305176,0.06200019,False,False,0.09200000,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,23.63639357,0,0.00000000,0.00000000,28.45672340,NA,0.00000000,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,NA,20.00000000,NA,160.23206370,0.38263356,NA,0.07980000,NA,6.70588235,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.82633557,0,0.00000000,0.00000000,13.41176471,NA,0.00000000,0.00300000
0,1,MS,2,sheath,StemElement,1.36044212,NA,1.73071549,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,76.29910879,NA,NA,NA,NA,NA,0.01344107,NA,NA,NA,NA,NA,NA,0.08812728,0.20664562,NA,6.88600576,NA,160.23206370,0.00671287,NA,0.00140000,NA,0.00000000,0.00000471,0.19127959,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000000,0.06712869,0,0.00000000,0.00000000,0.23529412,NA,0.00000000,0.00300000
0,1,MS,3,blade,LeafElement1,13.17533472,NA,13.04936624,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002090,306.65715651,NA,NA,NA,NA,NA,0.12596847,NA,NA,NA,NA,NA,NA,26.17348287,0.88542467,NA,9.74424289,0.00400000,80.23206370,2.24000000,NA,0.46295991,NA,0.00000000,0.00018295,0.39320800,0.05097333,True,False,0.06372518,0.00417081,0.00000000,0.00417081,1.00000000,0.00000000,22.44062573,0,0.00000000,0.00000000,24.53417647,NA,0.00000000,0.00288355
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001004,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005020,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
1,1,MS,1,blade,LeafElement1,11.65160136,0.00000000,11.55849535,0.00000000,2.32926191,70.29368226,1.41253635,0.33263863,8.63714824,0.06848600,0.00000000,0.00000000,0.00002050,386.74022837,NA,8.19338628,0.00000000,0.00021282,0.11686266,0.09310600,0.00000000,0.00000000,0.00000004,2.66667795,193.77811547,1801.31541765,19.54115184,1.24207523,0.00024262,10.96439918,0.00300000,240.48097587,1.13900777,NA,0.34322501,0.00000000,0.00000000,0.00019533,0.39722639,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,-0.00000000,16.93785836,0,0.00000000,0.64051138,19.24359871,0.11707548,0.00180449,0.00232481
1,1,MS,1,sheath,StemElement,1.05197176,0.00000000,1.34016442,0.00000000,3.07297926,15.03671776,0.39883381,0.00923513,2.23526569,0.02322060,0.00000000,0.00000000,0.00000855,157.06218016,NA,1.01723798,0.00000000,0.00002293,0.01356837,0.00851732,0.00000000,0.00000000,0.00000015,1.56209688,41.44778595,553.42822864,2.82173516,0.47606067,0.00012787,9.30177505,NA,240.48097587,0.19034747,NA,0.04035220,0.00000000,0.00000000,0.00026861,0.18836151,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,-0.00000000,2.02067340,0,0.00000000,0.05705051,6.07882814,0.01359130,0.00015798,0.00300000
1,1,MS,2,blade,LeafElement1,12.11561611,0.00000000,12.01486873,0.00000000,1.93603856,80.39860476,1.67842560,0.49170082,10.58272206,0.08023525,0.00000000,0.00000000,0.00002420,362.40481278,NA,10.51453273,0.00000000,0.00030717,0.15762875,0.10074738,0.00000000,0.00000000,0.00000004,2.81279027,221.63869449,1951.84387259,26.87735234,1.14737952,0.00027660,10.49866491,0.00330000,160.48097587,1.50682393,NA,0.48041331,0.00000000,0.00000000,0.00024107,0.38977878,0.06200019,False,False,0.09200000,0.00483764,4885.93175850,0.00483764,1.00000000,-0.00000000,23.64195698,0,0.00000000,0.86296408,23.50537004,0.15793592,0.00243894,0.00255729
1,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.28354663,3.37984776,0.00000000,0.58163264,0.03673165,2.26679138,0.03084455,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00003101,0.01854919,0.00000000,0.00000000,0.00000000,0.00000032,1.87320470,0.00000000,0.00000000,4.97134946,0.00000000,0.00000000,5.84000000,NA,160.48097587,0.33395740,NA,0.07846261,0.00000000,6.70165825,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.82310635,0,0.00000000,0.00000000,7.64703734,0.01858020,0.00000000,0.00300000
1,1,MS,2,sheath,StemElement,1.40011415,0.00000000,1.78147289,0.00000000,3.37955182,15.00641682,0.58163264,0.00087645,0.02632055,0.03084455,0.00000000,0.00000000,0.00000020,81.27513763,NA,0.02375238,0.00000000,0.00000001,0.00030302,0.01354526,0.00000000,0.00000000,0.00000084,1.59140233,41.36426138,552.44516404,0.08592456,0.27940912,0.00000132,7.16024044,NA,160.48097587,0.00457431,NA,0.00137654,0.00000000,0.00000000,0.00000471,0.18469327,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,-0.00000000,0.06706453,0,0.00000000,0.00133183,0.08757202,0.00030303,0.00000369,0.00300000
