t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.02002061,NA,0.00000000,0.00000000,0.00000000,NA,NA,0.00017248,NA,NA,NA,NA,NA,NA,NA,0.69137825,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.17051312,8.60000000,0.00005606,0.03445606,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,199.88574592,2.00766633,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78536809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.61754579,NA,NA
1,1,MS,roots,0.02147097,0.00000000,0.26028921,0.32998074,0.04339775,1.07596896,0.00000000,0.00017278,NA,0.07588625,0.10813474,NA,NA,NA,0.06220684,0.74146433,1.11038917,NA,0.98151355,NA,NA,14.25338569,0.00000000,-587.33817769,0.27237969,NA,1.91210840,8.59052293,0.00006012,0.03451618,21.81661837,NA,0.00000000,0.00084029,0.00000000,NA,NA,176.34040749,2.15310934,0.24622782
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43749694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.17715431,NA,NA
2,1,MS,roots,0.01827821,0.00000000,0.15238847,0.20845155,0.02742513,1.00359948,0.00000000,0.00017303,NA,0.07029385,0.09574735,NA,NA,NA,0.05640868,0.63120761,1.02703679,NA,0.90959381,NA,NA,14.13183740,0.00000000,-343.34949437,0.24117721,NA,1.77228190,8.59459500,0.00005118,0.03456736,21.81867379,NA,0.00000000,0.00053077,0.00000000,NA,NA,161.66438401,1.83293915,0.22244989
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85602302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.41977697,NA,NA
3,1,MS,roots,0.02073609,0.00000000,0.04778715,0.06696446,0.00877700,1.07268368,0.00000000,0.00017332,NA,0.07504295,0.09812671,NA,NA,NA,0.05805565,0.71608642,1.09458557,NA,0.97086610,NA,NA,14.12189702,0.00000000,-213.51344037,0.24717056,NA,1.74160542,8.61947817,0.00005806,0.03462542,21.96471301,NA,0.00000000,0.00016937,0.00000000,NA,NA,151.11678038,2.07941544,0.23122532
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09613493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.76883742,NA,NA
4,1,MS,roots,0.01962727,0.00000000,0.00774108,0.01087971,0.00141909,1.04492760,0.00000000,0.00017360,NA,0.07317254,0.09228498,NA,NA,NA,0.05605365,0.67779514,1.06561222,NA,0.94613455,NA,NA,14.15120648,0.00000000,-146.46192479,0.23245587,NA,1.75128761,8.65089987,0.00005496,0.03468037,22.15215145,NA,0.00000000,0.00002729,0.00000000,NA,NA,143.04561416,1.96822288,0.22151118
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21451130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.45138590,NA,NA
5,1,MS,roots,0.01869704,0.00000000,0.00267649,0.00376079,0.00048831,1.02150086,0.00000000,0.00017386,NA,0.07162832,0.08750616,NA,NA,NA,0.05453117,0.64567097,1.04155149,NA,0.92530523,NA,NA,14.18475860,0.00000000,-105.03976043,0.22041855,NA,1.76614269,8.68257267,0.00005235,0.03473272,22.33476798,NA,0.00000000,0.00000935,0.00000000,NA,NA,136.54170461,1.87493876,0.21366565
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26497405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.76856982,NA,NA
6,1,MS,roots,0.01805823,0.00000000,0.00181404,0.00254605,0.00032920,1.00564529,0.00000000,0.00017411,NA,0.07061987,0.08384521,NA,NA,NA,0.05343804,0.62361095,1.02539470,NA,0.91115219,NA,NA,14.21864887,0.00000000,-76.55318744,0.21119699,NA,1.78197473,8.71395472,0.00005056,0.03478329,22.50937314,NA,0.00000000,0.00000628,0.00000000,NA,NA,131.11720628,1.81087952,0.20790311
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27242300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.69305573,NA,NA
7,1,MS,roots,0.01764429,0.00000000,0.00092889,0.00130120,0.00016759,0.99556449,0.00000000,0.00017436,NA,0.07002056,0.08099093,NA,NA,NA,0.05265479,0.60931626,1.01525080,NA,0.90207593,NA,NA,14.25311000,0.00000000,-56.01381785,0.20400738,NA,1.79879156,8.74522398,0.00004940,0.03483269,22.67801067,NA,0.00000000,0.00000319,0.00000000,NA,NA,126.46560172,1.76936972,0.20366628
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25530534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.77543042,NA,NA
8,1,MS,roots,0.01739565,0.00000000,0.00093827,0.00131146,0.00016831,0.98976790,0.00000000,0.00017460,NA,0.06972306,0.07872344,NA,NA,NA,0.05210043,0.60072968,1.00952558,NA,0.89670447,NA,NA,14.28740751,0.00000000,-40.15311948,0.19829583,NA,1.81569343,8.77634649,0.00004871,0.03488140,22.84085100,NA,0.00000000,0.00000319,0.00000000,NA,NA,122.40178556,1.74443550,0.20054693
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21939603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.30337912,NA,NA
