plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,synthetized_mstruct,senesced_mstruct,age,nitrates_vacuole,rate_mstruct_growth
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,158.1438357,2.152503352,21.52503352,NA,NA,NA,0.035845936,0.00017923,8.961484024,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
