plant,axis,metamer,organ,element,starch,max_proteins,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,cytokinins
1,MS,1,blade,LeafElement1,0,0.8,1.162512,14.112432,0.00003312,0.006624,0,15.8976,0.00024,0.39744
1,MS,1,sheath,StemElement,0,0.4,6.5052234,78.9708174,0.000185334,0.0370668,0,88.96032,0.0002686,2.224008
1,MS,2,blade,LeafElement1,0,1,1.356264,16.464504,0.00003864,0.007728,0,18.5472,0.00028,0.46368
1,MS,2,sheath,StemElement,0,0.5,0.11407149,1.38478239,3.25E-06,0.00064998,0,1.559952,4.71E-06,0.0389988
1,MS,2,sheath,HiddenElement,0,0.5,6.5052234,78.9708174,0.000185334,0.0370668,0,88.96032,0.000248,2.224008
1,MS,3,blade,LeafElement1,0,1.2,1.212992645,14.72524689,3.46E-05,0.006911639,0,16.5879336,0.000250422,0.41469834
2,MS,3,sheath,StemElement,0,0.5,1.31920893,16.01467023,3.76E-05,0.00751686,0,18.040464,3.69E-05,0.4510116
3,MS,4,blade,LeafElement3,0,1.2,0.305089036,3.703659206,8.69E-06,0.001738399,0,4.172157754,6.30E-05,0.104303944
