t,plant,axis,Total_Transpiration,mstruct
186,1,MS,0.01658,2.15833
187,1,MS,0.01658,2.15870
188,1,MS,0.01092,2.15897
189,1,MS,0.01092,2.15928
190,1,MS,0.01001,2.15953
191,1,MS,0.01001,2.15982
192,1,MS,0.00112,2.15995
193,1,MS,0.00112,2.16014
194,1,MS,0.00079,2.16025
195,1,MS,0.00079,2.16037
196,1,MS,0.00046,2.16047
197,1,MS,0.00046,2.16065
198,1,MS,0.01188,2.16082
199,1,MS,0.01188,2.16106
200,1,MS,0.02305,2.16127
201,1,MS,0.02305,2.16157
202,1,MS,0.02588,2.16181
203,1,MS,0.02588,2.16216
204,1,MS,0.03469,2.16245
205,1,MS,0.03469,2.16284
206,1,MS,0.02792,2.16316
207,1,MS,0.02792,2.16356
208,1,MS,0.01590,2.16390
209,1,MS,0.01590,2.16427
210,1,MS,0.00689,2.16456
211,1,MS,0.00689,2.16480
212,1,MS,0.00138,2.16500
213,1,MS,0.00138,2.16521
214,1,MS,0.00162,2.16541
215,1,MS,0.00162,2.16559
216,1,MS,0.00234,2.16569
217,1,MS,0.00234,2.16578
218,1,MS,0.00197,2.16587
219,1,MS,0.00197,2.16595
220,1,MS,0.00253,2.16603
221,1,MS,0.00253,2.16614
222,1,MS,0.00892,2.16626
223,1,MS,0.00892,2.16641
224,1,MS,0.01438,2.16655
225,1,MS,0.01438,2.16674
226,1,MS,0.01617,2.16692
227,1,MS,0.01617,2.16715
228,1,MS,0.02881,2.16741
229,1,MS,0.02881,2.16770
230,1,MS,0.02800,2.16800
231,1,MS,0.02800,2.16832
232,1,MS,0.02230,2.16862
233,1,MS,0.02230,2.16890
234,1,MS,0.01247,2.16915
235,1,MS,0.01247,2.16932
236,1,MS,0.00440,2.16948
237,1,MS,0.00440,2.16963
238,1,MS,0.00337,2.16977
239,1,MS,0.00337,2.16991
240,1,MS,0.00129,2.17007
241,1,MS,0.00129,2.17021
242,1,MS,0.00146,2.17036
243,1,MS,0.00146,2.17049
244,1,MS,0.00164,2.17064
245,1,MS,0.00164,2.17080
246,1,MS,0.01022,2.17103
247,1,MS,0.01022,2.17125
248,1,MS,0.02070,2.17158
249,1,MS,0.02070,2.17191
250,1,MS,0.02607,2.17229
251,1,MS,0.02607,2.17264
252,1,MS,0.01180,2.17289
253,1,MS,0.01180,2.17322
254,1,MS,0.01558,2.17355
255,1,MS,0.01558,2.17389
256,1,MS,0.02140,2.17425
257,1,MS,0.02140,2.17453
258,1,MS,0.00930,2.17482
259,1,MS,0.00930,2.17505
260,1,MS,0.00372,2.17529
261,1,MS,0.00372,2.17548
262,1,MS,0.00217,2.17566
263,1,MS,0.00217,2.17580
264,1,MS,0.00170,2.17596
265,1,MS,0.00170,2.17610
266,1,MS,0.00181,2.17626
267,1,MS,0.00181,2.17639
268,1,MS,0.00251,2.17656
269,1,MS,0.00251,2.17673
270,1,MS,0.00784,2.17697
271,1,MS,0.00784,2.17720
272,1,MS,0.01839,2.17757
273,1,MS,0.01839,2.17793
274,1,MS,0.01891,2.17837
275,1,MS,0.01891,2.17881
276,1,MS,0.02391,2.17931
277,1,MS,0.02391,2.17978
278,1,MS,0.02143,2.18031
279,1,MS,0.02143,2.18082
280,1,MS,0.02733,2.18137
281,1,MS,0.02733,2.18184
282,1,MS,0.01164,2.18230
283,1,MS,0.01164,2.18266
284,1,MS,0.00578,2.18308
285,1,MS,0.00578,2.18346
286,1,MS,0.00283,2.18381
287,1,MS,0.00283,2.18413
288,1,MS,0.00379,2.18449
289,1,MS,0.00379,2.18476
290,1,MS,0.00165,2.18507
291,1,MS,0.00165,2.18534
292,1,MS,0.00222,2.18566
293,1,MS,0.00222,2.18597
294,1,MS,0.01069,2.18638
295,1,MS,0.01069,2.18674
296,1,MS,0.01634,2.18723
297,1,MS,0.01634,2.18768
298,1,MS,0.01413,2.18820
299,1,MS,0.01413,2.18872
300,1,MS,0.02557,2.18929
301,1,MS,0.02557,2.18976
302,1,MS,0.00612,2.19019
303,1,MS,0.00612,2.19051
304,1,MS,0.00181,2.19086
305,1,MS,0.00181,2.19119
306,1,MS,0.00332,2.19156
307,1,MS,0.00332,2.19184
308,1,MS,0.00108,2.19215
309,1,MS,0.00108,2.19241
310,1,MS,0.00051,2.19270
311,1,MS,0.00051,2.19306
312,1,MS,0.00217,2.19327
313,1,MS,0.00217,2.19346
314,1,MS,0.00268,2.19368
315,1,MS,0.00268,2.19386
316,1,MS,0.00264,2.19408
317,1,MS,0.00264,2.19429
318,1,MS,0.00751,2.19455
319,1,MS,0.00751,2.19479
320,1,MS,0.00542,2.19503
321,1,MS,0.00542,2.19530
322,1,MS,0.01644,2.19562
323,1,MS,0.01644,2.19593
324,1,MS,0.01595,2.19629
325,1,MS,0.01595,2.19663
326,1,MS,0.01854,2.19703
327,1,MS,0.01854,2.19733
328,1,MS,0.01559,2.19773
329,1,MS,0.01559,2.19799
330,1,MS,0.00636,2.19827
331,1,MS,0.00636,2.19850
332,1,MS,0.00323,2.19876
333,1,MS,0.00323,2.19897
334,1,MS,0.00349,2.19923
335,1,MS,0.00349,2.19946
336,1,MS,0.00080,2.19975
337,1,MS,0.00080,2.20001
338,1,MS,0.00054,2.20027
339,1,MS,0.00054,2.20050
340,1,MS,0.00080,2.20079
341,1,MS,0.00080,2.20113
342,1,MS,0.00818,2.20158
343,1,MS,0.00818,2.20205
344,1,MS,0.02302,2.20266
345,1,MS,0.02302,2.20327
346,1,MS,0.02882,2.20396
347,1,MS,0.02882,2.20461
348,1,MS,0.03495,2.20534
349,1,MS,0.03495,2.20601
350,1,MS,0.02836,2.20678
351,1,MS,0.02836,2.20738
352,1,MS,0.01267,2.20807
353,1,MS,0.01267,2.20866
354,1,MS,0.00409,2.20919
355,1,MS,0.00409,2.20959
356,1,MS,0.00211,2.21003
357,1,MS,0.00211,2.21042
358,1,MS,0.00165,2.21085
359,1,MS,0.00165,2.21113
360,1,MS,0.00060,2.21137
361,1,MS,0.00060,2.21158
362,1,MS,0.00078,2.21181
363,1,MS,0.00078,2.21201
364,1,MS,0.00089,2.21222
365,1,MS,0.00089,2.21244
366,1,MS,0.00744,2.21270
367,1,MS,0.00744,2.21297
368,1,MS,0.01486,2.21333
369,1,MS,0.01486,2.21369
370,1,MS,0.01980,2.21414
371,1,MS,0.01980,2.21461
372,1,MS,0.02942,2.21518
373,1,MS,0.02942,2.21570
374,1,MS,0.02711,2.21632
375,1,MS,0.02711,2.21690
376,1,MS,0.01752,2.21755
377,1,MS,0.01752,2.21809
378,1,MS,0.00975,2.21868
379,1,MS,0.00975,2.21909
380,1,MS,0.00203,2.21949
381,1,MS,0.00203,2.21982
382,1,MS,0.00172,2.22020
383,1,MS,0.00172,2.22051
384,1,MS,0.00824,2.22104
385,1,MS,0.00824,2.22149
386,1,MS,0.00840,2.22198
387,1,MS,0.00840,2.22238
388,1,MS,0.00896,2.22284
389,1,MS,0.00896,2.22327
390,1,MS,0.01813,2.22383
391,1,MS,0.01813,2.22443
392,1,MS,0.03094,2.22524
393,1,MS,0.03094,2.22600
394,1,MS,0.03865,2.22688
395,1,MS,0.03865,2.22766
396,1,MS,0.04171,2.22855
397,1,MS,0.04171,2.22931
398,1,MS,0.03977,2.23019
399,1,MS,0.03977,2.23096
400,1,MS,0.02923,2.23139
401,1,MS,0.02923,2.23218
402,1,MS,0.01764,2.23261
403,1,MS,0.01764,2.23336
404,1,MS,0.01196,2.23375
405,1,MS,0.01196,2.23428
406,1,MS,0.00866,2.23460
407,1,MS,0.00866,2.23522
408,1,MS,0.00463,2.23544
409,1,MS,0.00463,2.23582
410,1,MS,0.00491,2.23603
411,1,MS,0.00491,2.23642
412,1,MS,0.00640,2.23665
413,1,MS,0.00640,2.23710
414,1,MS,0.01753,2.23739
415,1,MS,0.01753,2.23799
416,1,MS,0.03005,2.23838
417,1,MS,0.03005,2.23916
418,1,MS,0.04037,2.23962
419,1,MS,0.04037,2.24046
420,1,MS,0.04408,2.24094
421,1,MS,0.04408,2.24180
422,1,MS,0.03721,2.24229
423,1,MS,0.03721,2.24314
424,1,MS,0.01561,2.24352
425,1,MS,0.01561,2.24408
426,1,MS,0.00514,2.24439
427,1,MS,0.00514,2.24488
428,1,MS,0.00389,2.24515
429,1,MS,0.00389,2.24560
430,1,MS,0.00380,2.24587
431,1,MS,0.00380,2.24630
432,1,MS,0.00206,2.24657
433,1,MS,0.00206,2.24700
434,1,MS,0.00105,2.24722
435,1,MS,0.00105,2.24754
436,1,MS,0.00093,2.24776
437,1,MS,0.00093,2.24776
438,1,MS,0.01185,2.24751
439,1,MS,0.01185,2.24751
440,1,MS,0.02234,2.24722
441,1,MS,0.02234,2.24722
442,1,MS,0.02950,2.24689
443,1,MS,0.02950,2.24689
444,1,MS,0.03332,2.24653
445,1,MS,0.03332,2.24653
446,1,MS,0.02986,2.24617
447,1,MS,0.02986,2.24617
448,1,MS,0.02282,2.24581
449,1,MS,0.02282,2.24581
450,1,MS,0.01196,2.24546
451,1,MS,0.01196,2.24546
452,1,MS,0.00432,2.24518
453,1,MS,0.00432,2.24518
454,1,MS,0.00208,2.24495
455,1,MS,0.00208,2.24495
456,1,MS,0.00431,2.24476
457,1,MS,0.00431,2.24476
458,1,MS,0.00401,2.24459
459,1,MS,0.00401,2.24459
460,1,MS,0.00300,2.24443
461,1,MS,0.00300,2.24443
462,1,MS,0.00562,2.24426
463,1,MS,0.00562,2.24426
464,1,MS,0.01035,2.24406
465,1,MS,0.01035,2.24406
466,1,MS,0.01184,2.24386
467,1,MS,0.01184,2.24386
468,1,MS,0.02567,2.24359
469,1,MS,0.02567,2.24359
470,1,MS,0.01827,2.24334
471,1,MS,0.01827,2.24334
472,1,MS,0.00887,2.24310
473,1,MS,0.00887,2.24310
474,1,MS,0.00726,2.24291
475,1,MS,0.00726,2.24291
476,1,MS,0.00456,2.24274
477,1,MS,0.00456,2.24274
478,1,MS,0.00416,2.24256
479,1,MS,0.00416,2.24256
480,1,MS,0.00150,2.24233
481,1,MS,0.00150,2.24233
482,1,MS,0.00059,2.24190
483,1,MS,0.00059,2.24190
484,1,MS,0.00076,2.24145
485,1,MS,0.00076,2.24145
486,1,MS,0.00718,2.24080
487,1,MS,0.00718,2.24080
488,1,MS,0.01619,2.23986
489,1,MS,0.01619,2.23986
490,1,MS,0.02609,2.23879
491,1,MS,0.02609,2.23879
492,1,MS,0.01939,2.23768
493,1,MS,0.01939,2.23768
494,1,MS,0.03124,2.23651
495,1,MS,0.03124,2.23651
496,1,MS,0.01769,2.23545
497,1,MS,0.01769,2.23545
498,1,MS,0.00746,2.23450
499,1,MS,0.00746,2.23450
500,1,MS,0.00171,2.23371
501,1,MS,0.00171,2.23371
502,1,MS,0.00154,2.23292
503,1,MS,0.00154,2.23292
504,1,MS,0.00146,2.23266
505,1,MS,0.00146,2.23266
506,1,MS,0.00122,2.23239
507,1,MS,0.00122,2.23239
508,1,MS,0.00116,2.23214
509,1,MS,0.00116,2.23214
510,1,MS,0.00238,2.23189
511,1,MS,0.00238,2.23189
512,1,MS,0.00775,2.23157
513,1,MS,0.00775,2.23157
514,1,MS,0.00788,2.23123
515,1,MS,0.00788,2.23123
516,1,MS,0.00973,2.23086
517,1,MS,0.00973,2.23086
518,1,MS,0.00817,2.23047
519,1,MS,0.00817,2.23047
520,1,MS,0.00891,2.23006
521,1,MS,0.00891,2.23006
522,1,MS,0.00307,2.22971
523,1,MS,0.00307,2.22971
524,1,MS,0.00226,2.22938
525,1,MS,0.00226,2.22938
526,1,MS,0.00187,2.22905
527,1,MS,0.00187,2.22905
528,1,MS,0.00445,2.22848
529,1,MS,0.00445,2.22848
530,1,MS,0.00201,2.22811
531,1,MS,0.00201,2.22811
532,1,MS,0.00193,2.22773
533,1,MS,0.00193,2.22773
534,1,MS,0.01352,2.22702
535,1,MS,0.01352,2.22702
536,1,MS,0.02610,2.22599
537,1,MS,0.02610,2.22599
538,1,MS,0.03507,2.22471
539,1,MS,0.03507,2.22471
540,1,MS,0.03941,2.22239
541,1,MS,0.03941,2.22239
542,1,MS,0.02400,2.22011
543,1,MS,0.02400,2.22011
544,1,MS,0.02245,2.21778
545,1,MS,0.02245,2.21778
546,1,MS,0.01427,2.21560
547,1,MS,0.01427,2.21560
548,1,MS,0.01129,2.21352
549,1,MS,0.01129,2.21352
550,1,MS,0.00571,2.21215
551,1,MS,0.00571,2.21215
552,1,MS,0.00284,2.21132
553,1,MS,0.00284,2.21132
554,1,MS,0.00181,2.21069
555,1,MS,0.00181,2.21069
556,1,MS,0.00295,2.20998
557,1,MS,0.00295,2.20998
558,1,MS,0.01401,2.20886
559,1,MS,0.01401,2.20886
560,1,MS,0.02333,2.20738
561,1,MS,0.02333,2.20738
562,1,MS,0.02870,2.20564
563,1,MS,0.02870,2.20564
564,1,MS,0.03400,2.20351
565,1,MS,0.03400,2.20351
566,1,MS,0.02513,2.20146
567,1,MS,0.02513,2.20146
568,1,MS,0.01998,2.19941
569,1,MS,0.01998,2.19941
570,1,MS,0.01185,2.19765
571,1,MS,0.01185,2.19765
572,1,MS,0.00424,2.19642
573,1,MS,0.00424,2.19642
574,1,MS,0.00444,2.19520
575,1,MS,0.00444,2.19520
576,1,MS,0.00255,2.19433
577,1,MS,0.00255,2.19433
578,1,MS,0.00135,2.19356
579,1,MS,0.00135,2.19356
580,1,MS,0.00142,2.19282
581,1,MS,0.00142,2.19282
582,1,MS,0.01096,2.19155
583,1,MS,0.01096,2.19155
584,1,MS,0.02183,2.18984
585,1,MS,0.02183,2.18984
586,1,MS,0.02959,2.18778
587,1,MS,0.02959,2.18778
588,1,MS,0.02888,2.18556
589,1,MS,0.02888,2.18556
590,1,MS,0.03076,2.18303
591,1,MS,0.03076,2.18303
592,1,MS,0.01964,2.18060
593,1,MS,0.01964,2.18060
