plant,axis,metamer,organ,element,age,length,Wmax,is_growing,mstruct,Nstruct,amino_acids,proteins,fructan,sucrose,green_area,cytokinins,max_proteins,starch,nitrates,senesced_length_element,Nresidual,max_mstruct,is_over,Ag,Tr,Ts,triosesP,senesced_mstruct
1,MS,1,blade,LeafElement1,240,0.0902,0.003,False,0.00451227,2.26E-05,1.786430392,17.86430392,0,19.90707353,0.00021487,0.25719939,4250,0,0,0,0,0.00451227,False,0,0,20,0,0
1,MS,1,sheath,StemElement,240,0.03135,,False,0.001881,0.000009405,0.212048446,2.120484457,0,8.298529412,0.00044221,0.030096,1127.317627,0,0,0,0,0.001881,False,0,0,20,0,0
1,MS,2,blade,LeafElement1,160,0.1012,0.0033,False,0.00556878,2.78E-05,2.613412217,26.13412217,0,24.56814706,0.00026518,0.37867704,4250,0,0,0,0,0.00556878,False,0,0,20,0,0
1,MS,2,sheath,HiddenElement,160,0.03135,,False,0.002508,0.00001254,0.402294628,4.022946283,3.319411765,11.06470588,0.000248,0.057684,1604.045567,0,0,0,0,0.002508,False,0,0,20,0,0
1,MS,2,sheath,StemElement,160,0.00055,,False,4.40E-05,2.20E-07,0.0070578,0.070578005,0,0.194117647,0.00000776,0.001012,1604.045567,0,0,0,0,4.40E-05,False,0,0,20,0,0
1,MS,3,blade,LeafElement1,80,0.06985,0.004,True,0.00360108,1.80E-05,1.861444223,18.61444223,0,15.88711765,0.00017148,0.270081,0,0,0,0,0,0.00360108,False,0,0,20,0,0
