plant,axis,organ,sucrose,amino_acids,nitrates,structure,starch,proteins,mstruct,Nstruct,cytokinins,synthetized_mstruct,senesced_mstruct,age,nitrates_vacuole,rate_mstruct_growth
1,MS,phloem,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,MS,roots,158.0769531,2.151593009,21.51593009,NA,NA,NA,0.035830776,0.000179154,8.957694007,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
