plant,axis,volume,Tsoil,nitrates
1,MS,1,15,321428.5714
2,MS,1,15,321428.5714
3,MS,1,15,321428.5714
4,MS,1,15,321428.5714
5,MS,1,15,321428.5714
6,MS,1,15,321428.5714
7,MS,1,15,321428.5714
8,MS,1,15,321428.5714
9,MS,1,15,321428.5714
10,MS,1,15,321428.5714
