Scenario,HZ.VMAX_SPROTEINS,ELT.VMAX_SPROTEINS,ELT.DELTA_D_CYTOKININS,RT.VMAX_S_CYTOKININS ,RT.K_NITRATE_EXPORT,leaf_pseudo_age_Vmax,leaf_pseudo_age_Kc,"leaf_pseudo_age_Kn
"
100,0.345,0.0045,0.000015,0.0009,0.00012,1,25,8
101,0.345,0.0045,0.000015,0.0009,0.00012,1,50,8
102,0.345,0.0045,0.000015,0.0009,0.00012,1,50,12
103,0.345,0.0045,0.000015,0.0009,0.00012,1.15,150,8
104,0.345,0.0045,0.000015,0.0009,0.00012,1.25,150,8
105,0.345,0.0045,0.000015,0.0009,0.00012,1.15,150,15
106,0.345,0.0045,0.000015,0.0009,0.00012,1.25,150,15
107,0.345,0.0045,0.000015,0.0009,0.00012,1.25,150,20
108,0.345,0.0045,0.000015,0.0009,0.00012,1.25,150,50
109,0.345,0.0045,0.000015,0.0009,0.00012,1.4,200,50
110,0.345,0.0045,0.000015,0.0009,0.00012,1.25,200,50
111,0.345,0.0045,0.000015,0.0009,0.00012,1.5,100,40
