t,species,metamer,organ,Eabs,plant
0,Soissons,1,blade,0.0,1
0,Soissons,1,sheath,0.0,1
0,Soissons,2,blade,0.0,1
0,Soissons,2,sheath,0.0,1
0,Soissons,3,blade,0.0,1
0,Soissons,3,sheath,0.0,1
0,Soissons,4,blade,0.0,1
0,Soissons,4,internode,0.0,1
0,Soissons,4,sheath,0.0,1
0,Soissons,5,internode,0.0,1
0,Soissons,6,internode,0.0,1
1,Soissons,1,blade,0.0,1
1,Soissons,1,sheath,0.0,1
1,Soissons,2,blade,0.0,1
1,Soissons,2,sheath,0.0,1
1,Soissons,3,blade,0.0,1
1,Soissons,3,sheath,0.0,1
1,Soissons,4,blade,0.0,1
1,Soissons,4,internode,0.0,1
1,Soissons,4,sheath,0.0,1
1,Soissons,5,internode,0.0,1
1,Soissons,6,internode,0.0,1
2,Soissons,1,blade,0.0,1
2,Soissons,1,sheath,0.0,1
2,Soissons,2,blade,0.0,1
2,Soissons,2,sheath,0.0,1
2,Soissons,3,blade,0.0,1
2,Soissons,3,sheath,0.0,1
2,Soissons,4,blade,0.0,1
2,Soissons,4,internode,0.0,1
2,Soissons,4,sheath,0.0,1
2,Soissons,5,internode,0.0,1
2,Soissons,6,internode,0.0,1
3,Soissons,1,blade,0.0,1
3,Soissons,1,sheath,0.0,1
3,Soissons,2,blade,0.0,1
3,Soissons,2,sheath,0.0,1
3,Soissons,3,blade,0.0,1
3,Soissons,3,sheath,0.0,1
3,Soissons,4,blade,0.0,1
3,Soissons,4,internode,0.0,1
3,Soissons,4,sheath,0.0,1
3,Soissons,5,internode,0.0,1
3,Soissons,6,internode,0.0,1
4,Soissons,1,blade,0.0,1
4,Soissons,1,sheath,0.0,1
4,Soissons,2,blade,0.0,1
4,Soissons,2,sheath,0.0,1
4,Soissons,3,blade,0.0,1
4,Soissons,3,sheath,0.0,1
4,Soissons,4,blade,0.0,1
4,Soissons,4,internode,0.0,1
4,Soissons,4,sheath,0.0,1
4,Soissons,5,internode,0.0,1
4,Soissons,6,internode,0.0,1
5,Soissons,1,blade,0.0117053967818,1
5,Soissons,1,sheath,0.00497003416178,1
5,Soissons,2,blade,0.0248621052483,1
5,Soissons,2,sheath,0.00333366754435,1
5,Soissons,3,blade,0.0711336556434,1
5,Soissons,3,sheath,0.00810464287703,1
5,Soissons,4,blade,0.23889473242,1
5,Soissons,4,internode,0.0148957423952,1
5,Soissons,4,sheath,0.0336139385194,1
5,Soissons,5,internode,0.0781531665003,1
5,Soissons,6,internode,0.196920449308,1
6,Soissons,1,blade,0.0117053967818,1
6,Soissons,1,sheath,0.00497003416178,1
6,Soissons,2,blade,0.0248621052483,1
6,Soissons,2,sheath,0.00333366754435,1
6,Soissons,3,blade,0.0711336556434,1
6,Soissons,3,sheath,0.00810464287703,1
6,Soissons,4,blade,0.23889473242,1
6,Soissons,4,internode,0.0148957423952,1
6,Soissons,4,sheath,0.0336139385194,1
6,Soissons,5,internode,0.0781531665003,1
6,Soissons,6,internode,0.196920449308,1
7,Soissons,1,blade,0.0117053967818,1
7,Soissons,1,sheath,0.00497003416178,1
7,Soissons,2,blade,0.0248621052483,1
7,Soissons,2,sheath,0.00333366754435,1
7,Soissons,3,blade,0.0711336556434,1
7,Soissons,3,sheath,0.00810464287703,1
7,Soissons,4,blade,0.23889473242,1
7,Soissons,4,internode,0.0148957423952,1
7,Soissons,4,sheath,0.0336139385194,1
7,Soissons,5,internode,0.0781531665003,1
7,Soissons,6,internode,0.196920449308,1
8,Soissons,1,blade,0.0117053967818,1
8,Soissons,1,sheath,0.00497003416178,1
8,Soissons,2,blade,0.0248621052483,1
8,Soissons,2,sheath,0.00333366754435,1
8,Soissons,3,blade,0.0711336556434,1
8,Soissons,3,sheath,0.00810464287703,1
8,Soissons,4,blade,0.23889473242,1
8,Soissons,4,internode,0.0148957423952,1
8,Soissons,4,sheath,0.0336139385194,1
8,Soissons,5,internode,0.0781531665003,1
8,Soissons,6,internode,0.196920449308,1
9,Soissons,1,blade,0.0117053967818,1
9,Soissons,1,sheath,0.00497003416178,1
9,Soissons,2,blade,0.0248621052483,1
9,Soissons,2,sheath,0.00333366754435,1
9,Soissons,3,blade,0.0711336556434,1
9,Soissons,3,sheath,0.00810464287703,1
9,Soissons,4,blade,0.23889473242,1
9,Soissons,4,internode,0.0148957423952,1
9,Soissons,4,sheath,0.0336139385194,1
9,Soissons,5,internode,0.0781531665003,1
9,Soissons,6,internode,0.196920449308,1
10,Soissons,1,blade,0.0117053967818,1
10,Soissons,1,sheath,0.00497003416178,1
10,Soissons,2,blade,0.0248621052483,1
10,Soissons,2,sheath,0.00333366754435,1
10,Soissons,3,blade,0.0711336556434,1
10,Soissons,3,sheath,0.00810464287703,1
10,Soissons,4,blade,0.23889473242,1
10,Soissons,4,internode,0.0148957423952,1
10,Soissons,4,sheath,0.0336139385194,1
10,Soissons,5,internode,0.0781531665003,1
10,Soissons,6,internode,0.196920449308,1
11,Soissons,1,blade,0.0117053967818,1
11,Soissons,1,sheath,0.00497003416178,1
11,Soissons,2,blade,0.0248621052483,1
11,Soissons,2,sheath,0.00333366754435,1
11,Soissons,3,blade,0.0711336556434,1
11,Soissons,3,sheath,0.00810464287703,1
11,Soissons,4,blade,0.23889473242,1
11,Soissons,4,internode,0.0148957423952,1
11,Soissons,4,sheath,0.0336139385194,1
11,Soissons,5,internode,0.0781531665003,1
11,Soissons,6,internode,0.196920449308,1
12,Soissons,1,blade,0.0117053967818,1
12,Soissons,1,sheath,0.00497003416178,1
12,Soissons,2,blade,0.0248621052483,1
12,Soissons,2,sheath,0.00333366754435,1
12,Soissons,3,blade,0.0711336556434,1
12,Soissons,3,sheath,0.00810464287703,1
12,Soissons,4,blade,0.23889473242,1
12,Soissons,4,internode,0.0148957423952,1
12,Soissons,4,sheath,0.0336139385194,1
12,Soissons,5,internode,0.0781531665003,1
12,Soissons,6,internode,0.196920449308,1
13,Soissons,1,blade,0.0117053967818,1
13,Soissons,1,sheath,0.00497003416178,1
13,Soissons,2,blade,0.0248621052483,1
13,Soissons,2,sheath,0.00333366754435,1
13,Soissons,3,blade,0.0711336556434,1
13,Soissons,3,sheath,0.00810464287703,1
13,Soissons,4,blade,0.23889473242,1
13,Soissons,4,internode,0.0148957423952,1
13,Soissons,4,sheath,0.0336139385194,1
13,Soissons,5,internode,0.0781531665003,1
13,Soissons,6,internode,0.196920449308,1
14,Soissons,1,blade,0.0117053967818,1
14,Soissons,1,sheath,0.00497003416178,1
14,Soissons,2,blade,0.0248621052483,1
14,Soissons,2,sheath,0.00333366754435,1
14,Soissons,3,blade,0.0711336556434,1
14,Soissons,3,sheath,0.00810464287703,1
14,Soissons,4,blade,0.23889473242,1
14,Soissons,4,internode,0.0148957423952,1
14,Soissons,4,sheath,0.0336139385194,1
14,Soissons,5,internode,0.0781531665003,1
14,Soissons,6,internode,0.196920449308,1
15,Soissons,1,blade,0.0117053967818,1
15,Soissons,1,sheath,0.00497003416178,1
15,Soissons,2,blade,0.0248621052483,1
15,Soissons,2,sheath,0.00333366754435,1
15,Soissons,3,blade,0.0711336556434,1
15,Soissons,3,sheath,0.00810464287703,1
15,Soissons,4,blade,0.23889473242,1
15,Soissons,4,internode,0.0148957423952,1
15,Soissons,4,sheath,0.0336139385194,1
15,Soissons,5,internode,0.0781531665003,1
15,Soissons,6,internode,0.196920449308,1
16,Soissons,1,blade,0.0117053967818,1
16,Soissons,1,sheath,0.00497003416178,1
16,Soissons,2,blade,0.0248621052483,1
16,Soissons,2,sheath,0.00333366754435,1
16,Soissons,3,blade,0.0711336556434,1
16,Soissons,3,sheath,0.00810464287703,1
16,Soissons,4,blade,0.23889473242,1
16,Soissons,4,internode,0.0148957423952,1
16,Soissons,4,sheath,0.0336139385194,1
16,Soissons,5,internode,0.0781531665003,1
16,Soissons,6,internode,0.196920449308,1
17,Soissons,1,blade,0.0117053967818,1
17,Soissons,1,sheath,0.00497003416178,1
17,Soissons,2,blade,0.0248621052483,1
17,Soissons,2,sheath,0.00333366754435,1
17,Soissons,3,blade,0.0711336556434,1
17,Soissons,3,sheath,0.00810464287703,1
17,Soissons,4,blade,0.23889473242,1
17,Soissons,4,internode,0.0148957423952,1
17,Soissons,4,sheath,0.0336139385194,1
17,Soissons,5,internode,0.0781531665003,1
17,Soissons,6,internode,0.196920449308,1
18,Soissons,1,blade,0.0117053967818,1
18,Soissons,1,sheath,0.00497003416178,1
18,Soissons,2,blade,0.0248621052483,1
18,Soissons,2,sheath,0.00333366754435,1
18,Soissons,3,blade,0.0711336556434,1
18,Soissons,3,sheath,0.00810464287703,1
18,Soissons,4,blade,0.23889473242,1
18,Soissons,4,internode,0.0148957423952,1
18,Soissons,4,sheath,0.0336139385194,1
18,Soissons,5,internode,0.0781531665003,1
18,Soissons,6,internode,0.196920449308,1
19,Soissons,1,blade,0.0117053967818,1
19,Soissons,1,sheath,0.00497003416178,1
19,Soissons,2,blade,0.0248621052483,1
19,Soissons,2,sheath,0.00333366754435,1
19,Soissons,3,blade,0.0711336556434,1
19,Soissons,3,sheath,0.00810464287703,1
19,Soissons,4,blade,0.23889473242,1
19,Soissons,4,internode,0.0148957423952,1
19,Soissons,4,sheath,0.0336139385194,1
19,Soissons,5,internode,0.0781531665003,1
19,Soissons,6,internode,0.196920449308,1
20,Soissons,1,blade,0.0,1
20,Soissons,1,sheath,0.0,1
20,Soissons,2,blade,0.0,1
20,Soissons,2,sheath,0.0,1
